wchains060se.smt2	60	sat	27.9	sat	24.8
wchains060ue.smt2	60	unknown	60.7	unknown	63.0
wchains065se.smt2	65	unknown	61.1	unknown	60.9
wchains065ue.smt2	65	unknown	61.2	unknown	61.0
wchains070se.smt2	70	sat	56.6	sat	52.9
wchains070ue.smt2	70	unknown	61.0	unknown	60.9
wchains075se.smt2	75	unknown	61.2	unknown	61.0
wchains075ue.smt2	75	unknown	62.4	unknown	61.3
wchains080se.smt2	80	unknown	61.4	unknown	61.8
wchains080ue.smt2	80	unknown	62.1	unknown	61.8
wchains085se.smt2	85	unknown	62.5	unknown	61.9
wchains085ue.smt2	85	unknown	63.1	unknown	61.7
wchains090se.smt2	90	unknown	62.5	unknown	62.2
wchains090ue.smt2	90	unknown	62.0	unknown	61.3
wchains095se.smt2	95	unknown	61.6	unknown	63.3
wchains095ue.smt2	95	unknown	61.6	unknown	61.5
wchains100se.smt2	100	unknown	61.9	unknown	61.8
wchains100ue.smt2	100	unknown	61.7	unknown	62.1
wchains110se.smt2	110	unknown	24.3	unknown	62.1
wchains120se.smt2	120	unknown	27.8	unknown	28.7
wchains130se.smt2	130	unknown	24.2	unknown	23.5
wchains140se.smt2	140	unknown	27.9	unknown	24.1
wchains150se.smt2	150	unknown	26.8	unknown	23.4
wchains160se.smt2	160	unknown	38.0	unknown	29.8
wchains170se.smt2	170	unknown	33.3	unknown	29.5
wchains180se.smt2	180	unknown	38.0	unknown	34.2
wchains190se.smt2	190	unknown	40.1	unknown	42.7
wchains200se.smt2	200	unknown	51.2	unknown	45.1
