file	verdict	n_assert	n_or	widest_or	n_and	widest_and	has_ite	has_implies	has_xor	has_not	has_distinct	n_atoms	over_48	n_bool_vars	expanded_nodes	visited_nodes	expansion	lower_bound	error
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	unknown	11	24	2	11	176	False	False	False	False	False	1011	True	0	10117	10117	exact	False	
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	unknown	3	8	2	3	46	False	False	False	False	False	125	True	0	1285	1285	exact	False	
QF_NRA/20200911-Pine/1599121863243316000.smt2	unknown	1	0	0	6	4	False	False	False	True	False	12	False	0	144	144	exact	False	
QF_NRA/20200911-Pine/1599121905450496000.smt2	unknown	1	0	0	6	4	False	False	False	True	False	12	False	0	178	178	exact	False	
QF_NRA/20200911-Pine/1599122159626470000.smt2	sat	1	0	0	6	4	False	False	False	True	False	12	False	0	154	154	exact	False	
QF_NRA/20200911-Pine/1599122164633784000.smt2	unknown	1	0	0	6	4	False	False	False	True	False	12	False	0	150	150	exact	False	
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	unknown	1	1	2	3	6	False	False	False	False	False	9	False	0	183	183	exact	False	
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2	unknown	1	1	2	3	8	False	False	False	False	False	10	False	0	75	75	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_global_11.smt2	unsat	1	470	2	883	2	False	False	False	True	False	253	True	84	5353	2737	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	486	2	787	2	False	False	False	True	False	229	True	70	6047	2560	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_lemmas_global_5.smt2	unsat	1	290	2	457	2	False	False	False	True	False	133	True	42	3673	1485	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.03.redlog_global_15.smt2	unsat	1	798	2	1211	2	False	False	False	True	False	405	True	112	9117	4405	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	1	614	2	967	2	False	False	False	True	False	277	True	84	7417	3135	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.04.seq_lazy_global_9.smt2	unsat	1	426	2	737	2	False	False	False	True	False	209	True	70	4537	2321	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.05.qfree_global_5.smt2	unsat	1	266	2	403	2	False	False	False	True	False	103	True	42	2485	1379	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_linear_enc_global_15.smt2	unsat	1	750	2	1227	2	False	False	False	True	False	341	True	112	7613	3887	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_global_11.smt2	unsat	1	506	2	847	2	False	False	False	True	False	253	True	84	5329	2764	exact	False	
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	516	2	757	2	False	False	False	True	False	229	True	70	6027	2583	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_global_5.smt2	unsat	1	218	2	472	2	False	False	False	True	False	158	True	48	4189	1995	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.02.seq_lazy_lemmas_global_15.smt2	unsat	1	958	2	1538	2	False	False	False	True	False	544	True	128	29835	6774	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_global_11.smt2	unsat	1	494	2	1018	2	False	False	False	True	False	332	True	96	8959	4342	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	546	2	918	2	False	False	False	True	False	314	True	80	15273	3930	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.04.seq_lazy_linear_enc_global_5.smt2	unsat	1	242	2	478	2	False	False	False	True	False	158	True	48	4267	2033	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.05.seq_lazy_lemmas_global_15.smt2	unsat	1	1070	2	1586	2	False	False	False	True	False	544	True	128	30251	6983	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_global_11.smt2	unsat	1	506	2	970	2	False	False	False	True	False	332	True	96	8839	4332	exact	False	
QF_NRA/hycomp/ball_count_2d_hill.10.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	556	2	878	2	False	False	False	True	False	314	True	80	15173	3922	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_5.smt2	unsat	1	338	2	522	2	False	False	False	True	False	167	True	48	5265	1743	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.02.redlog_global_15.smt2	unsat	1	766	2	1284	2	False	False	False	True	False	481	True	128	9543	4744	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	1	638	2	1044	2	False	False	False	True	False	323	True	96	9633	3397	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_global_9.smt2	unsat	1	406	2	800	2	False	False	False	True	False	245	True	80	5009	2513	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.04.qfree_global_5.smt2	unsat	1	248	2	432	2	False	False	False	True	False	129	True	48	2595	1443	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.04.seq_lazy_linear_enc_global_15.smt2	unsat	1	702	2	1316	2	False	False	False	True	False	401	True	128	8289	4123	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_global_11.smt2	unsat	1	554	2	984	2	False	False	False	True	False	297	True	96	6261	3154	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.05.seq_lazy_linear_enc_lemmas_global_9.smt2	unsat	1	596	2	890	2	False	False	False	True	False	267	True	80	8229	2938	exact	False	
QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_5.smt2	unsat	1	356	2	504	2	False	False	False	True	False	167	True	48	5253	1758	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.01.redlog_global_15.smt2	unsat	1	942	2	1491	2	False	False	False	True	False	615	True	112	12674	5719	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_11.smt2	unsat	1	638	2	1115	2	False	False	False	True	False	314	True	84	9162	3376	exact	False	
QF_NRA/hycomp/ball_count_2d_plain.02.seq_lazy_global_9.smt2	unsat	1	386	2	829	2	False	False	False	True	False	238	True	70	5074	2439	exact	False	
