file	base_v	base_kind	base_att	fix_v	fix_kind	fix_att	load	base_detail	fix_detail
QF_ABV/2018-Mann/arbiter_array_cex_w32d32q16n4b34.smt2	unknown	Watchdog	4	unknown	Timeout	14	12.09	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy select-congruence deadline exceeded before refinement converged
QF_ABV/20230321-UltimateAutomizerSvcomp2023/tree-1.i_8.smt2	unknown	Error	2	unknown	Error	2	17.99	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), List([Atom("_"), Atom("BitVec"), Atom("64")]), List([Atom("Array"), List([Atom("_"), 	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), List([Atom("_"), Atom("BitVec"), Atom("64")]), List([Atom("Array"), List([Atom("_"), 
QF_ABV/bench_ab/b165test0007.smt2	sat		4	sat		4	17.99		
QF_ABV/bmc-arrays/bubbleSort.smt2	unsat		5	unsat		5	17.99		
QF_ABV/brummayerbiere/fifo32ia04k08.smt2	unknown	Timeout	14	unknown	Timeout	14	19.59	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] pure-Rust BV backend timeout after SAT search	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] pure-Rust BV backend timeout after SAT search
QF_ABV/brummayerbiere/swapmem002se.smt2	sat		4	sat		4	21.63		
QF_ABV/brummayerbiere/wchains010se.smt2	sat		5	sat		5	21.63		
QF_ABV/brummayerbiere/wchains140se.smt2	unknown	Watchdog	4	unknown	Watchdog	4	21.63	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
QF_ABV/calc2/calc2_sec2_shifter_bmc5.atlas.smt2	unsat		4	unsat		4	20.73		
QF_ABV/dwp_formulas/try3_noof_functions_dwp_df.get_quoting_style.il.dwp.smt2	sat		4	sat		4	20.73		
QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	sat		5	sat		5	20.73		
QF_ABV/dwp_formulas/try3_noof_functions_dwp_ptx.bkm_scale.il.dwp.smt2	sat		5	sat		5	20.87		
QF_ABV/dwp_formulas/try3_noof_functions_dwp_sum.set_char_quoting.il.dwp.smt2	sat		5	sat		5	21.08		
QF_ABV/dwp_formulas/try3_noof_functions_dwp_vdir.hash_string.il.dwp.smt2	sat		4	sat		4	18.68		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_chgrp.hash_get_n_entries.il.dwp.smt2	sat		4	sat		4	18.68		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_dd.set_char_quoting.il.dwp.smt2	sat		5	sat		5	18.68		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_head.set_quoting_style.il.dwp.smt2	sat		5	sat		5	18.68		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_mv.get_quoting_style.il.dwp.smt2	sat		4	sat		4	17.83		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	sat		5	sat		5	17.83		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_sha256sum.quoting_options_from_style.il.dwp.smt2	unsat		5	unsat		5	16.02		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_tac.calc_next.il.dwp.smt2	sat		5	sat		5	16.02		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_unexpand.get_quoting_style.il.dwp.smt2	sat		4	sat		4	14.94		
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_who.set_quoting_style.il.dwp.smt2	sat		5	sat		5	14.94		
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_kill.close_stdout_set_file_name.il.fse-bfs.smt2	sat		4	sat		4	14.94		
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_shuf.close_stdout_set_file_name.il.fse-bfs.smt2	sat		4	sat		4	14.94		
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.hash_get_n_entries.il.fse-bfs.smt2	sat		4	sat		4	14.94		
