file	base_v	base_kind	base_att	fix_v	fix_kind	fix_att	load	base_detail	fix_detail
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	unknown	Watchdog	7	unknown	Incomplete	18	9.57	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Incomplete detail=query has quantifiers instantiation does not reach (nested, existential, or non-top-level)
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	10.99	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unknown	ResourceLimit	17	unknown	ResourceLimit	17	10.26	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/AssignToRepField_AssignToRepField.N.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	9.87	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	9.39	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	14.85	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	19.29	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	20.90	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	23.50	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/Ensures_Q-noinfer_8.smt2	unknown	ResourceLimit	17	unknown	ResourceLimit	17	28.57	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unknown	ResourceLimit	12	unknown	ResourceLimit	12	25.93	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after valid-universal elimination
UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	unsat		6	unsat		6	21.71		
