file	base_v	base_kind	base_att	fix_v	fix_kind	fix_att	load	base_detail	fix_detail
AUFNIRA/FFT/smtlib.549916.smt2	unknown	Watchdog	7	unknown	Watchdog	7	9.57	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
AUFNIRA/FFT/smtlib.620440.smt2	unknown	ResourceLimit	18	unknown	ResourceLimit	18	10.99	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFNIRA/FFT/smtlib.629057.smt2	unknown	Incomplete	19	unknown	Incomplete	19	10.26	give-up kind=Incomplete detail=nonlinear real route declined: term #0 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast	give-up kind=Incomplete detail=nonlinear real route declined: term #0 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
AUFNIRA/FFT/smtlib.632775.smt2	unknown	Error	2	unknown	Error	2	9.95	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.637239.smt2	unknown	Incomplete	19	unknown	Incomplete	19	9.95	give-up kind=Incomplete detail=lazy function-consistency CEGAR inconclusive (applications=38, function_groups=4, potential_pairs=355, solve_rounds=1, elapsed_ms=63, sat_candidates=0, first_candidate_m	give-up kind=Incomplete detail=lazy function-consistency CEGAR inconclusive (applications=38, function_groups=4, potential_pairs=355, solve_rounds=1, elapsed_ms=71, sat_candidates=0, first_candidate_m
AUFNIRA/FFT/smtlib.644770.smt2	unknown	Error	2	unknown	Error	2	9.51	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.652843.smt2	unknown	Error	2	unknown	Error	2	9.51	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.659604.smt2	unknown	Error	2	unknown	Error	2	9.51	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.664248.smt2	unknown	Error	2	unknown	Error	2	9.39	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.673963.smt2	unknown	ResourceLimit	17	unknown	ResourceLimit	17	9.39	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFNIRA/FFT/smtlib.696888.smt2	unknown	Error	2	unknown	Error	2	14.85	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.701996.smt2	unknown	Error	2	unknown	Error	2	15.98	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.714922.smt2	unknown	Error	2	unknown	Error	2	15.98	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.756005.smt2	unknown	Error	2	unknown	Error	2	16.71	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.772111.smt2	unknown	ResourceLimit	20	unknown	ResourceLimit	18	16.71	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
AUFNIRA/FFT/smtlib.788836.smt2	unknown	Error	2	unknown	Error	2	20.92	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.805592.smt2	unknown	Error	2	unknown	Error	2	20.92	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.821891.smt2	unknown	Error	2	unknown	Error	2	20.92	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.831243.smt2	unknown	Error	6	unknown	Error	6	21.41	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.846296.smt2	unknown	Error	2	unknown	Error	2	21.41	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.860981.smt2	unknown	Watchdog	7	unknown	Watchdog	7	21.41	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
AUFNIRA/FFT/smtlib.873870.smt2	unknown	Error	2	unknown	Error	2	21.03	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.921143.smt2	unknown	Error	2	unknown	Error	2	21.03	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
AUFNIRA/FFT/smtlib.940561.smt2	unknown	ResourceLimit	20	unknown	ResourceLimit	20	22.15	give-up kind=ResourceLimit detail=combined theories: eager Ackermann elimination would emit 563619 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and i	give-up kind=ResourceLimit detail=combined theories: eager Ackermann elimination would emit 563619 congruence constraints, exceeding the deterministic admission bound of 64 (the O(k²) expansion and i
AUFNIRA/FFT/smtlib.955132.smt2	unknown	Error	2	unknown	Error	2	27.05	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)	give-up kind=Error detail=backend failure: symbol `!int_bv_0` already declared with sort (_ BitVec 32), requested (_ BitVec 4)
