file	verdict	ms	rc	status
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_58_55_174_1583194.smt_in.smt2	unknown	8716	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_08_02_969_2287043.smt_in.smt2	sat	208	0	sat
UF/20170428-Barrett/cdt-cade2015/nada/afp/hamming_stream/x2015_09_10_16_47_53_600_1082171.smt_in.smt2	unknown	11920	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_45_306_1071226.smt_in.smt2	unknown	10619	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_53_37_371_1432776.smt_in.smt2	unknown	23731	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_56_17_304_1652193.smt_in.smt2	unknown	16623	0	unknown
UF/grasshopper/instantiated/dl_copy_loop_check_heap_access_31_6.smt2	unsat	1310	0	unsat
UF/sledgehammer/Arrow_Order/uf.558544.smt2	unsat	3012	0	unsat
UF/sledgehammer/FFT/uf.734908.smt2	unknown	24130	0	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1158058.smt2	unknown	24831	0	unsat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.658398.smt2	unknown	24232	0	unknown
UF/sledgehammer/Hoare/uf.1001519.smt2	unsat	4813	0	unsat
UF/sledgehammer/NS_Shared/smtlib.599737.smt2	unknown	11920	0	unknown
UF/sledgehammer/QEpres/uf.637819.smt2	unsat	3511	0	unsat
UF/sledgehammer/StrongNorm/uf.648745.smt2	unsat	5812	0	unsat
UF/sledgehammer/TwoSquares/uf.780730.smt2	unknown	23927	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	none	14446	134	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_50_619_1635445.smt_in.smt2	unsat	5714	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_02_023_2365793.smt_in.smt2	unsat	19327	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/hamming_stream/x2015_09_10_16_49_31_231_1150288.smt_in.smt2	unknown	8915	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/splay_tree_analysis/x2015_09_10_16_56_26_954_1077626.smt_in.smt2	unsat	3011	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_32_375_1480522.smt_in.smt2	unsat	3712	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_58_30_303_1827001.smt_in.smt2	unknown	10017	0	unknown
UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2	unknown	10618	0	unsat
UF/sledgehammer/Arrow_Order/uf.616692.smt2	unsat	12120	0	unsat
UF/sledgehammer/FFT/uf.758281.smt2	sat	108	0	sat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1198393.smt2	unknown	10018	0	unsat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.693739.smt2	unknown	7215	0	unknown
UF/sledgehammer/Hoare/uf.1061790.smt2	unknown	19823	0	unknown
UF/sledgehammer/NS_Shared/smtlib.678332.smt2	unknown	4613	0	unsat
UF/sledgehammer/QEpres/uf.678944.smt2	unsat	4513	0	unsat
UF/sledgehammer/StrongNorm/uf.697927.smt2	unsat	9016	0	unsat
UF/sledgehammer/TwoSquares/uf.815613.smt2	sat	208	0	sat
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	unsat	5513	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2	unknown	25030	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_42_195_2416479.smt_in.smt2	unsat	4711	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_46_58_732_1021788.smt_in.smt2	unknown	21027	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_57_45_684_1164560.smt_in.smt2	unknown	25231	0	sat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_24_325_1534085.smt_in.smt2	unknown	20222	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_12_776_1884727.smt_in.smt2	unknown	19726	0	unknown
UF/grasshopper/instantiated/pull_strands_check_heap_access_77_2.smt2	unsat	710	0	unsat
UF/sledgehammer/Arrow_Order/uf.704291.smt2	unknown	25231	0	unsat
UF/sledgehammer/FFT/uf.783324.smt2	unknown	25125	0	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1226930.smt2	unsat	2512	0	unsat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.727280.smt2	unknown	25131	0	unknown
UF/sledgehammer/Hoare/uf.1105286.smt2	unknown	24432	0	unknown
UF/sledgehammer/NS_Shared/smtlib.820464.smt2	unknown	11920	0	unknown
UF/sledgehammer/QEpres/uf.717452.smt2	sat	109	0	sat
UF/sledgehammer/StrongNorm/uf.745770.smt2	unknown	16224	0	unknown
UF/sledgehammer/TypeSafe/smtlib.1098821.smt2	unknown	24129	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_01_14_404_1150262.smt_in.smt2	unsat	3412	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_01_24_430_1743988.smt_in.smt2	unsat	3812	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_10_47_003_2500061.smt_in.smt2	unknown	6115	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_12_933_1099247.smt_in.smt2	unknown	13721	0	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_59_31_681_1283677.smt_in.smt2	unsat	10217	0	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/koenig/x2015_09_10_16_45_05_341_1010900.smt_in.smt2	unknown	15023	0	unknown
