file	verdict	ms	rc	status
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0869.fof.smt2	unsat	108	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2106.fof.smt2	unsat	308	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_3313.fof.smt2	unsat	209	0	unsat
AUFLIRA/nasa/fol_simplify_structure_forall/thruster_inuse_0563.fof.smt2	unsat	108	0	unsat
AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_init_0040.fof.smt2	unknown	16921	0	unsat
AUFLIRA/why/smtlib98320f.smt2	unsat	809	0	unsat
AUFLIRA/nasa/fol_simplify/gauss_init_0071.fof.smt2	unsat	610	0	unsat
AUFLIRA/nasa/fol_simplify/thruster_symm_0414.fof.smt2	unsat	209	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0088.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0609.fof.smt2	unsat	409	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0361.fof.smt2	unknown	910	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_0486.fof.smt2	unsat	110	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_1967.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_array_0205.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_init_1109.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_0965.fof.smt2	unsat	309	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_inuse_2172.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_0970.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_2206.fof.smt2	unsat	310	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_3414.fof.smt2	unsat	410	0	unsat
AUFLIRA/nasa/fol_simplify_structure_prop/cl5_nebula_init_0022.fof.smt2	unknown	13823	0	unsat
AUFLIRA/nasa/vc_normalize_subst/gauss_array_0065.fof.smt2	unsat	110	0	unsat
AUFLIRA/why/smtlibaf54f6.smt2	unsat	609	0	unsat
AUFLIRA/nasa/fol_simplify/gauss_init_0176.fof.smt2	unknown	20128	0	unsat
AUFLIRA/nasa/fol_simplify_arithmetics/gauss_init_0191.fof.smt2	unknown	20030	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0188.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0709.fof.smt2	unsat	510	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0463.fof.smt2	unsat	109	0	unsat
AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_symm_0642.fof.smt2	unsat	110	0	unsat
