file	base	base_ms	base_rc	arm	arm_ms	arm_rc	first	status
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	24336	0	unknown	24335	0	base	unknown
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	unknown	24137	0	unknown	24134	0	arm	unsat
UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2	unknown	24236	0	unknown	24133	0	base	unknown
UFLIA/grasshopper/uninstantiated/difference_check_heap_access_41_8.smt2	unknown	25236	0	unknown	25234	0	arm	unsat
UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	unknown	24437	0	unknown	24537	0	base	unsat
UFLIA/simplify/javafe.reader.StandardTypeReader.628.smt2	unsat	1212	0	unsat	1411	0	arm	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.CatchClauseVec.004.smt2	unsat	1512	0	unsat	1511	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.ImportDeclVec.015.smt2	unknown	24237	0	unknown	24234	0	arm	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	unknown	25138	0	unknown	25137	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.filespace.HashTree.001.smt2	unknown	24334	0	unknown	24435	0	arm	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.EnvForLocals.007.smt2	unknown	24536	0	unknown	24235	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.util.LocationManagerCorrelatedReader.011.smt2	unsat	1713	0	unsat	1710	0	arm	unsat
UFLIA/sledgehammer/FFT/smtlib.725125.smt2	unknown	1911	0	unknown	2011	0	base	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1331541.smt2	unknown	3814	0	unknown	3813	0	arm	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.775573.smt2	unknown	24335	0	unknown	24534	0	base	unknown
UFLIA/sledgehammer/Hoare/smtlib.581330.smt2	unknown	5515	0	unknown	4814	0	arm	unsat
UFLIA/sledgehammer/QEpres/smtlib.1005883.smt2	unknown	17429	0	unknown	17428	0	base	unknown
UFLIA/sledgehammer/QEpres/smtlib.783502.smt2	unknown	22934	0	unknown	23233	0	arm	unknown
UFLIA/sledgehammer/StrongNorm/smtlib.812524.smt2	unknown	15326	0	unknown	15825	0	base	unknown
UFLIA/sledgehammer/TwoSquares/smtlib.851746.smt2	unsat	111	0	unsat	108	0	arm	unsat
UFLIA/tokeneer/auditlog/addelementtofile-16.smt2	unsat	110	0	unsat	109	0	base	unsat
UFLIA/tokeneer/configdata/validatefile-11.smt2	unsat	211	0	unsat	208	0	arm	unsat
UFLIA/tokeneer/enrolment/validate-11.smt2	unsat	210	0	unsat	209	0	base	unsat
UFLIA/tokeneer/keystore/init-8.smt2	unsat	110	0	unsat	109	0	arm	unsat
UFLIA/tokeneer/userentry/validateentry-8.smt2	unsat	110	0	unsat	108	0	base	unsat
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	24137	0	unknown	24334	0	arm	unsat
UFLIA/boogie/LocalExpose_T.V1.smt2	unknown	24238	0	unknown	24236	0	base	unknown
UFLIA/boogie/Unsigned_test.Conversions_System.UInt32_System.Double.smt2	unknown	24136	0	unknown	24134	0	arm	unknown
UFLIA/grasshopper/uninstantiated/merge_loop_check_heap_access_60_6.smt2	unknown	24737	0	unknown	24735	0	base	unsat
UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	unknown	24436	0	unknown	24936	0	arm	unsat
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.679.smt2	unknown	25136	0	unknown	25135	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unknown	25137	0	unknown	25135	0	arm	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unknown	25136	0	unknown	25135	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.TypeDeclElemVec.006.smt2	unsat	1313	0	unsat	1410	0	arm	unsat
UFLIA/simplify2/front_end_suite/javafe.filespace.Resolve.010.smt2	unsat	2412	0	unsat	2511	0	base	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	unknown	25137	0	unknown	25136	0	arm	unsat
UFLIA/simplify2/front_end_suite/tohtml.DeclLinks.009.smt2	unknown	24436	0	unknown	24534	0	base	unsat
UFLIA/sledgehammer/FFT/smtlib.898060.smt2	unknown	13425	0	unknown	13023	0	arm	unsat
