file	base	base_ms	base_rc	arm	arm_ms	arm_rc	first	status
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_5_2.smt2	unknown	210	0	unknown	25130	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_cegar_2_1_4.smt2	unknown	209	0	unknown	25130	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_cegar_2_2_4.smt2	unknown	209	0	unknown	25130	0	arm	unknown
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_10_0.smt2	unknown	209	0	unknown	25130	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_2_3.smt2	unknown	109	0	unknown	25130	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_4_2.smt2	unknown	109	0	unknown	25131	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_6_1.smt2	unknown	109	0	unknown	25131	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_0.smt2	unknown	109	0	unknown	25131	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_4.smt2	unknown	108	0	unknown	25130	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_1_3.smt2	unknown	108	0	unknown	25131	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_2_1.smt2	unknown	110	0	unknown	25131	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_0.smt2	unknown	109	0	unknown	25131	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_4.smt2	unknown	109	0	unknown	25130	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_6_3.smt2	unknown	109	0	unknown	25131	0	base	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_8_2.smt2	unknown	210	0	unknown	25131	0	arm	unsat
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_4_3.smt2	unknown	209	0	unknown	25030	0	base	unsat
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array_3-1-O0.smt2	unknown	609	0	unknown	708	0	arm	unknown
QF_NIA/20210219-Dartagnan/ConcurrencySafety-Main/pthread-demo-datarace-2-O0.smt2	unknown	609	0	unknown	508	0	base	unknown
QF_NIA/20210219-Dartagnan/ConcurrencySafety-Main/26_stack_cas_longer-2-O0.smt2	unknown	310	0	unknown	508	0	arm	unknown
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/stack_longest-2-O0.smt2	unknown	310	0	unknown	408	0	base	unknown
UFNIA/spec_sharp/test14-Xml.ssc.12.Microsoft.Boogie.XmlSink.WriteStartInference_System.String_notnull.smt2	unknown	108	0	unknown	22428	0	arm	unsat
UFNIA/spec_sharp/test14-Xml.ssc.17.Microsoft.Boogie.XmlSink.WriteFileFragment_System.String_notnull.smt2	unknown	109	0	unknown	22328	0	base	unsat
UFNIA/spec_sharp/test14-Xml.ssc.3.Microsoft.Boogie.XmlSink..ctor_System.String_notnull.smt2	unknown	109	0	unknown	21026	0	arm	unsat
UFNIA/spec_sharp/test14-Xml.ssc.7.Microsoft.Boogie.XmlSink.WriteEndMethod_System.String_notnull_System.DateTime_System.TimeSpan.smt2	unknown	110	0	unknown	21428	0	base	unsat
QF_NIA/20210219-Dartagnan/ConcurrencySafety-Main/race-2_2-container_of-O0.smt2	unknown	310	0	unknown	408	0	arm	unknown
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/38_rand_cas_vs_concur-O0.smt2	unknown	1110	0	unknown	1209	0	base	unknown
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.10.Microsoft.Boogie.CommandLineOptions.CommandLineParseState.GetNumericArgument_System.Double.ptr.smt2	unknown	109	0	unknown	18624	0	arm	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.14.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ToolName.smt2	unknown	108	0	unknown	18625	0	base	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.18.Microsoft.Boogie.CommandLineOptions.ExpandFilename_System.String_notnull.smt2	unknown	109	0	unknown	18625	0	arm	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.22.Microsoft.Boogie.CommandLineOptions.set_NoConsistencyChecks_System.Boolean.smt2	unknown	108	0	unknown	18123	0	base	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.26.Microsoft.Boogie.CommandLineOptions.UserWantsToBreak_System.String_notnull.smt2	unknown	109	0	unknown	21727	0	arm	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.3.Microsoft.Boogie.CommandLineOptions.AiFlags..ctor.smt2	unknown	108	0	unknown	20527	0	base	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.33.Microsoft.Boogie.CommandLineOptions.GetArgumentSeparatorIndex_System.String_notnull_System.Int32.smt2	unknown	110	0	unknown	20827	0	arm	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.5.Microsoft.Boogie.CommandLineOptions.CommandLineParseState..ctor_System.optional...NonNullType.String.smt2	unknown	109	0	unknown	19926	0	base	unsat
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.9.Microsoft.Boogie.CommandLineOptions.CommandLineParseState.GetNumericArgument_System.Int32.ptr_System.smt2	unknown	108	0	unknown	17623	0	arm	unsat
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/array-1-O0.smt2	unknown	108	0	unknown	107	0	base	unsat
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/26_stack_cas-O0.smt2	unknown	3011	0	unknown	3610	0	arm	unknown
QF_NIA/20210219-Dartagnan/ConcurrencySafety-Main/36_stack_cas_p0_vs_concur-O0.smt2	unknown	309	0	unknown	307	0	base	unknown
QF_NIA/20210219-Dartagnan/ConcurrencySafety-Main/25_stack_longest-2-O0.smt2	unknown	409	0	unknown	407	0	arm	unknown
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/nec40-O0.smt2	unknown	108	0	unknown	107	0	base	unknown
