x2015_09_10_16_45_05_341_1010900.smt_in.smt2	unknown	21.62	unknown	13.22
x2015_09_10_16_57_14_271_1048482.smt_in.smt2	unknown	25.33	unknown	25.32
x2015_09_10_16_49_54_437_992499.smt_in.smt2	unknown	6.11	unknown	8.32
x2015_09_10_16_50_41_894_1052743.smt_in.smt2	unsat	2.21	unsat	2.21
x2015_09_10_16_51_42_659_1137578.smt_in.smt2	unsat	1.41	unsat	1.51
x2015_09_10_16_52_32_920_1212907.smt_in.smt2	unknown	11.52	unknown	24.13
x2015_09_10_16_53_32_038_1322967.smt_in.smt2	unknown	24.12	unknown	16.32
x2015_09_10_16_54_34_841_1436021.smt_in.smt2	unknown	17.02	unknown	18.52
x2015_09_10_16_55_27_693_1550802.smt_in.smt2	unknown	19.12	unknown	18.23
x2015_09_10_16_56_17_304_1652193.smt_in.smt2	unknown	15.82	unknown	15.42
x2015_09_10_16_58_30_303_1827001.smt_in.smt2	unknown	16.02	unknown	9.02
x2015_09_10_16_59_12_776_1884727.smt_in.smt2	unknown	8.51	unknown	19.82
x2015_09_10_16_46_52_587_993366.smt_in.smt2	unknown	17.82	unknown	16.32
x2015_09_10_16_48_19_087_1086853.smt_in.smt2	unknown	25.13	unknown	22.63
x2015_09_10_16_49_15_141_1153946.smt_in.smt2	unknown	23.92	unknown	12.22
x2015_09_10_16_54_37_804_1017588.smt_in.smt2	unsat	7.71	unsat	7.72
x2015_09_10_16_50_45_438_1077294.smt_in.smt2	unknown	25.23	unknown	25.23
x2015_09_10_16_51_44_982_1071529.smt_in.smt2	unknown	17.42	unknown	17.02
x2015_09_10_16_53_52_641_1189730.smt_in.smt2	unsat	0.11	unsat	0.11
00980.smt2	unsat	0.41	unsat	0.41
distr-0.smt2	unknown	20.53	unknown	15.22
dl_copy_loop_check_heap_access_31_6.smt2	unsat	1.11	unsat	1.11
dl_remove_postcondition_of_dl_remove_50_4.smt2	unknown	24.12	unknown	8.82
pull_strands_check_heap_access_77_2.smt2	unsat	0.71	unsat	0.71
rec_remove_postcondition_of_rec_remove_20_4.smt2	unsat	12.22	unsat	12.21
split_loop_check_heap_access_79_6.smt2	unsat	1.21	unsat	1.21
dl_copy_invariant_19_2.smt2	unknown	24.53	unknown	24.53
dl_remove_loop_invariant_35_5.smt2	unknown	8.52	unknown	8.02
insert_postcondition_of_insert_27_4.smt2	unknown	16.42	unknown	10.32
rec_remove_check_heap_access_23_4.smt2	unsat	1.21	unsat	1.21
split_invariant_73_2.smt2	unsat	12.42	unsat	12.42
smtlib.573364.smt2	sat	0.11	sat	0.11
smtlib.663965.smt2	unknown	26.34	unknown	26.34
uf.558544.smt2	unsat	2.51	unsat	2.51
uf.616692.smt2	unsat	12.22	unsat	12.12
uf.704291.smt2	unknown	25.33	unknown	25.32
uf.774042.smt2	unsat	5.21	unsat	5.11
uf.813308.smt2	unknown	25.23	unsat	5.51
uf.850780.smt2	unknown	25.32	unknown	25.43
uf.573210.smt2	unknown	24.32	unknown	24.22
uf.599118.smt2	sat	0.11	sat	0.11
uf.628947.smt2	sat	1.11	sat	1.01
uf.652299.smt2	sat	0.41	sat	0.41
uf.681247.smt2	sat	0.11	sat	0.11
uf.711424.smt2	unknown	11.32	unknown	13.12
uf.734908.smt2	unknown	24.23	unknown	24.12
uf.758281.smt2	sat	0.11	sat	0.11
uf.783324.smt2	unknown	25.12	unknown	25.12
uf.807359.smt2	unknown	24.23	unknown	25.13
uf.832362.smt2	sat	0.21	sat	0.11
uf.863296.smt2	unknown	21.23	unknown	21.03
uf.888460.smt2	unknown	9.01	unknown	10.22
uf.915673.smt2	unsat	12.12	unsat	12.12
smtlib.723818.smt2	sat	0.21	sat	0.21
uf.1018623.smt2	unknown	22.92	unknown	13.42
uf.1065126.smt2	unknown	25.13	unknown	20.22
uf.1115480.smt2	unknown	25.23	unknown	20.83
uf.1158058.smt2	unknown	25.13	unknown	25.13
uf.1198393.smt2	unknown	22.53	unknown	8.82
uf.1226930.smt2	unsat	2.51	unsat	2.51
uf.1260380.smt2	unknown	13.82	unknown	12.22
uf.1294868.smt2	unknown	21.82	unknown	15.42
uf.1318643.smt2	unsat	4.81	unsat	4.71
uf.1344532.smt2	unsat	3.91	unsat	3.81
uf.1382574.smt2	unsat	13.21	unsat	7.21
uf.1421601.smt2	unknown	9.61	unknown	13.62
uf.558133.smt2	unknown	6.71	unknown	5.91
uf.590503.smt2	unsat	4.11	unsat	4.21
uf.624285.smt2	sat	0.11	sat	0.11
uf.658398.smt2	unknown	24.93	unknown	24.52
uf.693739.smt2	unknown	14.52	unknown	6.71
uf.727280.smt2	unknown	13.92	unknown	25.12
uf.758943.smt2	unknown	24.13	unknown	24.22
uf.790950.smt2	unknown	18.12	unknown	8.01
uf.828004.smt2	unsat	1.31	unsat	1.51
uf.870785.smt2	unsat	4.71	unsat	4.71
uf.908739.smt2	sat	0.11	sat	0.11
uf.937758.smt2	sat	0.11	sat	0.11
uf.974621.smt2	unknown	20.72	unsat	4.01
smtlib.1116374.smt2	unknown	24.13	unsat	12.32
smtlib.631037.smt2	unsat	12.32	unsat	12.12
uf.1001519.smt2	unsat	4.01	unsat	4.01
uf.1061790.smt2	unknown	21.32	unknown	17.52
uf.1105286.smt2	unknown	25.33	unknown	25.33
uf.1172268.smt2	unknown	15.02	unknown	6.01
uf.575042.smt2	sat	0.11	sat	0.11
uf.623138.smt2	unknown	14.32	unknown	11.92
uf.685581.smt2	unknown	17.12	unknown	7.61
uf.733610.smt2	unknown	10.31	unknown	5.91
uf.780982.smt2	sat	0.11	sat	0.11
uf.834137.smt2	unknown	5.71	unknown	4.91
uf.899895.smt2	unknown	20.12	unknown	15.12
uf.966336.smt2	unknown	24.12	unknown	24.13
smtlib.599737.smt2	unknown	16.42	unknown	10.81
smtlib.678332.smt2	unknown	5.41	unknown	4.21
smtlib.820464.smt2	unknown	15.42	unknown	12.22
uf.573318.smt2	unknown	25.13	unknown	19.73
uf.640403.smt2	unknown	19.52	unknown	18.52
uf.768897.smt2	unsat	4.11	unsat	4.21
uf.828518.smt2	unknown	25.23	unknown	25.02
uf.1001076.smt2	unsat	10.72	unsat	10.62
uf.1050663.smt2	unsat	12.72	unsat	10.21
uf.1089524.smt2	unsat	18.72	unsat	13.12
uf.1132540.smt2	unknown	24.63	unknown	25.23
uf.595470.smt2	unknown	24.42	unknown	22.23
uf.637819.smt2	unknown	25.13	unsat	3.21
uf.678944.smt2	unsat	4.11	unsat	3.92
uf.717452.smt2	sat	0.11	sat	0.11
uf.757404.smt2	sat	0.51	sat	0.51
uf.787833.smt2	sat	0.11	sat	0.11
uf.814223.smt2	unknown	24.62	unknown	24.62
uf.850857.smt2	unknown	24.33	unknown	20.52
uf.883950.smt2	unknown	25.33	unknown	22.43
uf.924249.smt2	unknown	24.53	unknown	24.52
uf.967803.smt2	unknown	21.93	unknown	21.82
uf.560863.smt2	unknown	18.52	unknown	19.53
uf.599383.smt2	unknown	5.51	unknown	9.61
uf.648745.smt2	unsat	5.21	unsat	5.11
uf.697927.smt2	unsat	8.61	unsat	8.41
uf.745770.smt2	unknown	7.31	unknown	16.22
uf.788605.smt2	unsat	12.12	unsat	12.12
uf.838784.smt2	unsat	11.02	unsat	11.02
uf.601168.smt2	unknown	24.62	unknown	25.12
uf.626615.smt2	unsat	0.11	unsat	0.11
uf.651233.smt2	unsat	3.51	unsat	1.81
uf.673275.smt2	unsat	0.91	unsat	0.91
uf.703271.smt2	unknown	25.13	unknown	13.42
uf.728413.smt2	sat	0.21	sat	0.21
uf.752244.smt2	sat	0.31	sat	0.21
uf.780730.smt2	unknown	23.22	unknown	19.63
uf.815613.smt2	sat	0.21	sat	0.21
smtlib.1098821.smt2	unknown	24.22	unknown	24.12
smtlib.1262852.smt2	sat	3.61	sat	3.61
smtlib.1348248.smt2	unknown	8.51	unknown	6.02
smtlib.1468059.smt2	unknown	23.82	unknown	20.12
smtlib.655487.smt2	unsat	7.62	unsat	8.01
smtlib.765771.smt2	unknown	12.72	unknown	10.11
uf.1008626.smt2	unknown	25.43	unknown	25.32
