file	verdict	ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard18.smt2	unknown kind=ResourceLimit	24141	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=406, function_groups=3, potential_pairs=66486, solve_rounds=36, elapsed_ms=20779, sat_candidates=35, first_candidate_ms=66, last_candidate_ms=20757, pair_checks=2324435, equal_arg_pairs=111, violated_pairs=105, preseeded_lemmas=0, sibling_lemmas=20, lemmas_added=131, last_new_lemmas=4): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=1321, cnf_vars=4150, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=751, blocking_lemmas=306); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_06_20.smt2	unknown kind=ResourceLimit	113	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=126, function_groups=20, potential_pairs=343, solve_rounds=1, elapsed_ms=16, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2094, cnf_vars=4185, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_07_17.smt2	unknown kind=ResourceLimit	113	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=125, function_groups=17, potential_pairs=406, solve_rounds=1, elapsed_ms=17, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2448, cnf_vars=4893, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_07_20.smt2	unknown kind=ResourceLimit	112	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=146, function_groups=20, potential_pairs=469, solve_rounds=1, elapsed_ms=20, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2868, cnf_vars=5733, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_11.smt2	unknown kind=ResourceLimit	112	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=94, function_groups=11, potential_pairs=363, solve_rounds=1, elapsed_ms=14, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2108, cnf_vars=4213, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_14.smt2	unknown kind=ResourceLimit	110	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=118, function_groups=14, potential_pairs=447, solve_rounds=1, elapsed_ms=16, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2660, cnf_vars=5317, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_17.smt2	unknown kind=ResourceLimit	110	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=142, function_groups=17, potential_pairs=531, solve_rounds=1, elapsed_ms=21, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=3212, cnf_vars=6421, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_20.smt2	unknown kind=ResourceLimit	212	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=166, function_groups=20, potential_pairs=615, solve_rounds=1, elapsed_ms=24, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=3764, cnf_vars=7525, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_11.smt2	unknown kind=ResourceLimit	111	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=105, function_groups=11, potential_pairs=457, solve_rounds=1, elapsed_ms=17, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2676, cnf_vars=5349, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_14.smt2	unknown kind=ResourceLimit	112	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=132, function_groups=14, potential_pairs=565, solve_rounds=1, elapsed_ms=21, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=3378, cnf_vars=6753, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_17.smt2	unknown kind=ResourceLimit	211	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=159, function_groups=17, potential_pairs=673, solve_rounds=1, elapsed_ms=29, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=4080, cnf_vars=8157, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_20.smt2	unknown kind=ResourceLimit	212	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=186, function_groups=20, potential_pairs=781, solve_rounds=1, elapsed_ms=32, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=4782, cnf_vars=9561, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_08.smt2	unknown kind=ResourceLimit	111	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=86, function_groups=8, potential_pairs=427, solve_rounds=1, elapsed_ms=16, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=2442, cnf_vars=4881, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_11.smt2	unknown kind=ResourceLimit	111	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=116, function_groups=11, potential_pairs=562, solve_rounds=1, elapsed_ms=21, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=3312, cnf_vars=6621, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_14.smt2	unknown kind=ResourceLimit	212	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=146, function_groups=14, potential_pairs=697, solve_rounds=1, elapsed_ms=30, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=4182, cnf_vars=8361, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_17.smt2	unknown kind=ResourceLimit	211	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=176, function_groups=17, potential_pairs=832, solve_rounds=1, elapsed_ms=30, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=5052, cnf_vars=10101, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_20.smt2	unknown kind=ResourceLimit	212	unknown kind=ResourceLimit detail: lazy function-consistency CEGAR inconclusive (applications=206, function_groups=20, potential_pairs=967, solve_rounds=1, elapsed_ms=42, sat_candidates=0, first_candidate_ms=none, last_candidate_ms=none, pair_checks=0, equal_arg_pairs=0, violated_pairs=0, preseeded_lemmas=0, sibling_lemmas=0, lemmas_added=0, last_new_lemmas=0): lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=5922, cnf_vars=11841, base_trigger=>1024/>4096, moderate_envelope<=1280/<=8192, initial_clauses=0, blocking_lemmas=0); declining before the first SAT round
