file	declared	z3	z3_ms	base	base_ms	base_detail	ab	ab_ms	ab_detail	budget	budget_ms	budget_detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_08_08.smt2	sat	sat	110	unknown	24327	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24329	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24333	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_05.smt2	unsat	unsat	112	unsat	707		unsat	911		unsat	708	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_05.smt2	sat	sat	107	unknown	24325	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24351	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24330	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_03_20.smt2	unsat	unsat	107	unsat	4712		unsat	4611		unsat	5312	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_09_08.smt2	sat	sat	108	unknown	24335	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24327	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24337	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_08.smt2	unsat	unsat	108	unsat	3710		unsat	5812		unsat	5913	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_10_05.smt2	sat	sat	107	unknown	24331	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24329	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24328	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_17.smt2	unsat	unsat	113	unsat	6518		unsat	7515		unsat	8515	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_20.smt2	unsat	unsat	111	unsat	8914		unsat	6315		unsat	8923	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_05.smt2	unsat	unsat	109	unsat	10116		unsat	10724		unsat	8522	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_11.smt2	unsat	unsat	113	unknown	24330	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24338	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unsat	23728	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_04_14.smt2	unsat	unsat	108	unknown	24328	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24340	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24328	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_08.smt2	unsat	unsat	108	unknown	24337	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24327	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24339	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-08-4-2-5-4.smt2	unsat	unsat	108	unsat	208		unsat	208		unsat	208	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-12-1-4-2-1.smt2	unsat	unsat	107	unsat	209		unsat	108		unsat	208	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-16-1-5-4-3.smt2	unsat	unsat	108	unsat	107		unsat	207		unsat	208	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-05-19-1-4-2-1.smt2	unsat	unsat	108	unsat	108		unsat	107		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_11.smt2	unsat	unsat	107	unknown	24344	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24326	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24341	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-07-4-5-4-2.smt2	sat	sat	107	sat	308		sat	508		sat	308	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-10-1-4-2-5.smt2	unsat	unsat	107	unsat	107		unsat	107		unsat	106	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-14-3-1-5-2.smt2	unsat	unsat	107	unsat	107		unsat	107		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-06-18-1-2-1-5.smt2	unsat	unsat	106	unsat	107		unsat	107		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-05-5-2-3-5.smt2	unsat	unsat	107	unsat	107		unsat	107		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-09-3-4-4-3.smt2	unsat	unsat	107	unsat	107		unsat	106		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-13-5-3-2-1.smt2	unsat	unsat	107	unsat	107		unsat	107		unsat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-16-2-4-3-5.smt2	unsat	unsat	108	unsat	808		unsat	808		unsat	808	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-07-20-2-5-1-4.smt2	unsat	unsat	106	unsat	807		unsat	807		unsat	607	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-07-3-2-3-1.smt2	sat	sat	108	sat	608		sat	608		sat	508	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-11-4-3-2-2.smt2	sat	sat	107	sat	1008		sat	808		sat	1008	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-15-4-2-1-4.smt2	unsat	unsat	107	unsat	907		unsat	906		unsat	907	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-08-19-2-2-3-1.smt2	unsat	unsat	107	unsat	1408		unsat	1408		unsat	1408	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-06-1-5-3-2.smt2	sat	sat	107	sat	1108		sat	1108		sat	808	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-10-5-1-5-2.smt2	sat	sat	108	sat	1108		sat	807		sat	1107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_uns_05_14.smt2	unsat	unsat	108	unknown	24329	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24335	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	24334	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Wisa/xs-09-13-2-3-1-3.smt2	unsat	unsat	107	unsat	1608		unsat	1608		unsat	1909	
