file	declared	z3	z3_ms	base	base_ms	base_detail	ab	ab_ms	ab_detail	budget	budget_ms	budget_detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c48.smt2	unsat	other	24028	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29132	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c00.smt2	unsat	other	24028	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29131	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29131	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c24.smt2	unsat	other	24026	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29133	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c12.smt2	unsat	other	24028	unknown	29130	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29131	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29131	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c36.smt2	unsat	other	24032	unknown	29230	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29231	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29333	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c60.smt2	unsat	other	24029	unknown	29132	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29133	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29135	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c96.smt2	unsat	other	24029	unknown	29132	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29133	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29135	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c84.smt2	unsat	other	24132	unknown	29434	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29531	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29535	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_c72.smt2	unsat	other	24133	unknown	29732	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29431	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29733	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i08.smt2	sat	other	24029	unknown	29632	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29632	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29933	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i32.smt2	sat	other	24128	HARDKILL	32135		HARDKILL	32133		unknown	31532	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i56.smt2	sat	other	24227	unknown	29837	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	HARDKILL	32137		HARDKILL	32235	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i20.smt2	sat	other	24128	HARDKILL	32135		HARDKILL	32133		HARDKILL	32132	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i44.smt2	sat	other	24126	unknown	31833	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	32034	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	HARDKILL	32131	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i68.smt2	sat	other	24127	HARDKILL	32135		HARDKILL	32236		HARDKILL	32134	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-jobshop-BohanLi/jobshop10-2-5-5-4-4-16.smt2	sat	sat	110	sat	1709		sat	1610		sat	1211	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-jobshop-BohanLi/jobshop16-2-8-8-4-4-16.smt2	sat	sat	212	sat	15720		sat	10316		sat	15623	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-RVpredict-BohanLi/RVpredict_13.smt2	sat	sat	539	unknown	26128	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	26127	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	26246	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20220214-jobshop-BohanLi/jobshop20-2-10-10-4-4-16.smt2	sat	sat	622	unknown	29132	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29129	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	29147	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_IDL/20210312-Bouvier/vlsat3_i92.smt2	sat	other	24063	unknown	30932	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	30628	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	HARDKILL	32341	
