file	ours	status	z3	cvc5	agree
AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__container.adb_30_11_container.adb_45_7_precondition___03.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/S415-012__ex_pledge__pledge_constraints.adb_22_37_discriminant_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_16_13_loop_invariant_init___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_86_45_index_check___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	unsat	unsat	unsat	unsat	DISAGREEMENT-NONE
