file	declared	bytes	axeyum	unknown_kind	axeyum_ms	z3	z3_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/11775_ad46e5b8db4748c51973_42_QF_UFLIA.smt2	unknown	221335	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639935` exceeds the modeled `Int` range	na	122	sat	1223	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFLIA.smt2	unknown	315721	error: parse error: unsupported: integer literal `1461501637330902918203684832716283019655932542975` exceeds the modeled `Int` range	na	113	sat	4519	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2	unknown	216864	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	116	timeout	24153	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2	unknown	387152	error: parse error: unsupported: integer literal `340282366920938463463374607431768211455` exceeds the modeled `Int` range	na	117	timeout	24153	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2	unknown	269936	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639935` exceeds the modeled `Int` range	na	119	timeout	24144	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/39657_1c7158801cd59dc13f05_46_QF_UFLIA.smt2	unknown	133472	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	114	sat	5326	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_45c688a4814eb926c254_59_QF_UFLIA.smt2	unknown	346643	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	112	sat	4621	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_38_QF_UFLIA.smt2	unknown	6190323	error: parse error: unsupported: integer literal `97199519776808029778168953285215024309695167179541945341261303444449322336256` exceeds the modeled `Int` range	na	819	timeout	24154	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_e5a2e5c780236919ee6a_18_QF_UFLIA.smt2	unknown	611824	error: parse error: unsupported: integer literal `48119142951092613731468242753959111846395615040638799039548226541748339343360` exceeds the modeled `Int` range	na	114	sat	8230	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/63058_aa742630eef64f949de269382c1f9035_25_UFLIA.smt2	unknown	68459	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	113	unsat	113	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFLIA.smt2	unknown	59772	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	116	sat	219	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_092cc73601c78e45f4f9_56_QF_UFLIA.smt2	unknown	373700	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	113	timeout	24053	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/38347_525a1ca0331f2bcbf520_54_QF_UFLIA.smt2	unknown	1937601	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	213	timeout	24275	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_61_QF_UFLIA.smt2	unknown	102325	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	114	timeout	24049	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/63058_64ab9a7ef7b6c3492507_22_QF_UFLIA.smt2	unknown	1506547	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	212	sat	12260	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/72771_f9d228efc97cf1458e38_64_QF_UFLIA.smt2	unknown	238077	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	116	sat	6044	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44289_4066055e0f64d96da11a_15_QF_UFLIA.smt2	unknown	2442126	error: parse error: unsupported: integer literal `16156842317565293874272834530371880720966471053262404558597773956279093428224` exceeds the modeled `Int` range	na	312	timeout	24091	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/52759_bec3a2272267494faeecb6bfaf253e3b_10_QF_UFLIA.smt2	unknown	1150351	error: parse error: unsupported: integer literal `1461501637330902918203684832716283019655932542976` exceeds the modeled `Int` range	na	212	unsat	16868	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2	unknown	178243	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	112	unsat	20379	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.602046.smt2	unsat	522	unsat	na	115	unsat	113	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.606691.smt2	unsat	540	unsat	na	113	unsat	112	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.621344.smt2	sat	627	sat	na	112	sat	112	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.666105.smt2	unsat	570	unsat	na	112	unsat	112	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.675482.smt2	unsat	688	unsat	na	113	unsat	113	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.686091.smt2	unsat	637	unsat	na	115	unsat	114	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/TwoSquares/smtlib.769286.smt2	unsat	599	unsat	na	113	unsat	113	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_73_QF_UFLIA.smt2	unknown	3748085	error: parse error: unsupported: integer literal `64481368622683354557555711714629296119639875834729404553039716062438103187456` exceeds the modeled `Int` range	na	413	timeout	24173	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/66603_accdadf23a1cf70ae043_76_QF_UFLIA.smt2	unknown	16749567	error: parse error: unsupported: integer literal `4238056678808933066457772256406219440718756300954938350892797929791311314944` exceeds the modeled `Int` range	na	1722	timeout	24156	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_2_UFLIA.smt2	unknown	710009	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	112	timeout	24057	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/93493_1fdb6cc8eb9c4363b5838af9eb8c7f1f_53_QF_UFLIA.smt2	unknown	1018820	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	213	timeout	24047	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard4.smt2	unsat	1632	unsat	na	1920	unsat	112	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/93493_5990a6bf5f2740164f77_50_QF_UFLIA.smt2	unknown	7636151	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	1015	timeout	24052	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_30_QF_UFLIA.smt2	unknown	459533	error: parse error: unsupported: integer literal `115792089237316195423570985008687907853269984665640564039457584007913129639936` exceeds the modeled `Int` range	na	114	timeout	24064	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_33_QF_UFLIA.smt2	unknown	483777	error: parse error: unsupported: integer literal `89953063794570797914675343120038501642627609741519254829220540789936042803200` exceeds the modeled `Int` range	na	113	timeout	24046	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard12.smt2	unsat	5491	unknown	Timeout	24343	unsat	111	preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/medium/medium10.smt2	unsat	4270	unknown	ResourceLimit	11938	unsat	108	lazy function-consistency CEGAR inconclusive (applications=154, function_groups=3, potential_pairs=8172, solve_rounds=4, elapsed_ms=1569, sat_candidates=3, first_candidate_ms=33, last_candidate_ms=484
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard7.smt2	unsat	2694	unsat	na	12543	unsat	129	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_03_05.smt2	sat	2217	sat	na	634	sat	110	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_03_08.smt2	sat	3246	sat	na	1109	sat	109	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard15.smt2	unsat	7798	unknown	Timeout	24347	unsat	107	preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_03_11.smt2	sat	4285	sat	na	1712	sat	107	
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/hard/hard18.smt2	unsat	10555	unknown	ResourceLimit	24045	unsat	107	lazy function-consistency CEGAR inconclusive (applications=406, function_groups=3, potential_pairs=66486, solve_rounds=36, elapsed_ms=19707, sat_candidates=35, first_candidate_ms=83, last_candidate_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_03_14.smt2	sat	5326	unknown	ResourceLimit	4514	sat	107	lazy function-consistency CEGAR inconclusive (applications=48, function_groups=14, potential_pairs=67, solve_rounds=5, elapsed_ms=4244, sat_candidates=4, first_candidate_ms=2381, last_candidate_ms=334
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/EufLaArithmetic/medium/medium13.smt2	unsat	6340	unknown	ResourceLimit	18469	unsat	107	lazy function-consistency CEGAR inconclusive (applications=235, function_groups=3, potential_pairs=20559, solve_rounds=13, elapsed_ms=7433, sat_candidates=12, first_candidate_ms=31, last_candidate_ms=
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLIA/mathsat/Hash/hash_sat_04_05.smt2	sat	3491	sat	na	1808	sat	107	
