file	verdict	ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	CRASH:134	12750	memory allocation of 588864 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	CRASH:134	17735	memory allocation of 241472 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	unknown kind=Timeout	30084	preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	CRASH:134	14950	memory allocation of 403520 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	HARDKILL	32452	ext timeout 32s
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	CRASH:134	15517	memory allocation of 600800 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	HARDKILL	32475	ext timeout 32s
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	CRASH:134	14411	memory allocation of 666528 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	CRASH:134	26314	memory allocation of 2077248 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	CRASH:134	25433	memory allocation of 2614816 bytes failed note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
