file	base_2611e14b0	ms	main_054104068	ms	first	status
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/20-vars/v20_problem_2__031.smt2.slack.smt2	unsat	106	unsat	106	A	unsat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/40-vars/v40_problem_2__015.smt2.slack.smt2	sat	6711	sat	6612	B	sat
QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage5.smt2	sat	106	sat	106	A	sat
QF_LIA/2019-ezsmt/incrementalScheduling/182-incremental_scheduling-17280-0.smt2	unknown	24127	unknown	24125	B	unknown
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-01.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-00.smt2	unsat	106	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-04.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-04.smt2	sat	107	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-08.smt2	unsat	106	unsat	106	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-03.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-08.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-14.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-14.smt2	unsat	106	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-08.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-00.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-03.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-09.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-01.smt2	sat	106	sat	106	A	sat
QF_LIA/20220307-SMPT/BART-PT-002/RF-13.smt2	sat	106	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	106	unsat	106	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-04.smt2	sat	106	sat	106	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-11.smt2	sat	106	sat	106	A	sat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__022.smt2	sat	106	sat	106	B	sat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__026.smt2	unsat	106	unsat	106	A	unsat
QF_LIA/arctic-matrix/constraint-1107622.smt2	unknown	507	unknown	507	B	sat
QF_LIA/bofill-scheduling/SMT_random_LIA/ex27000_2600_100.smt2	unknown	24125	unknown	24225	A	sat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex5640_2400_100.smt2	unknown	24126	unknown	24126	B	sat
QF_LIA/convert/convert-jpg2gif-query-1143.smt2	sat	8713	sat	8713	A	sat
QF_LIA/convert/convert-jpg2gif-query-1586.smt2	unknown	8711	unknown	8713	B	sat
QF_LIA/dillig/30-34.smt2	sat	807	sat	807	A	sat
QF_LIA/nec-smt/large/bftpd_login/prp-10-47.smt2	unknown	25130	unknown	25030	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-60-49.smt2	unknown	24630	unknown	24530	A	unsat
QF_LIA/nec-smt/large/checkpass/prp-40-50.smt2	unknown	24828	unknown	24929	B	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-26-37.smt2	unknown	21126	unknown	21227	A	sat
QF_LIA/nec-smt/large/checkpass_pwd/prp-44-39.smt2	unknown	16622	unknown	16622	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-9-46.smt2	unknown	25030	unknown	24930	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-56-47.smt2	unknown	22426	unknown	22427	B	unsat
QF_LIA/nec-smt/large/checkpass/prp-39-48.smt2	unknown	22427	unknown	22527	A	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-35-43.smt2	unknown	22027	unknown	22129	B	sat
QF_LIA/nec-smt/med/checkpass_pwd/prp-0-19.smt2	unknown	24130	unknown	24129	A	sat
QF_LIA/nec-smt/med/int_from_list/prp-15-38.smt2	unknown	23230	unknown	23129	B	unsat
QF_LIA/prime-cone/prime_cone_unsat_20.smt2	unsat	107	unsat	107	A	unsat
QF_LIA/rings/ring_2exp8_4vars_1ite_unsat.smt2	unknown	24230	unknown	24030	B	unsat
QF_LIA/rings/ring_2exp6_6vars_4ite_unsat.smt2	unknown	24130	unknown	24130	A	unsat
QF_LIA/slacks/40-8.slack.smt2	sat	5910	sat	5913	B	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__001.smt2.slack.smt2	sat	107	sat	107	A	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem_2__027.smt2.slack.smt2	unknown	24530	unknown	24330	B	sat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__011.smt2.slack.smt2	sat	9216	sat	9316	A	sat
QF_LIA/20180326-Bromberger/unbd-sage/unbd010v15c/unbd-sage19.smt2	unknown	24127	unknown	24231	B	sat
QF_LIA/2019-ezsmt/weightedSequence/09-treeWeight-729-8leaves.smt2	sat	8515	sat	8415	A	unknown
QF_LIA/20220307-SMPT/2PhLockVParam/RF-11.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-14.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-10.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-07.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-07.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/BART-PT-002/RF-13.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-08.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-01.smt2	sat	107	sat	106	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-02.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-14.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-10.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	106	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-11.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-11.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-06.smt2	unsat	107	unsat	106	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-03.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-09.smt2	sat	107	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-12.smt2	sat	107	sat	107	A	sat
QF_LIA/20231117-c_inference/60_60_46_20_sat.smt2	unknown	10516	unknown	10616	B	sat
QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-10/problem__003.smt2	unsat	308	unsat	307	A	unsat
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__022.smt2	sat	107	sat	107	B	sat
QF_LIA/arctic-matrix/constraint-654327.smt2	unknown	507	unknown	407	A	unknown
QF_LIA/bofill-scheduling/SMT_random_LIA/ex8500_2600_100.smt2	unknown	24230	unknown	24129	B	unsat
QF_LIA/bofill-scheduling/SMT_real_LIA/ex6960_2400_100.smt2	sat	21126	sat	21026	A	sat
QF_LIA/convert/convert-jpg2gif-query-1214.smt2	unsat	207	unsat	207	B	unsat
QF_LIA/cut_lemmas/15-vars/cut_lemma_01_009.smt2	unsat	107	unsat	107	A	unsat
QF_LIA/dillig/40-30.smt2	sat	11118	sat	11118	B	sat
QF_LIA/nec-smt/large/bftpd_login/prp-22-48.smt2	unknown	25131	unknown	25131	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-76-49.smt2	unknown	18624	unknown	18824	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-9-47.smt2	unknown	25130	unknown	24730	A	unsat
QF_LIA/nec-smt/large/checkpass_pwd/prp-30-44.smt2	unknown	24229	unknown	24230	B	sat
QF_LIA/nec-smt/large/bftpd_login/prp-49-49.smt2	unknown	25130	unknown	25129	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-2-47.smt2	unknown	25130	unknown	24629	B	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-70-49.smt2	unknown	23328	unknown	23428	A	unsat
QF_LIA/nec-smt/large/bftpd_login/prp-50-49.smt2	unknown	25131	unknown	25131	B	unsat
QF_LIA/nec-smt/large/checkpass/prp-52-50.smt2	unknown	17923	unknown	18226	A	unsat
QF_LIA/nec-smt/med/checkpass_pwd/prp-18-31.smt2	unknown	20827	unknown	20930	B	sat
QF_LIA/nec-smt/med/int_from_list/prp-36-31.smt2	unknown	16222	unknown	16222	A	unsat
QF_LIA/rings/ring_2exp12_6vars_4ite_unsat.smt2	unknown	24028	unknown	24022	B	unsat
QF_LIA/rings/ring_2exp10_8vars_3ite_unsat.smt2	unknown	24129	unknown	24129	A	unsat
QF_LIA/rings/ring_2exp8_9vars_7ite_unsat.smt2	unknown	24126	unknown	24126	B	unsat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__016.smt2.slack.smt2	unsat	108	unsat	108	A	unsat
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/30-vars/v30_problem_2__023.smt2.slack.smt2	unknown	24430	unknown	24231	B	sat
QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/10-vars/cut_lemma_02_010.smt2.slack.smt2	unsat	106	unsat	109	A	unsat
QF_LIA/2019-cmodelsdiff/hamiltonianCircuit/49.lp.smt2	sat	107	sat	108	B	unknown
QF_LIA/20210219-Dartagnan/ReachSafety-Loops/apache-get-tag-O0.smt2	unknown	25131	unknown	25131	A	unknown
QF_LIA/20220307-SMPT/BART-PT-002/RF-13.smt2	sat	108	sat	107	B	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-06.smt2	sat	107	sat	107	A	sat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-14.smt2	unsat	107	unsat	107	B	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RC-08.smt2	unsat	107	unsat	107	A	unsat
QF_LIA/20220307-SMPT/2PhLockVParam/RF-00.smt2	unsat	108	unsat	107	B	unsat
