ts	host	load1	foreign_pins
21:26:21	s5	3.47 0 
21:26:21	s6	1.48 0 
21:26:21	s7	3.35 0 
21:26:52	s5	2.75 0 
21:26:52	s6	0.89 0 
21:26:52	s7	2.90 0 
21:27:22	s5	2.37 0 
21:27:22	s6	0.50 0 
21:27:23	s7	2.54 0 
21:27:53	s5	2.22 0 
21:27:53	s6	0.30 0 
21:27:53	s7	2.33 0 
21:28:23	s5	2.53 4 
21:28:24	s6	0.50 4 
21:28:24	s7	2.20 4 
21:28:54	s5	3.75 4 
21:28:54	s6	1.76 4 
21:28:54	s7	3.56 4 
21:29:25	s5	3.71 3 
21:29:25	s6	2.35 3 
21:29:25	s7	4.24 2 
21:29:55	s5	3.09 0 
21:29:55	s6	1.58 0 
21:29:55	s7	4.06 0 
21:30:26	s5	1.87 0 
21:30:26	s6	1.01 0 
21:30:26	s7	3.18 0 
21:30:56	s5	1.53 0 
21:30:56	s6	0.78 0 
21:30:57	s7	2.66 0 
21:31:27	s5	1.39 0 
21:31:27	s6	0.53 0 
21:31:27	s7	2.37 0 
21:31:57	s5	1.22 0 
21:31:58	s6	0.35 0 
21:31:58	s7	2.27 0 
21:32:28	s5	1.13 0 
21:32:28	s6	0.21 0 
21:32:28	s7	2.24 0 
21:32:59	s5	1.08 0 
21:32:59	s6	0.12 0 
21:32:59	s7	2.07 0 
21:33:29	s5	1.11 0 
21:33:29	s6	0.07 0 
21:33:30	s7	1.99 0 
21:34:00	s5	1.07 0 
21:34:00	s6	0.04 0 
21:34:00	s7	1.99 0 
21:34:30	s5	1.04 0 
21:34:31	s6	0.03 0 
21:34:31	s7	2.11 0 
21:35:01	s5	1.09 0 
21:35:01	s6	0.07 0 
21:35:01	s7	2.07 0 
21:35:32	s5	1.05 0 
21:35:32	s6	0.11 0 
21:35:32	s7	2.03 0 
21:36:02	s5	1.03 0 
21:36:02	s6	0.06 0 
21:36:03	s7	1.95 0 
21:36:33	s5	1.02 0 
21:36:33	s6	0.03 0 
21:36:33	s7	2.03 0 
21:37:03	s5	1.01 0 
21:37:04	s6	0.02 0 
21:37:04	s7	2.13 0 
21:37:34	s5	1.00 0 
21:37:34	s6	0.01 0 
21:37:34	s7	2.15 0 
21:38:05	s5	1.06 0 
21:38:05	s6	0.01 0 
21:38:05	s7	2.16 0 
21:38:35	s5	1.18 0 
21:38:35	s6	0.00 0 
21:38:36	s7	2.04 0 
21:39:06	s5	0.82 0 
21:39:06	s6	0.00 0 
21:39:06	s7	2.08 0 
21:39:36	s5	0.50 0 
21:39:37	s6	0.00 0 
21:39:37	s7	2.04 0 
21:40:07	s5	0.30 0 
21:40:07	s6	0.08 0 
21:40:07	s7	2.02 0 
21:40:38	s5	0.17 0 
21:40:38	s6	0.05 0 
21:40:38	s7	1.96 0 
21:41:08	s5	0.18 0 
21:41:08	s6	0.03 0 
21:41:09	s7	2.04 0 
21:41:39	s5	0.18 0 
21:41:39	s6	0.02 0 
21:41:39	s7	1.80 0 
21:42:09	s5	0.11 0 
21:42:10	s6	0.01 0 
21:42:10	s7	1.55 0 
21:42:40	s5	0.13 0 
21:42:40	s6	0.00 0 
21:42:40	s7	1.33 0 
21:43:11	s5	0.08 0 
21:43:11	s6	0.00 0 
21:43:11	s7	1.20 0 
21:43:41	s5	0.04 0 
21:43:41	s6	0.00 0 
21:43:42	s7	1.11 0 
21:44:12	s5	0.03 0 
21:44:12	s6	0.00 0 
21:44:12	s7	1.06 0 
