file	base	base_s	lane	lane_s	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/alternating_list_true-unreach-call_true-valid-memsafety.i_0.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_0.smt2	unknown	0.11	unknown	0.11	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/dll-rb-cnstr_1_true-unreach-call_true-valid-memsafety.i_14.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/ex3_forlist_true-termination.c_true-unreach-call.i_0.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_8.smt2	unknown	0.11	unknown	1.20	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_0.smt2	unknown	0.11	unknown	0.71	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_0.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/alternating_list-1.i_16.smt2	unknown	0.11	unknown	0.21	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/bubble_sort_linux-1.i_7.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/bubble_sort_linux-2.i_18.smt2	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/bubble_sort_linux-2.i_49.smt2	unknown	0.11	unknown	0.11	unknown
