core	build_rc	quant_stripped	ground_kept	admitted_instances_added
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	0	4	1	1772
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	0	8	2	102
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	0	15	9	988
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	0	2	0	32
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	0	3	1	1229
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	0	5	3	208
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	0	8	1	18
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	0	5	5	2058
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	0	8	1	271
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	0	20	26	2828
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	0	8	10	5663
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	0	5	0	193
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	0	4	0	66
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	0	2	0	4
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	0	3	0	150
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	0	3	0	444
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	0	5	2	981
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	0	6	0	475
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	0	2	0	295
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	0	3	0	973
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	0	3	0	621
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	0	6	10	342
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	0	3	4	1028
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	0	3	4	3899
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	0	4	0	690
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	0	3	1	296
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	0	4	2	4129
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	BUILD-FAIL-4	0	0	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	NO-DUMP	0	0	0
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	NO-DUMP	0	0	0
