core	off_verdict	off_route	off_reason	on_verdict	on_route	on_reason	on_probed	on_admitted	on_handoff	on_nocontext	on_ground	on_qf_checks	on_qf_ground	off_handoff	off_nocontext	z3_args	z3_present
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	0	0	0	0	91	4	1985	0	105051	35	29
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	q:mbqi-quick	decided	unsat	q:mbqi-quick	decided	0	0	0	0	0	1	2	0	0	NA	NA
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	0	0	0	0	357	12	2119	0	0	159	137
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	q:mbqi-quick	budget	0	0	0	0	333	4	2562	0	0	1636	1465
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	263	140	18176	2382	364	14	490	0	7260	6	6
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	unknown	fd:bounded-completeness-unsat	budget	277	656	67840	4397	572	20	1213	67584	149790	6	6
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	q:mbqi-quick	budget	0	0	0	0	397	6	1480	0	69257	477	395
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	276	1001	4864	2214	481	10	3648	0	0	46	35
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	0	0	0	0	125	12	1657	0	14550	189	154
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	unknown	fd:bounded-completeness-unsat	budget	274	1832	59136	19149	495	15	3432	0	0	39	33
