file	axeyum	axeyum_s	axeyum_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
ABV/20230321-UltimateAutomizerSvcomp2023/960521-1_1-2.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/c.03-alloca-2.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/cmp-freed-ptr.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/dll_extends_pointer.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/dll_extends_pointer.i_1.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_1.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_1.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_flag_1.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test1-3.i_0.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test1-3.i_1.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test1-3.i_2.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test10-1.i_5.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test10-1.i_6.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test10-1.i_7.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test11.i_5.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test11.i_6.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test11.i_7.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ABV/20230321-UltimateAutomizerSvcomp2023/memleaks_test12-1.i_4.smt2	sat	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
