file	axeyum	axeyum_s	axeyum_k	status
AUFLIRA/FFT/smtlib.562660.smt2	unknown	1.81	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_1.smt2	unknown	0.11	ok	unknown
AUFLIRA/FFT/smtlib.609936.smt2	unknown	2.31	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_3.smt2	unknown	0.11	ok	unknown
AUFLIRA/FFT/smtlib.614580.smt2	unknown	1.81	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/sll_of_sll_nondet_append-2.i_0.smt2	unknown	24.23	ok	unknown
AUFLIRA/FFT/smtlib.619215.smt2	unknown	0.21	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/test-0234-1.i_1.smt2	unknown	0.11	ok	unknown
AUFLIRA/FFT/smtlib.657874.smt2	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/test-0234-1.i_14.smt2	unknown	0.11	ok	unknown
AUFLIRA/FFT/smtlib.707927.smt2	unknown	0.31	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/test-0234-1.i_6.smt2	unknown	23.83	ok	unknown
AUFLIRA/FFT/smtlib.712662.smt2	unknown	0.31	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/tree_parent_ptr.i_0.smt2	unknown	0.11	ok	unknown
AUFLIRA/FFT/smtlib.748236.smt2	unknown	2.41	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/tree_parent_ptr.i_5.smt2	unknown	24.23	ok	unknown
AUFLIRA/FFT/smtlib.752778.smt2	unknown	4.61	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/tree_stack.i_1.smt2	unknown	24.13	ok	unknown
AUFLIRA/FFT/smtlib.760866.smt2	unknown	2.11	ok	unknown
ALIA/piVC/piVC_030ee9.smt2	unknown	0.31	ok	unsat
AUFLIRA/FFT/smtlib.765447.smt2	unknown	1.21	ok	unknown
ALIA/piVC/piVC_0f7c6a.smt2	unknown	19.72	ok	unsat
AUFLIRA/FFT/smtlib.777801.smt2	unknown	1.11	ok	unknown
ALIA/piVC/piVC_2186b5.smt2	unknown	6.21	ok	unsat
AUFLIRA/FFT/smtlib.782559.smt2	unknown	1.11	ok	unknown
ALIA/piVC/piVC_3937a0.smt2	unsat	0.11	ok	unsat
AUFLIRA/FFT/smtlib.790569.smt2	unknown	1.11	ok	unknown
ALIA/piVC/piVC_5cee0c.smt2	unknown	13.52	ok	unsat
AUFLIRA/FFT/smtlib.795122.smt2	unknown	13.02	ok	unknown
ALIA/piVC/piVC_675f8a.smt2	unknown	6.61	ok	unsat
AUFLIRA/FFT/smtlib.803201.smt2	unknown	1.51	ok	unknown
ALIA/piVC/piVC_7f6962.smt2	unknown	0.31	ok	unsat
AUFLIRA/FFT/smtlib.807743.smt2	unknown	5.91	ok	unknown
ALIA/piVC/piVC_8a5f8d.smt2	unknown	0.11	ok	unsat
AUFLIRA/FFT/smtlib.819564.smt2	unknown	1.21	ok	unknown
ALIA/piVC/piVC_982830.smt2	unknown	0.11	ok	unsat
AUFLIRA/FFT/smtlib.827705.smt2	unknown	3.31	ok	unknown
ALIA/piVC/piVC_b124d6.smt2	unsat	0.21	ok	unsat
AUFLIRA/FFT/smtlib.839277.smt2	unknown	1.31	ok	unknown
ALIA/piVC/piVC_bf055f.smt2	unknown	13.22	ok	unsat
AUFLIRA/FFT/smtlib.847295.smt2	unknown	10.82	ok	unknown
ALIA/piVC/piVC_c7166c.smt2	unknown	0.21	ok	unsat
AUFLIRA/FFT/smtlib.862942.smt2	unknown	0.91	ok	unknown
ALIA/piVC/piVC_d91441.smt2	unknown	2.81	ok	unsat
AUFLIRA/FFT/smtlib.870533.smt2	unknown	1.41	ok	unknown
ALIA/piVC/piVC_deabd0.smt2	unsat	0.21	ok	unsat
AUFLIRA/FFT/smtlib.874843.smt2	unknown	0.91	ok	unknown
AUFNIRA/FFT/smtlib.675941.smt2	unknown	0.31	ok	unsat
AUFNIRA/FFT/smtlib.682065.smt2	unknown	0.21	ok	unsat
AUFNIRA/FFT/smtlib.696888.smt2	unknown	1.11	ok	unknown
AUFNIRA/FFT/smtlib.697961.smt2	unknown	0.41	ok	unknown
AUFNIRA/FFT/smtlib.699383.smt2	unknown	4.51	ok	unknown
AUFNIRA/FFT/smtlib.700083.smt2	unknown	11.12	ok	unknown
AUFNIRA/FFT/smtlib.701996.smt2	unknown	0.31	ok	unsat
AUFNIRA/FFT/smtlib.710024.smt2	unknown	0.21	ok	unsat
AUFNIRA/FFT/smtlib.712193.smt2	unknown	0.31	ok	unknown
AUFNIRA/FFT/smtlib.714183.smt2	unknown	0.41	ok	unknown
AUFNIRA/FFT/smtlib.742487.smt2	unknown	0.21	ok	unknown
AUFNIRA/FFT/smtlib.746428.smt2	unknown	0.21	ok	unknown
AUFNIRA/FFT/smtlib.750595.smt2	unknown	0.31	ok	unknown
AUFNIRA/FFT/smtlib.754911.smt2	unknown	0.31	ok	unknown
AUFNIRA/FFT/smtlib.759134.smt2	unknown	0.31	ok	unknown
AUFNIRA/FFT/smtlib.763357.smt2	unknown	0.31	ok	unknown
