file	axeyum_front_door	reference	declared	explain_corpus_flat_verdict	class_vs_front_door	cause_class	top_route_elapsed_ms	cause_detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	unsolved	sat	sat	flat-unknown	consistent	cas-ideal-refuter-incomplete	18136.5	no combination of the asserted equations collapsed to a constant of the refuting sign
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040.smt2	unsolved	sat	sat	n/a	no-verdict	diagnostic-instrument-inconclusive		unsupported by backend: QF_LRA: nonlinear real multiplication
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	unsolved	unsat	unsat	n/a	no-verdict	diagnostic-instrument-inconclusive		unsupported by backend: QF_LRA: nonlinear real multiplication
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0016.smt2	unsolved	unsat	unsat	n/a	no-verdict	diagnostic-instrument-inconclusive		explain_corpus itself exceeded the 45s external timeout before producing a trace
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0081.smt2	unsolved	unsat	unsat	n/a	no-verdict	diagnostic-instrument-inconclusive		unsupported by backend: QF_LRA: nonlinear real multiplication
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0142.smt2	unsolved	sat	sat	n/a	no-verdict	diagnostic-instrument-inconclusive		unsupported by backend: QF_LRA: nonlinear real multiplication
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	unsolved	unsat	unsat	flat-unknown	consistent	nra-cross-product-admission-bound	844.7	nonlinear abstraction: 771 cross-products exceed the deterministic admission bound of 2 (the multi-variable nonlinear case can OOM the relaxation; this needs a nlsat/CAD engine)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	unsolved	unsat	unsat	flat-unknown	consistent	nra-cross-product-admission-bound	20438.0	nonlinear abstraction: 7874 cross-products exceed the deterministic admission bound of 2 (the multi-variable nonlinear case can OOM the relaxation; this needs a nlsat/CAD engine)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	unsolved	unsat	unsat	flat-unknown	consistent	nra-cross-product-admission-bound	396.0	nonlinear abstraction: 396 cross-products exceed the deterministic admission bound of 2 (the multi-variable nonlinear case can OOM the relaxation; this needs a nlsat/CAD engine)
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	unsolved	unsat	unsat	flat-unknown	consistent	nra-cross-product-admission-bound	31574.5	nonlinear abstraction: 9706 cross-products exceed the deterministic admission bound of 2 (the multi-variable nonlinear case can OOM the relaxation; this needs a nlsat/CAD engine)
