file	class	budget_stage	budget_stage_ms	budget_stage_share	wall_ms	egraph_max_round	egraph_max_ground	verdict	detail	ladder_stage_costs	dominant_substages	evidence_line	exit	path
dl_remove_loop_invariant_35_5.smt2	route-decline(residual-quantifier)	uf-fmf-full	2049	25%	8316	293	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=869ms|mbqi-quick=1560ms|egraph=1740ms|mbqi=1972ms|uf-fmf-full=2049ms|nat-induction=0ms|pre/post-ladder=126ms	mbqi / nested-quant:nested-activity=1401ms|egraph / nested-quant:nested-activity=1277ms|mbqi-quick / nested-quant:nested-activity=1220ms	[qtrace] uf-fmf-full +8.190s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/grasshopper/uninstantiated/dl_remove_loop_invariant_35_5.smt2
smtlib.663965.smt2	other(instantiation-satisfiable)	uf-fmf-full	60982	97%	62866	7	24	unknown kind=Incomplete	instantiation is satisfiable; the universal may still be violated outside the instantiated terms	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=23ms|mbqi-quick=27ms|egraph=98ms|mbqi=25ms|uf-fmf-full=60982ms|pre/post-ladder=1711ms	egraph / nested-quant:nested-activity=82ms|egraph / egraph-seg:qf-check=72ms|egraph / nested-quant:registered=4ms	[qtrace] uf-fmf-full +61.155s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/smtlib.663965.smt2
uf.704291.smt2	route-decline(residual-quantifier)	uf-fmf-probe	16267	62%	26424	412	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=16267ms|mbqi-quick=506ms|egraph=762ms|mbqi=2464ms|uf-fmf-full=5960ms|pre/post-ladder=465ms	mbqi / nested-quant:nested-activity=1992ms|mbqi / egraph-seg:admit-batch=1602ms|egraph / nested-quant:nested-activity=488ms	[qtrace] uf-fmf-probe +16.267s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.704291.smt2
uf.813308.smt2	search-timeout	egraph	18316	76%	24122	14	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=4263ms|mbqi-quick=1384ms|egraph=18316ms|pre/post-ladder=159ms	egraph / nested-quant:nested-activity=5548ms|mbqi-quick / nested-quant:nested-activity=738ms|mbqi-quick / egraph-seg:admit-batch=428ms	[qtrace] egraph +23.963s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.813308.smt2
uf.850780.smt2	route-decline(residual-quantifier)	mbqi	7422	29%	25824	71	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=5907ms|mbqi-quick=1250ms|egraph=4554ms|mbqi=7422ms|uf-fmf-full=6322ms|pre/post-ladder=369ms	mbqi / nested-quant:nested-activity=3287ms|mbqi / egraph-seg:qf-check=2991ms|egraph / nested-quant:nested-activity=2496ms	[qtrace] mbqi +19.133s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Arrow_Order/uf.850780.smt2
uf.573210.smt2	route-decline(residual-quantifier)	uf-fmf-probe	12048	50%	24328	18	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=12048ms|mbqi-quick=1663ms|egraph=3391ms|mbqi=2798ms|uf-fmf-full=4228ms|pre/post-ladder=200ms	egraph / nested-quant:nested-activity=1226ms|egraph / egraph-seg:qf-check=1024ms|egraph / egraph-seg:admit-batch=188ms	[qtrace] uf-fmf-probe +12.048s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/FFT/uf.573210.smt2
uf.863296.smt2	route-decline(residual-quantifier)	mbqi	8549	40%	21125	511	2123	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=3597ms|mbqi-quick=1280ms|egraph=2596ms|mbqi=8549ms|uf-fmf-full=4879ms|nat-induction=5ms|pre/post-ladder=219ms	mbqi / nested-quant:nested-activity=8072ms|mbqi / egraph-seg:admit-batch=6812ms|egraph / nested-quant:nested-activity=1828ms	[qtrace] mbqi +16.022s returned	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/FFT/uf.863296.smt2
uf.1065126.smt2	search-timeout	egraph	19731	82%	24128	39	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=2664ms|mbqi-quick=1575ms|egraph=19731ms|pre/post-ladder=158ms	mbqi-quick / egraph-seg:qf-check=1055ms|egraph / nested-quant:nested-activity=377ms|egraph / egraph-seg:admit-batch=257ms	[qtrace] egraph +23.970s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1065126.smt2
uf.1158058.smt2	search-timeout	egraph	18057	75%	24130	266	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=4137ms|mbqi-quick=1761ms|egraph=18057ms|pre/post-ladder=175ms	egraph / nested-quant:nested-activity=1268ms|mbqi-quick / egraph-seg:qf-check=1250ms|egraph / egraph-seg:admit-batch=1140ms	[qtrace] egraph +23.955s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1158058.smt2
uf.1198393.smt2	search-timeout	egraph	21039	87%	24124	22	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=1387ms|mbqi-quick=1578ms|egraph=21039ms|pre/post-ladder=120ms	egraph / nested-quant:nested-activity=9826ms|egraph / egraph-seg:admit-batch=1676ms|egraph / match-seg:candidates=1361ms	[qtrace] egraph +24.004s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1198393.smt2
uf.974621.smt2	search-timeout	egraph	22051	83%	26531	10	8192	unknown kind=ResourceLimit	quantified solve time budget exhausted after e-matching	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=2724ms|mbqi-quick=1639ms|egraph=22051ms|pre/post-ladder=117ms	mbqi-quick / nested-quant:nested-activity=593ms|egraph / nested-quant:nested-activity=526ms|egraph / egraph-seg:admit-batch=403ms	[qtrace] egraph +26.414s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.974621.smt2
smtlib.1116374.smt2	other(instantiation-satisfiable)	uf-fmf-probe	12034	50%	24127	62	656	unknown kind=Incomplete	instantiation is satisfiable; the universal may still be violated outside the instantiated terms	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=12034ms|mbqi-quick=2ms|egraph=148ms|mbqi=3ms|uf-fmf-full=11842ms|pre/post-ladder=98ms	egraph / nested-quant:nested-activity=142ms|egraph / egraph-seg:admit-batch=121ms|egraph / egraph-seg:qf-check=16ms	[qtrace] uf-fmf-probe +12.034s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Hoare/smtlib.1116374.smt2
uf.834137.smt2	route-decline(residual-quantifier)	uf-fmf-full	2159	38%	5614	394	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=942ms|mbqi-quick=1277ms|egraph=150ms|mbqi=991ms|uf-fmf-full=2159ms|nat-induction=0ms|pre/post-ladder=95ms	mbqi-quick / nested-quant:nested-activity=803ms|mbqi / nested-quant:nested-activity=736ms|mbqi-quick / egraph-seg:qf-check=422ms	[qtrace] uf-fmf-full +5.519s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Hoare/uf.834137.smt2
uf.966336.smt2	route-decline(residual-quantifier)	uf-fmf-probe	12042	50%	24126	511	1778	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=12042ms|mbqi-quick=752ms|egraph=170ms|mbqi=2779ms|uf-fmf-full=8279ms|pre/post-ladder=104ms	mbqi / nested-quant:nested-activity=2436ms|mbqi / egraph-seg:admit-batch=1364ms|mbqi / egraph-seg:qf-check=1038ms	[qtrace] uf-fmf-probe +12.042s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/Hoare/uf.966336.smt2
smtlib.678332.smt2	route-decline(residual-quantifier)	uf-fmf-full	1613	30%	5313	54	4158	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=1346ms|mbqi-quick=971ms|egraph=377ms|mbqi=870ms|uf-fmf-full=1613ms|nat-induction=0ms|pre/post-ladder=136ms	egraph / nested-quant:nested-activity=258ms|mbqi / egraph-seg:admit-batch=201ms|mbqi-quick / egraph-seg:admit-batch=197ms	[qtrace] uf-fmf-full +5.177s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/NS_Shared/smtlib.678332.smt2
smtlib.1098821.smt2	route-decline(residual-quantifier)	uf-fmf-probe	12045	50%	24223	356	2709	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=12045ms|mbqi-quick=768ms|egraph=513ms|mbqi=5365ms|uf-fmf-full=5451ms|pre/post-ladder=81ms	mbqi / egraph-seg:admit-batch=4300ms|mbqi / egraph-seg:qf-check=764ms|mbqi-quick / egraph-seg:admit-batch=524ms	[qtrace] uf-fmf-probe +12.045s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/TypeSafe/smtlib.1098821.smt2
uf.1008626.smt2	route-decline(residual-quantifier)	uf-fmf-probe	10349	40%	26027	30	8192	unknown kind=Incomplete	query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	forall-exists-witness=0ms|finite-expansion=0ms|uf-fmf-probe=10349ms|mbqi-quick=2084ms|egraph=719ms|mbqi=6425ms|uf-fmf-full=5942ms|pre/post-ladder=508ms	mbqi / nested-quant:nested-activity=584ms|egraph / nested-quant:nested-activity=428ms|mbqi / egraph-seg:admit-batch=301ms	[qtrace] uf-fmf-probe +10.349s declined	0	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/sledgehammer/TypeSafe/uf.1008626.smt2
