file	A_verdict	A_probed	A_nocontext	A_handoff	B_verdict	B_probed	B_nocontext	B_handoff
AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	20	27202	0	unknown	0	0	0
AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0005.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2	unknown	406	154	0	unknown	406	154	0
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unknown	0	0	0	unknown	0	0	0
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	0	0	0	unknown	0	0	0
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	unknown	0	0	0	unknown	0	0	0
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_occ__sort.adb_36_39_index_check___00.smt2	unknown	0	0	0	unknown	186	160	978
AUFLIRA/nasa/fol_simplify/gauss_init_0176.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_10_47_003_2500061.smt_in.smt2	unknown	900	374	0	unknown	900	374	0
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__lists_equal__p.adb_25_7_precondition___00.smt2	unknown	0	0	0	unknown	82	0	0
UFLIA/boogie/LocalExpose_T.V1.smt2	unknown	0	0	0	unknown	0	0	0
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_0.smt2	unknown	0	0	0	unknown	0	0	0
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	unknown	44	628	0	unknown	56	0	592
AUFLIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0008.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/20170428-Barrett/cdt-cade2015/nada/afp/hamming_stream/x2015_09_10_16_47_53_600_1082171.smt_in.smt2	unknown	1119	352	0	unknown	1167	0	0
UFDTLIRA/20200306-Kanig/spark2014bench/LC17-035__update_attribute_multidim__update_checks.adb_69_44_range_check___00.smt2	unknown	62	0	0	unknown	62	0	0
UFLIA/simplify/javafe.ast.NewInstanceExpr.271.smt2	unknown	118	468	0	unknown	374	50	1280
UFNIA/sledgehammer/QEpres/z3.737731.smt2	unknown	0	0	0	unknown	0	0	0
AUFDTLIRA/20200306-Kanig/spark2014bench/Q912-021__codepeer_by_example__assign_arr_unk.adb_4_18_overflow_check___00.smt2	unknown	12	0	0	unknown	12	0	0
AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0115.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_53_37_371_1432776.smt_in.smt2	unknown	1093	2658	0	unknown	458	0	0
UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	unknown	0	0	0	unknown	0	0	0
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unknown	0	0	0	unsat	164	0	144
UFNIA/spec_sharp/test14-DafnyAst.ssc.30.Microsoft.Dafny.ClassType.Boogie.ContractConsistencyCheck.ToString.smt2	unknown	0	0	0	unknown	0	0	0
AUFDTLIRA/20200306-Kanig/spark2014bench/R906-030__recursion__test_rec.adb_45_33_loop_invariant_preserv___00.smt2	unknown	0	0	0	unknown	172	0	0
AUFLIRA/nasa/fol_simplify_structure_prop/cl5_nebula_init_0022.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_46_52_587_993366.smt_in.smt2	unknown	2146	1476	72	unknown	2176	0	98
UFDTLIRA/20200306-Kanig/spark2014bench/PA12-001__DIC__dic_pred.ads_4_9_predicate_check_on_default_value___00.smt2	unknown	17	44	0	unknown	12	0	0
UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.003.smt2	unknown	0	0	0	unknown	0	0	0
UFNIA/spec_sharp/textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2	unknown	0	0	0	unknown	432	33090	18688
AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	unknown	0	0	0	unknown	0	0	0
AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_init_0011.fof.smt2	unknown	0	0	0	unknown	0	0	0
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1065126.smt2	unknown	858	68	0	unknown	1290	59	9
UFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_9c81cc_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	0	0	0	unknown	0	0	0
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1127270.smt2	unknown	153	1288	0	unknown	153	1243	238
UFNIA/vcc-havoc/havoc-bench_036.1.AddElement.smt2	unknown	0	0	0	unknown	0	0	0
