file	order	off_verdict	off_ms	off_exit	off_route	on_verdict	on_ms	on_exit	on_route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/FFT/smtlib.620524.smt2	off-on	unknown	211	ok	none|fd:parse|clean	unknown	112	ok	none|uf-arithmetic|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.floppy_false-unreach-call.i.cil.c.smt2	on-off	unknown	25035	ok	none|euf-online|clean	unknown	25037	ok	none|euf-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-bmc-svcomp14/cpachecker-bmc.while_infinite_loop_4_false-unreach-call_true-termination.i.smt2	off-on	sat	109	ok	uf-arith-online|nra|clean	sat	110	ok	uf-arith-online|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--leds--leds-bd2802.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unknown	3113	ok	none|dl-online|clean	unknown	3013	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--media--dvb--dvb-usb--dvb-usb-nova-t-usb2.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	unknown	22334	ok	none|uf-arithmetic|clean	unknown	22436	ok	none|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--power--wm831x_power.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unknown	15426	ok	none|euf-offline|clean	unknown	15427	ok	none|euf-offline|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_1_cilled_true-unreach-call_ok_nondet_linux-3.4-32_1-drivers--usb--storage--ums-sddr09.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	sat	2913	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	sat	2914	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.32_7a_cilled_true-unreach-call_linux-3.8-rc1-32_7a-drivers--infiniband--hw--cxgb3--iw_cxgb3.ko-ldv_main6_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	unknown	11321	ok	none|euf-online|clean	unknown	11024	ok	none|euf-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--input--misc--ab8500-ponkey.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	off-on	unsat	111	ok	qf-bv|fd:parse|clean	unsat	113	ok	qf-bv|fd:parse|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.43_1a_cilled_true-unreach-call_ok_nondet_linux-43_1a-drivers--media--dvb--dvb-usb--dvb-usb-vp7045.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c.smt2	on-off	sat	10122	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	sat	10125	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem01_00_true-unreach-call.c.smt2	off-on	unsat	309	ok	euf-online|dl-online|clean	unsat	212	ok	euf-online|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem03_60_false-unreach-call.c.smt2	on-off	unknown	25034	ok	none|dl-online|clean	unknown	25037	ok	none|dl-online|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem07_60_false-unreach-call.c.smt2	off-on	unknown	25532	ok	none|fd:parse|clean	unknown	25134	ok	none|fd:parse|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.Problem16_50_true-unreach-call.c.smt2	on-off	unsat	10519	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	unsat	10620	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.cs_fib_longer_false-unreach-call.i.smt2	off-on	unknown	26334	ok	none|fd:parse|clean	unknown	25234	ok	none|fd:parse|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product18_false-unreach-call.cil.c.smt2	on-off	unknown	25037	ok	uf-arith-online|uf-arith-lazy-overbound|clean	unknown	25139	ok	uf-arith-online|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.email_spec3_product34_false-unreach-call.cil.c.smt2	off-on	unknown	25036	ok	uf-arith-online|uf-arith-lazy-overbound|clean	unknown	25137	ok	uf-arith-online|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.jain_2_true-unreach-call.i.smt2	on-off	sat	109	ok	uf-arith-online|nra|clean	sat	110	ok	uf-arith-online|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.m0_false-unreach-call_drivers-staging-comedi-drivers-ni_65xx-ko--107_1a--adbbc36-1.c.smt2	off-on	sat	209	ok	uf-arith-lazy-overbound|nra|clean	sat	109	ok	uf-arith-lazy-overbound|nra|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.main3_true-unreach-call_drivers-staging-usbip-vhci-hcd-ko--132_1a--927c3fa-1.c.smt2	on-off	unknown	25037	ok	none|uf-arith-lazy-overbound|clean	unknown	25038	ok	none|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec1_product50_false-unreach-call.cil.c.smt2	off-on	unknown	24135	ok	none|uf-arith-lazy-overbound|clean	unknown	24137	ok	none|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec2_product38_true-unreach-call.cil.c.smt2	on-off	unsat	18130	ok	euf-online|uf-arith-lazy-overbound|clean	unsat	18131	ok	euf-online|uf-arith-lazy-overbound|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UFLRA/cpachecker-induction-svcomp14/cpachecker-induction.minepump_spec3_product05_false-unreach-call.cil.c.smt2	off-on	sat	13224	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean	sat	13226	ok	uf-arith-lazy-overbound|uf-arith-lazy-overbound|clean
