file	order	off_verdict	off_ms	off_exit	off_route	on_verdict	on_ms	on_exit	on_route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0005.fof.smt2	off-on	unknown	17325	ok	none|q:mbqi|clean	unknown	24035	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0071.fof.smt2	on-off	unsat	507	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	411	ok	q:egraph|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0292.fof.smt2	off-on	unknown	20227	ok	none|q:egraph|clean	unsat	109	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0511.fof.smt2	on-off	unsat	407	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	409	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0712.fof.smt2	off-on	unsat	410	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	409	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_inuse_0001.fof.smt2	on-off	unknown	109	ok	none|q:mbqi-quick|clean	unknown	512	ok	none|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_symm_0213.fof.smt2	off-on	unsat	407	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	310	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_symm_0414.fof.smt2	on-off	unsat	311	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	310	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0008.fof.smt2	off-on	unknown	16424	ok	none|q:mbqi|clean	unknown	24032	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0068.fof.smt2	on-off	unknown	6914	ok	none|q:egraph|clean	unknown	24132	ok	none|q:egraph|clean
