# NOISE FLOOR: both halves are the SHIPPED arm (env -u). Column names kept for the summariser.
file	order	off_verdict	off_ms	off_exit	off_route	on_verdict	on_ms	on_exit	on_route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0005.fof.smt2	A-A	unknown	24140	ok	none|q:egraph|clean	unknown	24036	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0071.fof.smt2	A-A	unsat	414	ok	q:egraph|q:egraph|clean	unsat	413	ok	q:egraph|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/gauss_init_0292.fof.smt2	A-A	unsat	113	ok	q:bool-skeleton|q:bool-skeleton|clean	unsat	114	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0511.fof.smt2	A-A	unsat	413	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	413	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/quaternion_ds1_symm_0712.fof.smt2	A-A	unsat	413	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	413	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_inuse_0001.fof.smt2	A-A	unknown	411	ok	none|q:mbqi-quick|clean	unknown	414	ok	none|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_symm_0213.fof.smt2	A-A	unsat	313	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	312	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify/thruster_symm_0414.fof.smt2	A-A	unsat	210	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	211	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0008.fof.smt2	A-A	unknown	24140	ok	none|q:egraph|clean	unknown	24036	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0068.fof.smt2	A-A	unknown	24039	ok	none|q:egraph|clean	unknown	24036	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0015.fof.smt2	A-A	unknown	24036	ok	none|q:egraph|clean	unknown	24037	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0216.fof.smt2	A-A	unsat	315	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	312	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0417.fof.smt2	A-A	unsat	313	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	312	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0088.fof.smt2	A-A	unsat	113	ok	q:bool-skeleton|fd:parse|clean	unsat	113	ok	q:bool-skeleton|fd:parse|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0289.fof.smt2	A-A	unsat	112	ok	q:bool-skeleton|q:bool-skeleton|clean	unsat	112	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_array_0490.fof.smt2	A-A	unsat	113	ok	q:bool-skeleton|fd:parse|clean	unsat	112	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0005.fof.smt2	A-A	unknown	24138	ok	none|q:egraph|clean	unknown	24036	ok	none|q:egraph|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0206.fof.smt2	A-A	unsat	915	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	913	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0407.fof.smt2	A-A	unsat	111	ok	q:bool-skeleton|fd:parse|clean	unsat	113	ok	q:bool-skeleton|fd:parse|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0609.fof.smt2	A-A	unsat	511	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	512	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0810.fof.smt2	A-A	unsat	112	ok	q:bool-skeleton|fd:parse|clean	unsat	113	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1011.fof.smt2	A-A	unsat	114	ok	q:bool-skeleton|fd:parse|clean	unsat	112	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1212.fof.smt2	A-A	unsat	112	ok	q:bool-skeleton|fd:parse|clean	unsat	114	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1413.fof.smt2	A-A	unsat	112	ok	q:bool-skeleton|fd:parse|clean	unsat	113	ok	q:bool-skeleton|q:bool-skeleton|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0082.fof.smt2	A-A	unsat	211	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	211	ok	q:mbqi-quick|q:mbqi-quick|clean
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFLIRA/nasa/fol_simplify_array_only/quaternion_ds1_init_0361.fof.smt2	A-A	unsat	212	ok	q:mbqi-quick|q:mbqi-quick|clean	unsat	211	ok	q:mbqi-quick|q:mbqi-quick|clean
