id	full	prep_only	last	last_prep	last_noq	last_norw	last_ms
01	unsat	unknown	unsat	unknown	NONE	NONE	107
02	unsat	unknown	unsat	unknown	NONE	NONE	107
03	unsat	unknown	unsat	unknown	NONE	NONE	107
04	unsat	unknown	unsat	unknown	NONE	NONE	107
05	unsat	unknown	unsat	unknown	NONE	NONE	107
06	unsat	unknown	unsat	unknown	NONE	NONE	107
07	unsat	unknown	unsat	unknown	NONE	NONE	107
08	unsat	unknown	unsat	unknown	NONE	NONE	107
09	unsat	unknown	unsat	unknown	NONE	NONE	107
