file	v24s	rung24s	v120s	rung120s	diagnosis
UFLIA/simplify2/front_end_suite/javafe.ast.AmbiguousVariableAccess.004.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.CompilationUnit.001.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.DefaultVisitor.028.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.008.smt2	unknown	declined	unknown	declined	CAPABILITY-LIMIT
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.ast.ThrowStmt.004.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	unsat	decided	unsat	decided	CONVERTED
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.001.smt2	unsat	decided	unsat	decided	CONVERTED
UFNIA/lahiri-cav09-storm-queries/usbsamp_bug_example_2_3_8_1.smt2	unknown	absent	unknown	absent	RUNG-NEVER-REACHED
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_0.smt2	unknown	absent	unknown	absent	RUNG-NEVER-REACHED
UFNIA/sledgehammer/TwoSquares/z3.861593.smt2	unknown	declined	unknown	declined	CAPABILITY-LIMIT
UFNIA/spec_sharp/test14-CommandLineOptions.ssc.23.Microsoft.Boogie.CommandLineOptions.Boogie.ContractConsistencyCheck.get_ProverNeedsTypes.smt2	unknown	absent	unknown	absent	RUNG-NEVER-REACHED
UFNIA/vcc-havoc/verisoft-baby.c.10.privileged.smt2	unknown	absent	unknown	absent	RUNG-NEVER-REACHED
