file	division	verdict	wall_ms	declared	over_budget
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_cti_max.smt2	QF_UF	unsolved	24256	sat	yes
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/NEQ/NEQ033_size6.smt2	QF_UF	unsolved	24837	unsat	yes
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn838.smt2	QF_UF	unsolved	24042	unsat	yes
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl591.smt2	QF_UF	unsolved	24143	unsat	yes
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl776.smt2	QF_UF	unsolved	24145	unsat	yes
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg6/iso_icl_nogen_sk009.smt2	QF_UF	unsat	17923	unsat	no
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/iso_brn_nogen005.smt2	QF_UF	sat	18421	sat	no
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/iso_icl_repgen004.smt2	QF_UF	unsolved	24129	unsat	yes
