file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	dump_rows	giveup
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	NONE	134	12594									0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_38_347_1246149.smt_in.smt2	unsat	0	2712	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	2504	2647			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_50_619_1635445.smt_in.smt2	unsat	0	4013	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	3879	3933			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_05_259_1960786.smt_in.smt2	unknown	0	6115	19	none	q:mbqi	fd:bounded-completeness-unsat	2247	5964			24576	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 9 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_02_023_2365793.smt_in.smt2	unsat	0	17425	8	q:mbqi	q:egraph	q:mbqi	11158	17181			13270	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_16_38_492_2773691.smt_in.smt2	unknown	0	25131	5	none	q:uf-fmf-probe	q:uf-fmf-probe	2448	2508	q:uf-fmf-probe	22491	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UF/20170428-Barrett/cdt-cade2015/nada/afp/hamming_stream/x2015_09_10_16_49_31_231_1150288.smt_in.smt2	unknown	0	7816	19	none	q:mbqi	fd:bounded-completeness-unsat	2319	7705			23635	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 12 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_51_47_018_1336429.smt_in.smt2	unsat	0	6215	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	5775	6065			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/splay_tree_analysis/x2015_09_10_16_56_26_954_1077626.smt_in.smt2	unsat	0	2411	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	1549	2336			0	
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_49_03_424_1170927.smt_in.smt2	unknown	0	17823	19	none	q:mbqi	fd:bounded-completeness-unsat	9242	17687			19601	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 23 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_54_32_375_1480522.smt_in.smt2	unsat	0	3212	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	2926	3160			0	
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_51_42_659_1137578.smt_in.smt2	unsat	0	1511	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	770	1414			0	
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_58_30_303_1827001.smt_in.smt2	unknown	0	9018	19	none	q:mbqi	fd:bounded-completeness-unsat	3313	8884			21209	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 14 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_45_438_1077294.smt_in.smt2	unknown	0	24929	17	none	q:egraph	fd:bounded-completeness-unsat	12251	24759			8269	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2	unknown	0	8817	19	none	q:mbqi	fd:bounded-completeness-unsat	1992	8666			24576	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
UF/grasshopper/uninstantiated/insert_postcondition_of_insert_27_4.smt2	unknown	0	10017	19	none	q:mbqi	fd:bounded-completeness-unsat	3105	9914			23738	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 6 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/Arrow_Order/uf.616692.smt2	unsat	0	12118	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	12037	12086			0	
UF/sledgehammer/FFT/uf.599118.smt2	sat	0	109	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	10	16			0	
UF/sledgehammer/FFT/uf.758281.smt2	sat	0	109	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	9	15			0	
UF/sledgehammer/FFT/uf.915673.smt2	unsat	0	12120	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	12012	12013			0	
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1198393.smt2	unknown	0	8615	19	none	q:mbqi	fd:bounded-completeness-unsat	2425	8492			23429	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 7 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1382574.smt2	unsat	0	6914	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	6515	6802			0	
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.693739.smt2	unknown	0	6613	19	none	q:mbqi	fd:bounded-completeness-unsat	1912	6462			24576	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
