file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	dump_rows	giveup
UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_11_421_1041162.smt_in.smt2	unsat	0	2112	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	1916	2013			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_49_581_1468798.smt_in.smt2	unsat	0	509	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	292	467			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_01_325_1794353.smt_in.smt2	unsat	0	4114	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	3959	4071			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_31_491_2161158.smt_in.smt2	unknown	0	21733	19	none	q:mbqi	fd:bounded-completeness-unsat	6655	21551			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_51_397_2586526.smt_in.smt2	unsat	0	2711	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	2273	2608			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_23_15_283_1135882.smt_in.smt2	unknown	0	11523	19	none	q:mbqi	fd:bounded-completeness-unsat	4097	11375			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 9 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_00_867_1155527.smt_in.smt2	unknown	0	8018	19	none	q:mbqi	fd:bounded-completeness-unsat	2526	7916			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 17 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_55_07_530_1265987.smt_in.smt2	unsat	0	2912	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	2744	2831			0	
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_17_00_58_384_1387951.smt_in.smt2	unknown	0	19023	19	none	q:mbqi	fd:bounded-completeness-unsat	8082	18881			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 8 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_51_841_1328720.smt_in.smt2	unknown	0	17428	19	none	q:mbqi	fd:bounded-completeness-unsat	11505	17308			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 10 rounds (no further instance to admit; more rounds cannot help)
UF/20170428-Barrett/cdt-cade2015/nada/distro/parallel/x2015_09_10_16_57_14_271_1048482.smt_in.smt2	unknown	0	25237	7	none	q:uf-fmf-probe	q:egraph	11802	14648	q:egraph	10352	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_54_34_841_1436021.smt_in.smt2	unknown	0	19029	19	none	q:mbqi	fd:bounded-completeness-unsat	8675	18759			0	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UF/20170428-Barrett/cdt-cade2015/nada/distro/stream/x2015_09_10_16_48_19_087_1086853.smt_in.smt2	unknown	0	24235	18	none	q:egraph	fd:bounded-completeness-unsat	10274	24105			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 14 rounds (no further instance to admit; more rounds cannot help)
UF/20190906-CLEARSY/0016/00980.smt2	unsat	0	410	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	308	319			0	
UF/grasshopper/instantiated/split_loop_check_heap_access_79_6.smt2	unsat	0	1410	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	1314	1358			0	
UF/sledgehammer/Arrow_Order/smtlib.573364.smt2	sat	0	109	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	14	28			0	
UF/sledgehammer/Arrow_Order/uf.813308.smt2	unsat	0	6115	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	4894	5929			0	
UF/sledgehammer/FFT/uf.681247.smt2	sat	0	109	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	19	22			0	
UF/sledgehammer/FFT/uf.832362.smt2	sat	0	210	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	100	106			0	
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1065126.smt2	unknown	0	20831	19	none	q:mbqi	fd:bounded-completeness-unsat	9552	20581			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1294868.smt2	unknown	0	16927	19	none	q:mbqi	fd:bounded-completeness-unsat	4834	16736			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 12 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.590503.smt2	unsat	0	4614	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	2779	4433			0	
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.790950.smt2	unknown	0	8418	19	none	q:mbqi	fd:bounded-completeness-unsat	2689	8285			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/Hoare/smtlib.1116374.smt2	unsat	0	12322	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	12016	12200			0	
UF/sledgehammer/Hoare/uf.575042.smt2	sat	0	110	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	2	3			0	
UF/sledgehammer/Hoare/uf.899895.smt2	unknown	0	16227	19	none	q:mbqi	fd:bounded-completeness-unsat	5507	16104			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/NS_Shared/uf.640403.smt2	unknown	0	20432	19	none	q:uf-fmf-full	fd:bounded-completeness-unsat	6122	20208			0	give-up kind=Incomplete detail=e-matching instantiation stopped after 6 rounds: the remaining budget could not fit another round with growth headroom
UF/sledgehammer/QEpres/uf.1132540.smt2	unknown	0	25337	7	none	q:uf-fmf-probe	q:egraph	6706	8234	q:egraph	16765	0	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UF/sledgehammer/QEpres/uf.787833.smt2	sat	0	110	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	1	3			0	
UF/sledgehammer/StrongNorm/uf.560863.smt2	unknown	0	21030	19	none	q:uf-fmf-probe	fd:bounded-completeness-unsat	7027	20848			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)
UF/sledgehammer/StrongNorm/uf.838784.smt2	unsat	0	12622	6	q:mbqi-quick	q:uf-fmf-probe	q:mbqi-quick	12168	12376			0	
UF/sledgehammer/TwoSquares/uf.728413.smt2	sat	0	209	5	q:uf-fmf-probe	q:uf-fmf-probe	q:uf-fmf-probe	149	152			0	
UF/sledgehammer/TypeSafe/smtlib.1348248.smt2	unknown	0	6716	19	none	q:uf-fmf-full	fd:bounded-completeness-unsat	1695	6587			0	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 24 rounds (no further instance to admit; more rounds cannot help)
