file	base	base_s	base_giveup	new	new_s	new_giveup	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l20018.cvc.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l20061.cvc.smt2	sat	0.11	none	sat	0.11	none	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l30004.cvc.smt2	sat	0.11	none	sat	0.11	none	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l30047.cvc.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l30090.cvc.smt2	unknown	0.11	give-up kind=Incomplete detail=datatype unfolding produced a candidate that does not satisfy assertion #18; the traversed-field relaxation is incomplete here	unknown	0.11	give-up kind=Incomplete detail=datatype unfolding produced a candidate that does not satisfy assertion #18; the traversed-field relaxation is incomplete here	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l40033.cvc.smt2	sat	0.11	none	sat	0.11	none	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l40076.cvc.smt2	sat	0.11	none	sat	0.11	none	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l50019.cvc.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l50062.cvc.smt2	unknown	0.11	give-up kind=Incomplete detail=datatype unfolding produced a candidate that does not satisfy assertion #30; the traversed-field relaxation is incomplete here	unknown	0.11	give-up kind=Incomplete detail=datatype unfolding produced a candidate that does not satisfy assertion #30; the traversed-field relaxation is incomplete here	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_DT/20172804-Barrett/barrett-jsat/tests/v10/v10l60005.cvc.smt2	sat	0.11	none	sat	0.11	none	sat
