driver,driver_sha256,index,check_id,query_sha256,purpose,outcome,warm_execution,active_constraint_count,query_occurrences_per_run,cold_total_nanos,cold_unattributed_nanos,warm_total_nanos,warm_unattributed_nanos,cold_aig_nodes,cold_cnf_variables,cold_cnf_clauses,warm_aig_nodes_added,warm_cnf_variables_added,warm_cnf_clauses_added,cold_arena_create_nanos,cold_translation_nanos,cold_solver_create_nanos,cold_word_rewrite_nanos,cold_bit_blast_nanos,cold_cnf_encode_nanos,cold_solve_nanos,cold_model_lift_nanos,cold_replay_nanos,cold_model_extract_nanos,warm_session_create_nanos,warm_translation_nanos,warm_word_rewrite_nanos,warm_bit_blast_nanos,warm_cnf_encode_nanos,warm_solve_nanos,warm_model_lift_nanos,warm_replay_nanos,warm_model_extract_nanos
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,0,check-0,e89486a16509771fb694264e9f96b0b0eaaf6b7ecdb3065527f5326780fbcc2a,branch-feasibility,sat,warm-created,2,2,222388,23820,753644,80219,143,143,81,142,145,81,3556,25476,34929,0,39103,51947,8719,3451,30660,727,62109,58822,0,193802,236777,45907,32527,41431,2050
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,1,check-1,daf90fa79de0dc3d4ec9065d755c0353f1c552ce9b0585858d26cf8b7dd72457,branch-feasibility,unsat,warm-retained,2,1,204864,14420,69049,32281,143,143,81,0,1,16,373,25937,19902,0,61606,78734,3843,0,0,49,0,8428,0,1154,15408,11698,0,0,80
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,2,check-2,e89486a16509771fb694264e9f96b0b0eaaf6b7ecdb3065527f5326780fbcc2a,concrete-evaluation,sat,warm-retained,2,2,496881,31608,139899,51715,143,143,81,0,1,16,441,41197,36951,0,131941,181470,32827,10721,28460,1265,0,15861,0,2299,41575,0,0,26845,1604
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,3,check-3,82d77dad9f98e9cab1d61e0768cb881b7dc28a31dea1a9384de71d7c112b4c28,address-concretization,sat,warm-created,0,12,33551,5683,98424,42882,1,0,0,0,0,0,458,334,18606,0,0,0,5248,2357,595,270,39912,0,0,0,0,10212,3951,864,603
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,4,check-4,2e9409e253dc75d54f4b6087dcd5863ab4ecacb4ceee34fb32db6c81cd54a4b2,finding-reachability,sat,warm-retained,1,7,126616,19273,112440,44622,1,1,2,0,2,2,630,18935,12491,0,33603,13237,9095,3175,15621,556,0,13333,0,25487,7506,9534,2085,9505,368
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,5,check-5,2e9409e253dc75d54f4b6087dcd5863ab4ecacb4ceee34fb32db6c81cd54a4b2,address-concretization,sat,warm-retained,1,7,35804,5046,34218,22750,1,1,2,0,0,0,109,5091,3179,0,11187,3886,2504,819,3831,152,0,0,0,0,0,0,0,11211,257
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,6,check-6,daadd0b3a71dde50d994ed8e3666f775dc65a324eeeb58ac876a5d8aa450f0e6,finding-reachability,sat,warm-retained,3,2,858183,27189,874791,63123,427,427,331,426,428,329,368,34825,10135,0,192424,456866,96439,16112,21715,2110,0,26342,0,160323,498556,86555,15453,22536,1903
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,7,check-7,e6a754b0e5ecce70a88ef8f203c1e1f40e1dbcb328b8f681d09dd3968194d671,value-witness,unsat,warm-retained,4,1,950770,26808,419056,52883,490,490,454,63,64,123,351,37021,31533,0,240459,609890,4598,0,0,110,0,12285,0,63926,263728,26068,0,0,166
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,8,check-8,a95985e2bdda369f3b563ee02f18716c3d0b4a972411dfa4c914f7b3aebb1796,value-witness,unsat,warm-retained,4,1,861192,37735,392482,50392,487,487,454,60,61,123,334,33099,9688,0,207940,567707,4573,0,0,116,0,16614,0,23452,281579,20298,0,0,147
win10-vwififlt.sys,13c3b69a5d0179ed3cc2c999ff97edbaedd63da55ddb74427251c360706a3820,9,check-9,daadd0b3a71dde50d994ed8e3666f775dc65a324eeeb58ac876a5d8aa450f0e6,address-concretization,sat,warm-retained,3,2,772712,25362,57370,32607,427,427,331,0,0,0,321,30190,9487,0,170555,411942,76720,15024,31684,1427,0,0,0,0,0,0,0,23022,1741
