index	colours	verdict	solve_s	steps	adds	check	check_s
0	1,1	unsat	0.001	1	1	passed	0.000
1	1,2	unsat	0.000	1	1	passed	0.000
2	1,3	unsat	0.000	1	1	passed	0.000
3	1,4	unsat	0.000	1	1	passed	0.000
4	2,1	unsat	0.004	463	463	passed	0.440
5	2,2	unsat	0.000	1	1	passed	0.000
6	2,3	unsat	0.011	1066	1066	passed	1.022
7	2,4	unsat	0.003	371	371	passed	0.343
8	3,1	unsat	0.000	1	1	passed	0.000
9	3,2	unsat	0.000	1	1	passed	0.000
10	3,3	unsat	0.000	1	1	passed	0.000
11	3,4	unsat	0.000	1	1	passed	0.000
12	4,1	unsat	0.000	1	1	passed	0.000
13	4,2	unsat	0.000	1	1	passed	0.000
14	4,3	unsat	0.000	1	1	passed	0.000
15	4,4	unsat	0.000	1	1	passed	0.000
