file	base	base_ms	base_rc	arm	arm_ms	arm_rc	first	status
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	none	13996	134	none	14092	134	base	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unsat	208	0	unsat	207	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unsat	3111	0	unsat	3010	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	24234	0	unknown	24126	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	309	0	unknown	307	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_04_087_1031693.smt_in.smt2	unknown	309	0	unknown	308	0	base	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_30_176_1063054.smt_in.smt2	unknown	309	0	unknown	307	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	409	0	unknown	408	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_48_42_591_1040231.smt_in.smt2	unknown	25225	0	unknown	25229	0	base	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_49_17_188_1074420.smt_in.smt2	unsat	1909	0	unsat	2010	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_49_52_995_1105287.smt_in.smt2	unsat	3212	0	unsat	3210	0	base	unsat
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_50_29_032_1133334.smt_in.smt2	unknown	25032	0	unknown	25030	0	base	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_51_06_177_1165813.smt_in.smt2	unknown	9017	0	unknown	9215	0	arm	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_51_40_571_1197401.smt_in.smt2	unknown	18825	0	unknown	18825	0	arm	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_52_17_883_1227692.smt_in.smt2	unknown	10818	0	unknown	10816	0	arm	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_52_52_993_1259011.smt_in.smt2	unknown	10721	0	unknown	10921	0	arm	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_53_31_084_1293224.smt_in.smt2	unknown	14624	0	unknown	14318	0	arm	unknown
UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_54_07_012_1328375.smt_in.smt2	unknown	25236	0	unknown	25234	0	arm	unknown
