file	logic	A_n	B_n	z3_n	A_vs_z3	B_vs_z3	A_vs_B	A_rc	B_rc	z3_rc
QF_ALIA/UltimateBuchiAutomizer/a.09_assume-alloca_true-termination.c.i.smt2	QF_ALIA	7852	7852	7852	agree	agree	agree	0	0	0
QF_ALIA/UltimateBuchiAutomizer/a.10-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7482	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/array02-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	14187	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.01-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7242	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.02-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7256	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.04-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7570	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.06-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7392	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.09-no-inv_assume-alloca_true-termination.c.i.smt2	QF_ALIA	8374	8374	8374	agree	agree	agree	0	0	0
QF_ALIA/UltimateBuchiAutomizer/b.09_assume-alloca_true-termination.c.i.smt2	QF_ALIA	8480	8480	8480	agree	agree	agree	0	0	0
QF_ALIA/UltimateBuchiAutomizer/b.10-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7715	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.11-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7336	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.12-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	6753	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.14-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7869	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/b.16-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7323	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/c.01-no-inv-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	6737	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/c.02-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7960	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/c.07-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	2454	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/c.08-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7283	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/cstrncpy-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7259	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/diff-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	20469	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/easySum-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	6932	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/gcd1-alloca_true-termination.c.i.smt2	QF_ALIA	7440	7440	7440	agree	agree	agree	0	0	0
QF_ALIA/UltimateBuchiAutomizer/insertionsort-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	7480	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/java_AG313-alloca_true-termination.c.i.smt2	QF_ALIA	12954	12954	12954	agree	agree	agree	0	0	0
QF_ALIA/UltimateBuchiAutomizer/java_Sequence-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	5623	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/lis-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	6431	empty	empty	empty	124	124	0
QF_ALIA/UltimateBuchiAutomizer/min_rf-alloca_true-termination.c.i.smt2	QF_ALIA	0	0	6590	empty	empty	empty	124	124	0
QF_AUFLIA/safari/binarySort.smt2	QF_AUFLIA	3242	3242	3242	agree	agree	agree	0	0	0
QF_AUFLIA/safari/filter1+2.smt2	QF_AUFLIA	286	286	286	agree	agree	agree	0	0	0
QF_AUFLIA/safari/filter1.smt2	QF_AUFLIA	279	279	279	agree	agree	agree	0	0	0
QF_AUFLIA/safari/find1+2.smt2	QF_AUFLIA	145	145	145	agree	agree	agree	0	0	0
QF_AUFLIA/safari/find1.smt2	QF_AUFLIA	132	132	132	agree	agree	agree	0	0	0
QF_AUFLIA/safari/find2.smt2	QF_AUFLIA	135	135	135	agree	agree	agree	0	0	0
QF_AUFLIA/safari/ini.smt2	QF_AUFLIA	75	75	75	agree	agree	agree	0	0	0
QF_AUFLIA/safari/insertionSort.smt2	QF_AUFLIA	1286	1286	1286	agree	agree	agree	0	0	0
QF_AUFLIA/safari/linearSearch.smt2	QF_AUFLIA	47	47	47	agree	agree	agree	0	0	0
QF_AUFLIA/safari/max_in_array.smt2	QF_AUFLIA	143	143	143	agree	agree	agree	0	0	0
QF_AUFLIA/safari/partition.smt2	QF_AUFLIA	227	227	227	agree	agree	agree	0	0	0
QF_AUFLIA/safari/partition_int.smt2	QF_AUFLIA	68	68	68	agree	agree	agree	0	0	0
QF_AUFLIA/safari/selectionSort.smt2	QF_AUFLIA	549	549	549	agree	agree	agree	0	0	0
QF_AUFLIA/safari/strcmp.smt2	QF_AUFLIA	275	275	275	agree	agree	agree	0	0	0
QF_AUFLIA/safari/strcpy.smt2	QF_AUFLIA	40	40	40	agree	agree	agree	0	0	0
QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.01_false-unreach-call.i.cil.c.smt2	QF_AUFLIA	1849	1849	1849	agree	agree	agree	0	0	0
QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.07_false-unreach-call.i.cil.c.smt2	QF_AUFLIA	3809	3809	3809	agree	agree	agree	0	0	0
QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.09_false-unreach-call.i.cil.c.smt2	QF_AUFLIA	3805	3805	3805	agree	agree	agree	0	0	0
QF_AUFLIA/ultimateAutomizer/s3_srvr.blast.13_false-unreach-call.i.cil.c.smt2	QF_AUFLIA	0	0	4667	empty	empty	empty	124	124	0
QF_LIA/UltimateBuchiAutomizer/AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c.smt2	QF_LIA	0	0	54536	empty	empty	empty	124	124	0
QF_LIA/UltimateBuchiAutomizer/BradleyMannaSipma-ICALP2005-Fig1_true-termination.c.smt2	QF_LIA	0	0	54536	empty	empty	empty	124	124	0
QF_LIA/UltimateBuchiAutomizer/GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c.smt2	QF_LIA	30044	30044	30044	agree	agree	agree	0	0	0
QF_LIA/UltimateBuchiAutomizer/PodelskiRybalchenko-LICS2004-Fig1_true-termination.c.smt2	QF_LIA	0	0	131409	empty	empty	empty	134	134	0
QF_LIA/UltimateBuchiAutomizer/c.01-no-inv_true-termination.c.smt2	QF_LIA	0	0	79964	empty	empty	empty	124	134	0
QF_LIA/ultimateAutomizer/mem_slave_tlm.5_true-unreach-call_false-termination.cil.c.smt2	QF_LIA	0	0	122292	empty	empty	empty	134	134	0
