# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
F	AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	59	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	16	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=2 wide_pairs=2 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	12	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_111_34_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_33_26_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/K930-012__post__p.ads_6_36_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/KB04-013__expr_action__search.adb_13_61_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	22	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
