file	base	base_ms	arm	arm_ms	order	status
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	unsat	5312	unsat	5413	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_54_53_962_1372467.smt_in.smt2	unknown	8817	unknown	14422	arm-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2	unknown	25031	unknown	13219	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_05_03_974_2039882.smt_in.smt2	unsat	1510	unsat	1510	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_42_195_2416479.smt_in.smt2	unsat	5414	unsat	5213	base-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_18_11_407_2828424.smt_in.smt2	unsat	109	unsat	109	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_46_58_732_1021788.smt_in.smt2	unknown	22029	unknown	11820	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/koenigslemma/x2015_09_10_16_53_46_012_1142719.smt_in.smt2	unsat	5014	unsat	4613	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_57_45_684_1164560.smt_in.smt2	unknown	25329	unknown	25029	base-first	sat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_49_56_787_1224974.smt_in.smt2	unsat	5013	unsat	4712	arm-first	unsat
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_55_24_325_1534085.smt_in.smt2	unknown	22029	unknown	22230	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_52_32_920_1212907.smt_in.smt2	unknown	24132	unknown	24130	arm-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_12_776_1884727.smt_in.smt2	unknown	20728	unknown	18325	base-first	unknown
UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_51_44_982_1071529.smt_in.smt2	unknown	18727	unknown	16925	arm-first	unsat
UF/grasshopper/instantiated/pull_strands_check_heap_access_77_2.smt2	unsat	910	unsat	909	base-first	unsat
UF/grasshopper/uninstantiated/rec_remove_check_heap_access_23_4.smt2	unsat	1410	unsat	1409	arm-first	unsat
UF/sledgehammer/Arrow_Order/uf.704291.smt2	unknown	25231	unknown	25332	base-first	unsat
UF/sledgehammer/FFT/uf.628947.smt2	sat	1209	sat	1209	arm-first	sat
UF/sledgehammer/FFT/uf.783324.smt2	unknown	25127	unknown	25132	base-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/smtlib.723818.smt2	sat	209	sat	209	arm-first	sat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1226930.smt2	unsat	3012	unsat	3012	base-first	unsat
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1421601.smt2	unknown	15322	unknown	15422	arm-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.727280.smt2	unknown	25132	unknown	21929	base-first	unknown
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.937758.smt2	sat	109	sat	109	arm-first	sat
UF/sledgehammer/Hoare/uf.1105286.smt2	unknown	25333	unknown	25233	base-first	unknown
UF/sledgehammer/Hoare/uf.780982.smt2	sat	110	sat	110	arm-first	sat
UF/sledgehammer/NS_Shared/smtlib.820464.smt2	unknown	15024	unknown	18826	base-first	unknown
UF/sledgehammer/QEpres/uf.1050663.smt2	unsat	11818	unsat	15121	arm-first	unsat
UF/sledgehammer/QEpres/uf.717452.smt2	sat	109	sat	109	base-first	sat
UF/sledgehammer/QEpres/uf.924249.smt2	NONE	14205	NONE	14302	arm-first	unknown
UF/sledgehammer/StrongNorm/uf.745770.smt2	unknown	18127	unknown	19327	base-first	unknown
UF/sledgehammer/TwoSquares/uf.673275.smt2	unsat	1110	unsat	1109	arm-first	unsat
UF/sledgehammer/TypeSafe/smtlib.1098821.smt2	unknown	24132	unknown	24128	base-first	unsat
UF/sledgehammer/TypeSafe/uf.1008626.smt2	unknown	25332	unknown	25332	arm-first	unsat
