file	base	base_ms	arm	arm_ms	order	status
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	24136	unknown	24835	base-first	unknown
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unknown	24136	unknown	24138	arm-first	unsat
UFLIA/boogie/PureAxioms_B.Dummy2-level_2.smt2	unknown	24127	unknown	24134	base-first	unknown
UFLIA/boogie/WhereMotivation_Types.MLoop0.smt2	unknown	24136	unknown	24131	arm-first	unknown
UFLIA/grasshopper/uninstantiated/difference_check_heap_access_41_8.smt2	unsat	13024	unsat	8319	base-first	unsat
UFLIA/simplify/javafe.ast.DelegatingPrettyPrint.117.smt2	unsat	311	unsat	310	arm-first	unsat
UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	unknown	23535	unknown	23035	base-first	unsat
UFLIA/simplify/javafe.tc.TypeSig.730.smt2	unknown	17930	unknown	18531	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.CatchClauseVec.004.smt2	unsat	512	unsat	511	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.ForStmt.009.smt2	unknown	25038	unknown	25039	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.ParenExpr.006.smt2	unknown	25034	unknown	25038	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.ast.TypeModifierPragmaVec.013.smt2	unknown	24136	unknown	24136	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.filespace.HashTree.001.smt2	unknown	25035	unknown	24135	base-first	unsat
UFLIA/simplify2/front_end_suite/javafe.reader.CachedReader.003.smt2	unknown	24136	unknown	24136	arm-first	unsat
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSigVec.005.smt2	unknown	24134	unknown	24136	base-first	unsat
UFLIA/simplify2/small_suite/getRootInterface.smt2	unknown	24137	unknown	24237	arm-first	unsat
UFLIA/sledgehammer/FFT/smtlib.725125.smt2	unknown	611	unknown	611	base-first	unknown
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1234945.smt2	unsat	110	unsat	111	arm-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1523261.smt2	unsat	111	unsat	110	base-first	unsat
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.874641.smt2	unsat	411	unsat	410	arm-first	unsat
UFLIA/sledgehammer/Hoare/smtlib.581330.smt2	unknown	1912	unknown	1712	base-first	unsat
UFLIA/sledgehammer/NS_Shared/smtlib.657037.smt2	unsat	14025	unsat	16128	arm-first	unsat
UFLIA/sledgehammer/QEpres/smtlib.1237382.smt2	unknown	20731	unknown	20732	base-first	unsat
UFLIA/sledgehammer/QEpres/smtlib.876524.smt2	unknown	5916	unknown	5816	arm-first	unknown
UFLIA/sledgehammer/StrongNorm/smtlib.812524.smt2	unknown	14025	unknown	14725	base-first	unknown
UFLIA/sledgehammer/TwoSquares/smtlib.788343.smt2	unsat	110	unsat	109	arm-first	unsat
UFLIA/sledgehammer/TypeSafe/smtlib.704617.smt2	unknown	14525	unknown	11522	base-first	unknown
UFLIA/tokeneer/auditlog/clearlogentries-11.smt2	unsat	2311	unsat	2312	arm-first	unsat
UFLIA/tokeneer/configdata/validatefile-11.smt2	unsat	110	unsat	110	base-first	unsat
UFLIA/tokeneer/enclave/enrolop-3.smt2	unsat	110	unsat	109	arm-first	unsat
UFLIA/tokeneer/keystore/digest-219.smt2	unsat	110	unsat	111	base-first	unsat
UFLIA/tokeneer/screen/writealarms-9.smt2	unsat	110	unsat	110	arm-first	unsat
UFLIA/tokeneer/userentry/validateentry-8.smt2	unsat	110	unsat	110	base-first	unsat
