file	axeyum	reference	declared
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/20170501-Heizmann-UltimateAutomizer/Newlib-BadKrozingenChallenge-Oversimplified.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/griggio/fmcad12/newton.4.2.i.smt2	unsolved	unsat	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/schanda/spark/scale_2.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-12487.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-15121.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-17689.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-2316.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-5103.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-7517.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-no-other-solution-9718.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-12276.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-1498.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-17494.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-2092.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-4848.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-7351.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/abs/abs-has-solution-9548.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-12312.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-14592.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-16941.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-19136.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-3469.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-6031.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-no-other-solution-8348.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-10975.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-13330.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-15787.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-18179.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-24.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-4734.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-7187.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/add/add-has-solution-9666.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-1210.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-15022.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-17731.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-211.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-4661.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-7215.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-no-other-solution-9828.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-12309.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-15280.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-17962.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-2386.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-4906.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/div/div-has-solution-7453.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-10040.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-12751.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-15258.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-17662.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-2239.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-5023.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-no-other-solution-7654.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-10477.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-13022.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-15516.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-17960.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-2527.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-5257.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/eq/eq-has-solution-7968.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-10723.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-12967.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-15850.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-18593.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-3260.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-5592.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-no-other-solution-7941.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-10574.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-12717.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-15612.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-18352.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-2962.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-5342.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/fma/fma-has-solution-7760.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-10307.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-12880.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-15558.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-18011.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-2497.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-4987.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-7324.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-no-other-solution-9841.smt2	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-12363.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-15178.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-17602.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-2049.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-4445.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-6938.smt2	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_FP/wintersteiger/gt/gt-has-solution-9275.smt2	sat	sat	sat
