core	z3_uniq	no_dump	ADMITTED	MATCHED-REJECTED	NEVER-MATCHED	NESTED	total
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	10	False	0	4	0	6	10
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	2	True	0	0	2	0	2
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	30	False	1	0	7	22	30
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	291	False	1	0	119	171	291
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	3	False	0	3	0	0	3
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	1	False	0	1	0	0	1
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	95	False	0	26	2	67	95
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	13	False	0	0	4	9	13
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	37	False	1	13	0	23	37
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	12	False	0	6	0	6	12
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	135	False	0	0	89	46	135
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	5	True	0	0	5	0	5
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	32	False	1	0	31	0	32
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	14	False	0	14	0	0	14
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	26	False	0	0	5	21	26
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	18	False	0	0	8	10	18
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	1	False	0	1	0	0	1
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	0	True	0	0	0	0	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	3	False	0	1	0	2	3
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	6	False	0	2	0	4	6
