file	order	base_verdict	base_ms	base_rc	treat_verdict	treat_ms	treat_rc
mbo_E1.smt2	base-first	unknown	7618	0	unknown	7430	0
mbo_E13E18.smt2	treat-first	unknown	25033	0	unknown	25035	0
mbo_E17E24.smt2	base-first	unknown	25041	0	unknown	25034	0
mbo_E20E26.smt2	treat-first	unknown	2222	0	unknown	2224	0
mbo_E2E5.smt2	base-first	unknown	25145	0	unknown	25036	0
mbo_E5E13.smt2	treat-first	unknown	24142	0	unknown	24140	0
mbo_E7E27.smt2	base-first	unsat	123	0	unsat	119	0
avg60.i_5_5_4.bpl_3.smt2	treat-first	unknown	24145	0	unknown	24145	0
standard_two_index_06.i_3_2_2.bpl_5.smt2	base-first	unknown	12433	0	unknown	12528	0
MulliganEconomicsModel0051a.smt2	treat-first	unknown	4423	0	unknown	6424	0
MulliganEconomicsModel0082a.smt2	base-first	unknown	12434	0	unknown	12429	0
30-reverse_folding-0-0.smt2	treat-first	unknown	27540	0	unknown	27435	0
1599121863243316000.smt2	base-first	unknown	2720	0	unknown	2719	0
1599121905450496000.smt2	treat-first	unknown	12736	0	unknown	12734	0
1599122159626470000.smt2	base-first	sat	2725	0	sat	2725	0
1599122164633784000.smt2	treat-first	unknown	3420	0	unknown	3427	0
IsoRightTriangle-Bottema6_1b.smt2	base-first	unknown	24147	0	unknown	24145	0
Triangle-Bottema1_17.smt2	treat-first	unknown	22942	0	unknown	23042	0
ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	base-first	unknown	5217	0	unknown	5224	0
BDC_ProveIneq_ISSAC10_ex1d.smt2	treat-first	sat	124	0	sat	124	0
DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	base-first	unknown	11631	0	unknown	11631	0
DDC_ProveIneq_Mitrinovic_8_3.smt2	treat-first	unknown	2115	0	unknown	15434	0
byron-2.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	base-first	unknown	24638	0	unknown	24445	0
eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	treat-first	unknown	24140	0	unknown	24134	0
heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate.smt2	base-first	unknown	24133	0	unknown	24143	0
p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	treat-first	unknown	24537	0	unknown	24745	0
polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate.smt2	base-first	unknown	24135	0	unknown	24146	0
spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	treat-first	unknown	24136	0	unknown	24243	0
BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate.smt2	base-first	unknown	24138	0	unknown	24143	0
KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	treat-first	unknown	25137	0	unknown	25134	0
NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2	base-first	unknown	24148	0	unknown	24141	0
min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2	treat-first	unknown	24342	0	unknown	24443	0
Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	base-first	unknown	24443	0	unknown	24340	0
FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	treat-first	unknown	24140	0	unknown	24140	0
SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	base-first	unknown	24138	0	unknown	24139	0
yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	treat-first	unknown	24242	0	unknown	24342	0
InVarSynth_pcatest1.bpl_Iteration1_1.smt2	base-first	unknown	24143	0	unknown	24145	0
ball_count_1d_plain.01.seq_lazy_global_11.smt2	treat-first	unsat	1126	0	unsat	1121	0
ball_count_1d_plain.01.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	1524	0	unsat	1520	0
ball_count_1d_plain.02.seq_lazy_lemmas_global_5.smt2	treat-first	unsat	620	0	unsat	613	0
ball_count_1d_plain.03.redlog_global_15.smt2	base-first	unsat	120	0	unsat	123	0
ball_count_1d_plain.03.seq_lazy_linear_enc_lemmas_global_11.smt2	treat-first	unsat	2315	0	unsat	2319	0
ball_count_1d_plain.04.seq_lazy_global_9.smt2	base-first	unsat	824	0	unsat	817	0
ball_count_1d_plain.05.qfree_global_5.smt2	treat-first	unsat	220	0	unsat	221	0
ball_count_1d_plain.05.seq_lazy_linear_enc_global_15.smt2	base-first	unsat	122	0	unsat	120	0
ball_count_1d_plain.10.seq_lazy_global_11.smt2	treat-first	unsat	1016	0	unsat	1123	0
ball_count_1d_plain.10.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	1522	0	unsat	1521	0
ball_count_2d_hill.01.seq_lazy_linear_enc_global_5.smt2	treat-first	unsat	719	0	unsat	723	0
ball_count_2d_hill.02.seq_lazy_lemmas_global_15.smt2	base-first	unsat	223	0	unsat	115	0
ball_count_2d_hill.03.seq_lazy_global_11.smt2	treat-first	unsat	123	0	unsat	124	0
ball_count_2d_hill.03.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	5429	0	unsat	5425	0
ball_count_2d_hill.04.seq_lazy_linear_enc_global_5.smt2	treat-first	unsat	723	0	unsat	723	0
ball_count_2d_hill.05.seq_lazy_lemmas_global_15.smt2	base-first	unsat	223	0	unsat	117	0
ball_count_2d_hill.10.seq_lazy_global_11.smt2	treat-first	unsat	121	0	unsat	112	0
ball_count_2d_hill.10.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	5322	0	unsat	5317	0
ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_5.smt2	treat-first	unsat	821	0	unsat	816	0
ball_count_2d_hill_simple.02.redlog_global_15.smt2	base-first	unsat	119	0	unsat	121	0
ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2	treat-first	unsat	3217	0	unsat	3220	0
ball_count_2d_hill_simple.03.seq_lazy_global_9.smt2	base-first	unsat	1013	0	unsat	1023	0
ball_count_2d_hill_simple.04.qfree_global_5.smt2	treat-first	unsat	219	0	unsat	221	0
ball_count_2d_hill_simple.04.seq_lazy_linear_enc_global_15.smt2	base-first	unsat	119	0	unsat	117	0
ball_count_2d_hill_simple.05.seq_lazy_global_11.smt2	treat-first	unsat	1418	0	unsat	1424	0
ball_count_2d_hill_simple.05.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	2326	0	unsat	2326	0
ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_5.smt2	treat-first	unsat	820	0	unsat	821	0
ball_count_2d_plain.01.redlog_global_15.smt2	base-first	unsat	111	0	unsat	114	0
ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_11.smt2	treat-first	unsat	107	0	unsat	116	0
ball_count_2d_plain.02.seq_lazy_global_9.smt2	base-first	unsat	1211	0	unsat	1224	0
ball_count_2d_plain.03.qfree_global_5.smt2	treat-first	unsat	213	0	unsat	220	0
ball_count_2d_plain.03.seq_lazy_linear_enc_global_15.smt2	base-first	unsat	118	0	unsat	122	0
ball_count_2d_plain.04.seq_lazy_global_11.smt2	treat-first	unsat	120	0	unsat	123	0
ball_count_2d_plain.04.seq_lazy_linear_enc_lemmas_global_9.smt2	base-first	unsat	2723	0	unsat	2720	0
ball_count_2d_plain.05.seq_lazy_lemmas_global_5.smt2	treat-first	unsat	1020	0	unsat	1017	0
ball_count_2d_plain.10.redlog_global_15.smt2	base-first	unsat	115	0	unsat	116	0
ball_count_2d_plain.10.seq_lazy_linear_enc_lemmas_global_11.smt2	treat-first	unsat	119	0	unsat	121	0
ball_count_2d_slope.01.seq_lazy_linear_enc_global_9.smt2	base-first	unsat	3027	0	unsat	3022	0
ball_count_2d_slope.02.seq_lazy_linear_enc_global_5.smt2	treat-first	unsat	1118	0	unsat	1221	0
ball_count_2d_slope.03.seq_lazy_linear_enc_global_15.smt2	base-first	unsat	223	0	unsat	113	0
ball_count_2d_slope.04.seq_lazy_linear_enc_global_11.smt2	treat-first	unsat	119	0	unsat	123	0
ball_count_2d_slope.05.seq_lazy_lemmas_global_9.smt2	base-first	unsat	7527	0	unsat	7425	0
ball_count_2d_slope.10.seq_lazy_lemmas_global_5.smt2	treat-first	unsat	2720	0	unsat	2724	0
etcs_braking_2.01.redlog_global_15.smt2	base-first	unknown	24440	0	unknown	24339	0
etcs_braking_2.01.seq_lazy_linear_enc_lemmas_global_11.smt2	treat-first	unsat	23436	0	unsat	18537	0
simple_ballistics_reach.01.seq_lazy_linear_enc_global_9.smt2	base-first	unknown	18939	0	unknown	18835	0
kissing_4_8.smt2	treat-first	unknown	24433	0	unknown	24437	0
CMOS-opamp-chunk-0071.smt2	base-first	unknown	721	0	unknown	721	0
CMOS-opamp-chunk-0146.smt2	treat-first	unknown	1723	0	unknown	1721	0
CMOS-opamp-chunk-0211.smt2	base-first	sat	113	0	sat	116	0
CMOS-opamp-chunk-0295.smt2	treat-first	unknown	3624	0	unknown	3524	0
CONVOI2-chunk-0028.smt2	base-first	sat	118	0	sat	121	0
Chua-1-IL-L-chunk-0065.smt2	treat-first	unsat	117	0	unsat	118	0
Chua-1-IL-L-chunk-0141.smt2	base-first	unsat	121	0	unsat	121	0
Chua-1-IL-U-chunk-0075.smt2	treat-first	unknown	118	0	unknown	123	0
Chua-1-VC1-L-chunk-0080.smt2	base-first	unknown	816	0	unknown	820	0
Chua-1-VC1-L-chunk-0158.smt2	treat-first	unsat	119	0	unsat	124	0
Chua-1-VC2-L-chunk-0025.smt2	base-first	sat	123	0	sat	118	0
Chua-1-VC2-U-chunk-0037.smt2	treat-first	sat	123	0	sat	121	0
Chua-1-VC2-U-chunk-0110.smt2	base-first	sat	122	0	sat	120	0
Chua-2-IL-L-chunk-0036.smt2	treat-first	sat	121	0	sat	114	0
Chua-2-IL-L-chunk-0103.smt2	base-first	sat	116	0	sat	115	0
Chua-2-IL-U-chunk-0064.smt2	treat-first	sat	120	0	sat	123	0
Chua-2-VC1-L-chunk-0050.smt2	base-first	sat	120	0	sat	120	0
Chua-2-VC1-L-chunk-0118.smt2	treat-first	sat	118	0	sat	119	0
Chua-2-VC1-U-chunk-0070.smt2	base-first	sat	121	0	sat	124	0
Chua-2-VC2-L-chunk-0039.smt2	treat-first	unsat	119	0	unsat	122	0
Chua-2-VC2-U-chunk-0049.smt2	base-first	unsat	115	0	unsat	121	0
Lyapunov1a-chunk-0004.smt2	treat-first	sat	124	0	sat	124	0
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040.smt2	base-first	unknown	1727	0	unknown	2115	0
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	treat-first	unknown	1627	0	unknown	2117	0
RL-high-pass-circuit-gain-chunk-0012.smt2	base-first	unknown	2422	0	unknown	3319	0
asin-8-vars4-chunk-0049.smt2	treat-first	sat	123	0	sat	119	0
atan-problem-1-chunk-0073.smt2	base-first	sat	112	0	sat	120	0
atan-problem-2-chunk-0014.smt2	treat-first	unknown	3724	0	unknown	12433	0
atan-problem-2-chunk-0083.smt2	base-first	sat	122	0	sat	119	0
atan-problem-2-sqrt-weak-chunk-0024.smt2	treat-first	unsat	116	0	unsat	122	0
atan-problem-2-weak-chunk-0018.smt2	base-first	unknown	3916	0	unknown	17933	0
atan-problem-2-weak-chunk-0089.smt2	treat-first	unknown	3430	0	unknown	14234	0
atan-problem-2-weak-chunk-0159.smt2	base-first	unknown	5822	0	unknown	13523	0
