file	rc	verdict	give_up_kind	give_up_detail	cause_class	bound_by	last	bound_ms	total_ms	attempts	board_ax_s	z3	cvc5
mbo_E1	0	unknown	ResourceLimit	nonlinear abstraction: 771 cross-products project to 36945 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	2721	2918	14	6.59	unknown	unsat
mbo_E13E18	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.04	unknown	unsat
mbo_E20E26	0	unknown	ResourceLimit	nonlinear abstraction: 396 cross-products project to 16976 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	2921	2988	14	2.41	unknown	unsat
mbo_E2E5	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra-real-root	fd:bounded-completeness-unsat	23756	24110	13	25.03	unknown	unsat
mbo_E5E13	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra-real-root	fd:bounded-completeness-unsat	23889	24054	13	25.14	unknown	unsat
MulliganEconomicsModel0051a	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	2244	4752	10	4.22	sat	sat
MulliganEconomicsModel0082a	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12289	12290	15	12.42	sat	sat
30-reverse_folding-0-0	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	12.60	sat	unknown
1599121863243316000	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2978	3003	15	2.71	sat	sat
1599121905450496000	0	unknown	Incomplete	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	nra	fd:bounded-completeness-unsat	12579	12590	15	12.62	sat	unknown
1599122164633784000	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3563	3575	15	3.62	sat	sat
IsoRightTriangle-Bottema6_1b	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	23946	24002	15	24.14	sat	sat
Triangle-Bottema1_17	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	cas-ideal-refuter	fd:bounded-completeness-unsat	22832	23762	15	21.63	sat	sat
ProveIneq_ISSAC05_SignPattern_Lemma2	0	unknown	ResourceLimit	nonlinear abstraction: 55 cross-products project to 1107 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	4831	5446	15	4.81	unsat	unknown
DDC_ProveIneq_ISSAC05_Bessack_5_m4	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	9004	9005	14	11.62	unsat	unsat
DDC_ProveIneq_Mitrinovic_8_3	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	1334	2351	10	2.41	unsat	unsat
byron-2.t2.c_Iteration2_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24549	24741	15	24.84	sat	unknown
eric2.t2.c_Iteration9_Loop_3-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24036	24075	15	24.13	unsat	unsat
heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24079	24102	15	24.24	unsat	unsat
polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24009	24017	15	24.14	unsat	unsat
spiral.t2.c_Iteration22_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24257	24311	15	24.24	sat	sat
BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	23996	24028	15	24.14	sat	sat
KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.13	unsat	unknown
NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24017	24046	15	24.24	sat	sat
Canberra.bpl_Iteration1_Lasso_6-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24376	24601	15	24.43	unsat	unsat
FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24019	24037	15	24.13	sat	sat
SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24030	24042	15	24.14	unsat	unsat
yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24028	24182	15	24.24	unsat	unknown
InVarSynth_pcatest1.bpl_Iteration1_1	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24035	24057	15	24.14	sat	sat
etcs_braking_2.01.redlog_global_15	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	24121	24433	14	24.44	unknown	unsat
kissing_4_8	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra-real-root	fd:bounded-completeness-unsat	24426	24428	14	24.44	unknown	sat
CMOS-opamp-chunk-0071	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	695	696	15	0.71	unsat	unsat
CMOS-opamp-chunk-0146	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	619	620	14	1.81	unsat	unsat
CMOS-opamp-chunk-0295	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	3154	3155	15	3.41	unsat	unsat
Chua-1-IL-U-chunk-0075	0	unknown	Incomplete	query contains an integer literal outside the i128 reference range; no route has opted into wide integer constants (ADR-1702 slice 2)	query contains an integer literal outside the iN reference range; no route has opted into wide integ	fd:parse	fd:bounded-completeness-unsat	0	0	12	0.11	sat	sat
Chua-1-VC1-L-chunk-0080	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	1080	1080	14	0.71	unsat	unsat
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	2415	2415	4	1.61	sat	sat
Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	2517	2517	4	1.61	unsat	unsat
RL-high-pass-circuit-gain-chunk-0012	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	1910	3764	10	2.41	unsat	unsat
atan-problem-2-chunk-0014	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	4300	6885	11	4.02	sat	sat
atan-problem-2-weak-chunk-0018	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	3498	6985	10	4.11	sat	sat
atan-problem-2-weak-chunk-0089	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	2607	4999	10	3.82	sat	sat
atan-problem-2-weak-chunk-0159	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	5686	8446	10	6.52	sat	sat
atan-vega-3-chunk-0242	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	1529	3062	10	2.31	unsat	unsat
atan-vega-3-chunk-0545	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	3910	7807	10	4.52	unsat	unsat
atan-vega-3-weak-chunk-0243	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	1307	2522	8	1.61	sat	sat
atan-vega-3-weak-chunk-0388	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12456	23575	17	11.32	unsat	unsat
atan-vega-3-weak-chunk-0653	0	unknown	ResourceLimit	nonlinear abstraction: 58 cross-products project to 1149 linear-real atoms, past the consuming engine's capacity of 1024 (this needs a nlsat/CAD engine)	nra abstraction: past the LRA atom capacity (needs nlsat/CAD)	nra	fd:bounded-completeness-unsat	1046	1047	14	2.71	sat	sat
exp-problem-10-2-chunk-0017	0	unknown	ResourceLimit	nonlinear abstraction: refinement round bound reached (raise the budget to attempt more)	nra abstraction: refinement round bound	nra	fd:bounded-completeness-unsat	6505	6515	16	4.32	sat	sat
exp-problem-10-2-chunk-0266	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	1810	3580	10	2.71	unsat	unsat
exp-problem-10-3-chunk-0139	0	unknown	Timeout	preprocessed dispatch timeout after reduced solve	timeout: preprocessed dispatch timeout after reduced solve	nra	fd:bounded-completeness-unsat	23553	24005	15	24.04	sat	sat
exp-problem-10-3-weak-chunk-0016	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	25.03	unsat	unsat
exp-problem-10-3-weak-chunk-0081	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	689	1348	10	1.11	unsat	unsat
exp-problem-10-3-weak-chunk-0142	0	unknown	Watchdog	watchdog fired before the worker thread returned	watchdog fired before the worker returned			0	0	0	23.33	sat	sat
exp-problem-10-3-weak-chunk-0204	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12314	12462	15	12.52	unsat	unsat
polypaver-bench-exp-3d-chunk-0105	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	3949	7575	10	7.42	unsat	unsat
polypaver-sqrt43-int-3vars-chunk-0046	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	preprocess	dispatch-error	10988	21034	10	18.53	sat	sat
sin-cos-346-b-chunk-0147	0	unknown	ResourceLimit	nonlinear abstraction: refinement round bound reached (raise the budget to attempt more)	nra abstraction: refinement round bound	nra	fd:bounded-completeness-unsat	17752	17753	15	15.93	unsat	unsat
sin-cos-346-b-chunk-0227	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4707	4709	14	4.31	sat	sat
sin-cos-346-b-chunk-0291	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	3790	3792	14	3.62	sat	sat
sin-cos-346-b-chunk-0353	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	4652	4653	14	4.62	sat	sat
sin-cos-346-b-chunk-0419	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	755	759	15	0.71	unsat	unsat
sin-cos-346-b-chunk-0479	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	1386	1388	14	1.11	sat	sat
sin-cos-346-b-chunk-0543	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12310	12311	14	12.42	sat	sat
sin-problem-7-chunk-0124	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	564	1127	8	1.21	sat	sat
sin-problem-7-chunk-0203	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	2063	4121	9	3.91	sat	sat
sin-problem-7-weak-chunk-0131	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	2231	2232	14	6.62	sat	sat
sin-problem-7-weak2-chunk-0129	0	unknown	Error	unsupported by backend: QF_LRA: nonlinear real multiplication	ERROR: unsupported nonlinear real multiplication escaped as an error	dispatch-error	dispatch-error	2092	4154	8	2.41	unsat	unknown
sin-problem-8-weak-chunk-0050	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	140	207	15	0.21	sat	sat
sqrt-1mcosq-8-chunk-0228	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12381	12382	14	12.52	sat	sat
sqrt-1mcosq-8-chunk-0291	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	1628	1631	14	1.71	unsat	unsat
sqrt-1mcosq-8-chunk-0354	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	40	46	15	0.11	unsat	unsat
sqrt-1mcosq-8-chunk-0421	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	212	213	14	0.21	sat	sat
sqrt-1mcosq-8-chunk-0562	0	unknown	Incomplete	nonlinear abstraction: refinement reached a fixpoint without deciding	nra abstraction: refinement fixpoint, undecided	nra	fd:bounded-completeness-unsat	826	829	15	3.11	sat	sat
sqrt-1mcosq-8-chunk-0695	0	unknown	ResourceLimit	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	nra	fd:bounded-completeness-unsat	1544	1547	15	1.61	sat	sat
sqrt-circles-3-chunk-0021	0	unknown	ResourceLimit	lazy SMT: wall-clock timeout reached	timeout: lazy SMT: wall-clock timeout reached	nra	fd:bounded-completeness-unsat	12309	12317	15	12.42	unsat	unsat
