backend,latency_nanos,cumulative_fraction
z3,245944,0.0017825311942959
z3,258217,0.0035650623885918
z3,267975,0.0053475935828877
z3,277805,0.0071301247771836
z3,331264,0.008912655971479501
z3,339305,0.0106951871657754
z3,341724,0.012477718360071301
z3,355947,0.0142602495543672
z3,375939,0.016042780748663103
z3,388514,0.017825311942959002
z3,392003,0.0196078431372549
z3,393168,0.0213903743315508
z3,393511,0.023172905525846704
z3,393554,0.024955436720142603
z3,402439,0.026737967914438502
z3,402675,0.0285204991087344
z3,410488,0.030303030303030304
z3,419889,0.03208556149732621
z3,421982,0.0338680926916221
z3,428200,0.035650623885918005
z3,430388,0.0374331550802139
z3,430638,0.0392156862745098
z3,441989,0.040998217468805706
z3,443155,0.0427807486631016
z3,443466,0.044563279857397504
z3,449682,0.04634581105169341
z3,454539,0.0481283422459893
z3,460859,0.049910873440285206
z3,477811,0.05169340463458111
z3,485717,0.053475935828877004
z3,490361,0.05525846702317291
z3,501586,0.0570409982174688
z3,515380,0.058823529411764705
z3,520187,0.06060606060606061
z3,525220,0.062388591800356503
z3,525232,0.06417112299465241
z3,528407,0.0659536541889483
z3,533177,0.0677361853832442
z3,543572,0.06951871657754011
z3,549841,0.07130124777183601
z3,550569,0.07308377896613191
z3,554237,0.0748663101604278
z3,554516,0.0766488413547237
z3,555591,0.0784313725490196
z3,561291,0.08021390374331551
z3,564393,0.08199643493761141
z3,570754,0.08377896613190731
z3,572074,0.0855614973262032
z3,578119,0.0873440285204991
z3,580964,0.08912655971479501
z3,587092,0.09090909090909091
z3,595816,0.09269162210338681
z3,606260,0.0944741532976827
z3,613260,0.0962566844919786
z3,621256,0.09803921568627451
z3,622064,0.09982174688057041
z3,623048,0.10160427807486631
z3,626364,0.10338680926916222
z3,630523,0.1051693404634581
z3,631426,0.10695187165775401
z3,631596,0.10873440285204991
z3,648175,0.11051693404634581
z3,648275,0.11229946524064172
z3,649125,0.1140819964349376
z3,649455,0.11586452762923351
z3,651335,0.11764705882352941
z3,653055,0.11942959001782531
z3,653528,0.12121212121212122
z3,665949,0.12299465240641712
z3,670606,0.12477718360071301
z3,673253,0.1265597147950089
z3,675747,0.12834224598930483
z3,676173,0.13012477718360071
z3,676287,0.1319073083778966
z3,682131,0.13368983957219252
z3,684782,0.1354723707664884
z3,685655,0.13725490196078433
z3,689691,0.13903743315508021
z3,690457,0.1408199643493761
z3,694978,0.14260249554367202
z3,702373,0.1443850267379679
z3,703310,0.14616755793226383
z3,705541,0.14795008912655971
z3,706010,0.1497326203208556
z3,706098,0.15151515151515152
z3,706937,0.1532976827094474
z3,707639,0.15508021390374332
z3,707925,0.1568627450980392
z3,710320,0.1586452762923351
z3,711569,0.16042780748663102
z3,711606,0.1622103386809269
z3,711994,0.16399286987522282
z3,712497,0.1657754010695187
z3,722274,0.16755793226381463
z3,724003,0.16934046345811052
z3,727902,0.1711229946524064
z3,732580,0.17290552584670232
z3,735220,0.1746880570409982
z3,735452,0.17647058823529413
z3,736685,0.17825311942959002
z3,737852,0.1800356506238859
z3,739041,0.18181818181818182
z3,739355,0.1836007130124777
z3,739527,0.18538324420677363
z3,740176,0.18716577540106952
z3,743008,0.1889483065953654
z3,745331,0.19073083778966132
z3,746320,0.1925133689839572
z3,746480,0.19429590017825313
z3,751886,0.19607843137254902
z3,752689,0.19786096256684493
z3,752721,0.19964349376114082
z3,753080,0.2014260249554367
z3,758529,0.20320855614973263
z3,759253,0.20499108734402852
z3,760666,0.20677361853832443
z3,761728,0.20855614973262032
z3,762697,0.2103386809269162
z3,763453,0.21212121212121213
z3,764677,0.21390374331550802
z3,765977,0.21568627450980393
z3,768050,0.21746880570409982
z3,768165,0.2192513368983957
z3,770058,0.22103386809269163
z3,771639,0.22281639928698752
z3,776348,0.22459893048128343
z3,778635,0.22638146167557932
z3,780548,0.2281639928698752
z3,780559,0.22994652406417113
z3,784000,0.23172905525846701
z3,785927,0.23351158645276293
z3,786423,0.23529411764705882
z3,787542,0.23707664884135474
z3,788629,0.23885918003565063
z3,789239,0.24064171122994651
z3,789330,0.24242424242424243
z3,791042,0.24420677361853832
z3,793567,0.24598930481283424
z3,794986,0.24777183600713013
z3,798856,0.24955436720142601
z3,799048,0.25133689839572193
z3,800839,0.2531194295900178
z3,800953,0.2549019607843137
z3,803623,0.25668449197860965
z3,806500,0.25846702317290554
z3,806733,0.26024955436720143
z3,810665,0.2620320855614973
z3,813383,0.2638146167557932
z3,813989,0.26559714795008915
z3,814020,0.26737967914438504
z3,814054,0.26916221033868093
z3,822640,0.2709447415329768
z3,824698,0.2727272727272727
z3,826775,0.27450980392156865
z3,829433,0.27629233511586454
z3,831402,0.27807486631016043
z3,832380,0.2798573975044563
z3,837062,0.2816399286987522
z3,837451,0.28342245989304815
z3,841463,0.28520499108734404
z3,842164,0.28698752228163993
z3,843406,0.2887700534759358
z3,845304,0.2905525846702317
z3,845509,0.29233511586452765
z3,846290,0.29411764705882354
z3,846477,0.29590017825311943
z3,847357,0.2976827094474153
z3,850054,0.2994652406417112
z3,850239,0.30124777183600715
z3,850785,0.30303030303030304
z3,851283,0.3048128342245989
z3,853389,0.3065953654188948
z3,856635,0.3083778966131907
z3,857011,0.31016042780748665
z3,857803,0.31194295900178254
z3,860778,0.3137254901960784
z3,861117,0.3155080213903743
z3,865039,0.3172905525846702
z3,869851,0.31907308377896615
z3,872055,0.32085561497326204
z3,872136,0.3226381461675579
z3,873221,0.3244206773618538
z3,873275,0.32620320855614976
z3,876783,0.32798573975044565
z3,877248,0.32976827094474154
z3,878337,0.3315508021390374
z3,878522,0.3333333333333333
z3,880262,0.33511586452762926
z3,884490,0.33689839572192515
z3,885542,0.33868092691622104
z3,886361,0.3404634581105169
z3,886726,0.3422459893048128
z3,891920,0.34402852049910876
z3,894151,0.34581105169340465
z3,894625,0.34759358288770054
z3,899715,0.3493761140819964
z3,901032,0.3511586452762923
z3,911660,0.35294117647058826
z3,914770,0.35472370766488415
z3,914831,0.35650623885918004
z3,915524,0.3582887700534759
z3,915904,0.3600713012477718
z3,916650,0.36185383244206776
z3,922449,0.36363636363636365
z3,922903,0.36541889483065954
z3,925035,0.3672014260249554
z3,926697,0.3689839572192513
z3,930027,0.37076648841354726
z3,930342,0.37254901960784315
z3,932048,0.37433155080213903
z3,938257,0.3761140819964349
z3,938918,0.3778966131907308
z3,939357,0.37967914438502676
z3,942591,0.38146167557932265
z3,942925,0.38324420677361853
z3,948262,0.3850267379679144
z3,948688,0.3868092691622103
z3,948837,0.38859180035650626
z3,951824,0.39037433155080214
z3,953623,0.39215686274509803
z3,958466,0.3939393939393939
z3,960940,0.39572192513368987
z3,962412,0.39750445632798576
z3,962439,0.39928698752228164
z3,967423,0.40106951871657753
z3,972353,0.4028520499108734
z3,972789,0.40463458110516937
z3,973046,0.40641711229946526
z3,978470,0.40819964349376114
z3,979648,0.40998217468805703
z3,981861,0.4117647058823529
z3,984165,0.41354723707664887
z3,986678,0.41532976827094475
z3,987427,0.41711229946524064
z3,989047,0.41889483065953653
z3,989312,0.4206773618538324
z3,989605,0.42245989304812837
z3,994385,0.42424242424242425
z3,998558,0.42602495543672014
z3,999984,0.42780748663101603
z3,1005684,0.4295900178253119
z3,1006040,0.43137254901960786
z3,1006161,0.43315508021390375
z3,1007829,0.43493761140819964
z3,1009100,0.43672014260249553
z3,1011265,0.4385026737967914
z3,1011518,0.44028520499108736
z3,1019665,0.44206773618538325
z3,1021615,0.44385026737967914
z3,1021783,0.44563279857397503
z3,1023158,0.4474153297682709
z3,1025993,0.44919786096256686
z3,1028400,0.45098039215686275
z3,1031805,0.45276292335115864
z3,1034357,0.45454545454545453
z3,1035516,0.4563279857397504
z3,1035844,0.45811051693404636
z3,1036434,0.45989304812834225
z3,1049248,0.46167557932263814
z3,1050347,0.46345811051693403
z3,1054058,0.46524064171123
z3,1054570,0.46702317290552586
z3,1055559,0.46880570409982175
z3,1060188,0.47058823529411764
z3,1065315,0.47237076648841353
z3,1067543,0.4741532976827095
z3,1069173,0.47593582887700536
z3,1069621,0.47771836007130125
z3,1070117,0.47950089126559714
z3,1070485,0.48128342245989303
z3,1071372,0.483065953654189
z3,1076606,0.48484848484848486
z3,1079133,0.48663101604278075
z3,1079789,0.48841354723707664
z3,1082123,0.49019607843137253
z3,1087222,0.4919786096256685
