file	outcome	verdict	secs	attempts	decided_by	bound_by	last	open_ms	open_after	phase_in	phase_depth	phase_deepest	phase_enters	giveup_kind	giveup_detail	class	bucket
v25_problem_2__027.smt2.slack.smt2	ok	unknown	24.22	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
v30_problem_2__023.smt2.slack.smt2	ok	unknown	24.22	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
cut_lemma_02_016.smt2.slack.smt2	ok	unknown	24.12	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
182-incremental_scheduling-17280-0.smt2	ok	unknown	24.12	14	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 567 rounds this solve (solve_calls=1, total_rounds=567, atoms=1045, bound_lemmas=0, blocking_lemmas=567, core_len_last=52, core_len_min=2, core_len_max=64, core_len_avg=17.6, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=567, core_src_minimized=0, core_src_large=0, core_large_literals=0, support_attempts=567, support_unavailable=0, support_conflict_batches=567, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
apache-get-tag-O0.smt2	ok	unknown	25.13	4	none	fd:parse	cas-int-units	5591	cas-int-units	dl-online:check	1	dl-online:check	dl-online:check:1	Watchdog	watchdog fired before the worker thread returned	watchdog-in-phase:dl-online:check	watchdog: inside instrumented phase dl-online:check
jm2006_variant-O0.smt2	ok	unknown	25.03							none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-in-parse	watchdog: INGEST (parse is outside --timeout-ms)
RC-07.smt2	ok	unknown	24.84	14	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=25667, cnf_vars=537713, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=0, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=25667, 	admission: lia-dpll pre-SAT skeleton boundary
RC-09.smt2	ok	unknown	25.03	3	none	fd:parse	cas-int-units	24894	cas-int-units	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:cas-int-units	watchdog: un-instrumented phase after route cas-int-units
RC-11.smt2	ok	unknown	25.05	3	none	cas-int-units	cas-int-units	22948	cas-int-units	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:cas-int-units	watchdog: un-instrumented phase after route cas-int-units
RC-15.smt2	ok	unknown	25.12	4	none	dl-online	dl-online	23600	dl-online	none	0	dl-online:check	dl-online:check:1	Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:dl-online(deepest:dl-online:check)	watchdog: un-instrumented phase after route dl-online
problem__006.smt2	ok	unknown	0.11	13	none	lia-simplex	fd:bounded-completeness-unsat							Incomplete	QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or itera	boundary: i128 overflow in the exact-rational simplex
problem_2__034.smt2	ok	unknown	24.14	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
problem_2__026.smt2	ok	unknown	24.32	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
ex13800_2600_100.smt2	ok	unknown	24.13	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex20400_2600_100.smt2	ok	unknown	24.13	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex27000_2600_100.smt2	ok	unknown	24.23	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex8500_2600_100.smt2	ok	unknown	24.32	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex5640_2400_100.smt2	ok	unknown	24.12	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 53 rounds this solve (solve_calls=1, total_rounds=53, atoms=2850, bound_lemmas=282, blocking_lemmas=53, core_len_last=2099, core_len_min=4, core_len_max=2099, core_len_avg=55.8, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=52, core_src_minimized=0, core_src_large=1, core_large_literals=2099, support_attempts=53, support_unavailable=0, support_conflict_batches=53, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
convert-jpg2gif-query-1423.smt2	ok	unknown	24.12	16	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
convert-jpg2gif-query-1501.smt2	ok	unknown	8.61	16	none	lia-dpll	fd:bounded-completeness-unsat							Incomplete	linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-a	boundary: i128 overflow in the exact-rational simplex
convert-jpg2gif-query-1586.smt2	ok	unknown	9.01	16	none	lia-dpll	fd:bounded-completeness-unsat							Incomplete	linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-a	boundary: i128 overflow in the exact-rational simplex
cut_lemma_03_009.smt2	ok	unknown	24.13	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
FISCHER10-13-fair.smt2	ok	unknown	25.03	5	none	dl-online	lia-simplex	24709	lia-simplex	dpll-lia:justified-support	2	dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	dl-online:check:1,dpll-lia:abstract:2,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:2,dpll-lia:justified-support:3,dpll-lia:new:2,dpll-lia:prop-assert:2,dpll-lia:prop-solve:3,dpll-lia:solve:1,dpll-lia:theory-conflicts:2,dpll-lia:unspecified-scan:2,lia:simplex-capped:3,simplex:run:307869	Watchdog	watchdog fired before the worker thread returned	watchdog-in-phase:dpll-lia:justified-support	watchdog: inside instrumented phase dpll-lia:justified-support
prp-17-34.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24967	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-20-49.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24844	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-26-37.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24956	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-30-44.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24882	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-4-38.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24944	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-44-39.smt2	ok	unknown	16.92	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=28232, cnf_vars=61704, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=28232, 	admission: lia-dpll pre-SAT skeleton boundary
prp-57-48.smt2	ok	unknown	25.02	2	none	fd:parse	probe	24864	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-2-200.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24910	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-9-46.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24874	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-2-47.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24928	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-31-50.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24864	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-44-46.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24940	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-56-47.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24930	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-70-49.smt2	ok	unknown	17.22	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=41210, cnf_vars=86407, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=41210, 	admission: lia-dpll pre-SAT skeleton boundary
prp-15-46.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24836	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-16-46.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24866	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-5-47.smt2	ok	unknown	25.05	2	none	fd:parse	probe	24922	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-35-43.smt2	ok	unknown	25.05	2	none	fd:parse	probe	24932	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-52-50.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24903	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-0-48.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24945	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-0-19.smt2	ok	unknown	24.13	16	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy linear arithmetic SAT skeleton declined after round 317 (solve_calls=1, total_rounds=318, atoms=2979, bound_lemmas=3305, blocking_lemmas=2600, core_len_last=2, core_len_min=2, core_len_max=83, core_len_avg=3.5, core_src_bound=2452, core_src_diff=0, core_src_affine=0, core_src_lp=148, core_src_minimized=0, core_src_large=0, core_large_literals=0, support_attempts=317, support_unavailable=0, support_conflict_batches=317, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0): native CDCL core timeout	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	OTHER: [Timeout] lazy linear arithmetic SAT skeleton declined after round 317
prp-18-31.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24965	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-3-29.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24974	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-8-22.smt2	ok	unknown	25.03	2	none	fd:parse	probe	24995	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-15-38.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24986	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
prp-36-31.smt2	ok	unknown	16.55	15	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=8400, cnf_vars=24123, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=8400, c	admission: lia-dpll pre-SAT skeleton boundary
prp-0-47.smt2	ok	unknown	25.04	2	none	fd:parse	probe	24996	probe	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:probe	watchdog: un-instrumented phase after route probe
ring_2exp8_4vars_1ite_unsat.smt2	ok	unknown	24.13	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 1 rounds this solve (solve_calls=1, total_rounds=1, atoms=102, bound_lemmas=76, blocking_lemmas=1, core_len_last=80, core_len_min=80, core_len_max=80, core_len_avg=80.0, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=0, core_src_minimized=1, core_src_large=0, core_large_literals=0, support_attempts=1, support_unavailable=0, support_conflict_batches=1, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=11, min_oracle_budget_left=32757, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
