file	outcome	verdict	secs	attempts	decided_by	bound_by	last	open_ms	open_after	phase_in	phase_depth	phase_deepest	phase_enters	giveup_kind	giveup_detail	class	bucket
v25_problem_2__027.smt2.slack.smt2	ok	unknown	24.44	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
v30_problem_2__023.smt2.slack.smt2	ok	unknown	24.64	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
cut_lemma_02_016.smt2.slack.smt2	ok	unknown	24.04	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
182-incremental_scheduling-17280-0.smt2	ok	unknown	24.15	14	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 436 rounds this solve (solve_calls=1, total_rounds=436, atoms=1045, bound_lemmas=0, blocking_lemmas=436, core_len_last=63, core_len_min=2, core_len_max=64, core_len_avg=15.7, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=436, core_src_minimized=0, core_src_large=0, core_large_literals=0, support_attempts=436, support_unavailable=0, support_conflict_batches=436, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
apache-get-tag-O0.smt2	ok	unknown	25.05							none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-in-parse	watchdog: INGEST (parse is outside --timeout-ms)
jm2006_variant-O0.smt2	ok	unknown	25.04							none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-in-parse	watchdog: INGEST (parse is outside --timeout-ms)
RC-07.smt2	ok	unknown	25.36	4	none	dl-online	lia-simplex	10472	lia-simplex	none	0	dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	dl-online:check:1,dpll-lia:abstract:537709,dpll-lia:assert-all:1,dpll-lia:initial-lemmas:1,dpll-lia:new:1,dpll-lia:prop-assert:537709,dpll-lia:unspecified-scan:1,lia:simplex-capped:1	Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:lia-simplex(deepest:dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract)	watchdog: un-instrumented phase after route lia-simplex
RC-09.smt2	ok	unknown	25.04	3	none	fd:parse	cas-int-units	24857	cas-int-units	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:cas-int-units	watchdog: un-instrumented phase after route cas-int-units
RC-11.smt2	ok	unknown	25.05	3	none	cas-int-units	cas-int-units	19624	cas-int-units	none	0			Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:cas-int-units	watchdog: un-instrumented phase after route cas-int-units
RC-15.smt2	ok	unknown	25.25	4	none	dl-online	dl-online	19124	dl-online	none	0	dl-online:check	dl-online:check:1	Watchdog	watchdog fired before the worker thread returned	watchdog-no-frame-after:dl-online(deepest:dl-online:check)	watchdog: un-instrumented phase after route dl-online
problem__006.smt2	ok	unknown	0.12	13	none	dl-online	fd:bounded-completeness-unsat							Incomplete	QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or itera	boundary: i128 overflow in the exact-rational simplex
problem_2__034.smt2	ok	unknown	24.14	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
problem_2__026.smt2	ok	unknown	24.25	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
ex13800_2600_100.smt2	ok	unknown	24.54	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex20400_2600_100.smt2	ok	unknown	24.37	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 26 rounds this solve (solve_calls=1, total_rounds=26, atoms=3992, bound_lemmas=472, blocking_lemmas=26, core_len_last=2849, core_len_min=3, core_len_max=2849, core_len_avg=136.5, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=25, core_src_minimized=0, core_src_large=1, core_large_literals=2849, support_attempts=26, support_unavailable=0, support_conflict_batches=26, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
ex27000_2600_100.smt2	ok	unknown	24.36	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex8500_2600_100.smt2	ok	unknown	24.46	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
ex5640_2400_100.smt2	ok	unknown	24.35	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lazy linear arithmetic exhausted the configured timeout after 41 rounds this solve (solve_calls=1, total_rounds=41, atoms=2850, bound_lemmas=282, blocking_lemmas=41, core_len_last=2103, core_len_min=4, core_len_max=2103, core_len_avg=67.9, core_src_bound=0, core_src_diff=0, core_src_affine=0, core_src_lp=40, core_src_minimized=0, core_src_large=1, core_large_literals=2103, support_attempts=41, support_unavailable=0, support_conflict_batches=41, support_model_attempts=0, support_replay_failures=0, full_fallbacks=0, min_oracle_calls=0, min_oracle_budget_left=32768, min_declined_cores=0)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Res	search: lazy LIA CDCL(T) rounds hit the wall clock
convert-jpg2gif-query-1423.smt2	ok	unknown	24.25	16	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
convert-jpg2gif-query-1501.smt2	ok	unknown	8.83	16	none	lia-dpll	fd:bounded-completeness-unsat							Incomplete	linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-a	boundary: i128 overflow in the exact-rational simplex
convert-jpg2gif-query-1586.smt2	ok	unknown	9.23	16	none	lia-dpll	fd:bounded-completeness-unsat							Incomplete	linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-and-bound undecided: exact-rational simplex declined (i128 overflow or iteration backstop) (node cap 20000000)	giveup:linear-arithmetic sat-model reconstruction declined in the integer theory: QF_LIA branch-a	boundary: i128 overflow in the exact-rational simplex
cut_lemma_03_009.smt2	ok	unknown	24.05	13	none	lia-simplex	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] QF_LIA branch-and-bound undecided: wall-clock deadline passed (node cap 20000000)	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Inc	search: LIA branch-and-bound hit the wall clock
FISCHER10-13-fair.smt2	ok	unknown	24.76	15	none	lia-dpll	fd:bounded-completeness-unsat							Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] linear-arithmetic sat-model reconstruction declined in the integer theory: lia simplex: wall-clock deadline passed while collecting integer constraints	giveup:preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Tim	search: LIA sat-model reconstruction hit the wall clock
prp-17-34.smt2	ok	unknown	24.67	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=19409, cnf_vars=44982, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=19409, 	admission: lia-dpll pre-SAT skeleton boundary
prp-20-49.smt2	ok	unknown	24.93	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=48918, cnf_vars=100883, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=48918, 	admission: lia-dpll pre-SAT skeleton boundary
prp-26-37.smt2	ok	unknown	21.93	16	none	lia-dpll	fd:bounded-completeness-unsat							ResourceLimit	lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=24562, cnf_vars=54751, base_trigger=>1024/>4096, moderate_envelope<=10240/<=16384, initial_clauses=8192, blocking_lemmas=0); declining before the online CDCL(T) probe (dispatch-overrun fix: admission evaluated before the reserve was spent)	giveup:lazy linear arithmetic pre-SAT skeleton exceeds the joint resource boundary (atoms=24562, 	admission: lia-dpll pre-SAT skeleton boundary
