division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	107	sat	dl-online	dl-online	dl-online	15	17	3	/home/mjbommar/route-attribution/logs/QF_RDL.1.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	108	sat	dl-online	dl-online	dl-online	35	38	3	/home/mjbommar/route-attribution/logs/QF_RDL.2.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	108	sat	dl-online	dl-online	dl-online	75	80	3	/home/mjbommar/route-attribution/logs/QF_RDL.3.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	209	sat	dl-online	dl-online	dl-online	115	121	3	/home/mjbommar/route-attribution/logs/QF_RDL.4.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	209	sat	dl-online	dl-online	dl-online	169	177	3	/home/mjbommar/route-attribution/logs/QF_RDL.5.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	309	sat	dl-online	dl-online	dl-online	221	231	3	/home/mjbommar/route-attribution/logs/QF_RDL.6.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	409	sat	dl-online	dl-online	dl-online	313	327	3	/home/mjbommar/route-attribution/logs/QF_RDL.7.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	409	sat	dl-online	dl-online	dl-online	352	364	3	/home/mjbommar/route-attribution/logs/QF_RDL.8.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	509	sat	dl-online	dl-online	dl-online	468	486	3	/home/mjbommar/route-attribution/logs/QF_RDL.9.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	609	sat	dl-online	dl-online	dl-online	530	549	3	/home/mjbommar/route-attribution/logs/QF_RDL.10.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	809	sat	dl-online	dl-online	dl-online	696	721	3	/home/mjbommar/route-attribution/logs/QF_RDL.11.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	909	sat	dl-online	dl-online	dl-online	806	830	3	/home/mjbommar/route-attribution/logs/QF_RDL.12.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	1110	sat	dl-online	dl-online	dl-online	973	1003	3	/home/mjbommar/route-attribution/logs/QF_RDL.13.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	1311	sat	dl-online	dl-online	dl-online	1222	1256	3	/home/mjbommar/route-attribution/logs/QF_RDL.14.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	1410	sat	dl-online	dl-online	dl-online	1264	1298	3	/home/mjbommar/route-attribution/logs/QF_RDL.15.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	1510	sat	dl-online	dl-online	dl-online	1434	1470	3	/home/mjbommar/route-attribution/logs/QF_RDL.16.log
QF_RDL	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	1811	sat	dl-online	dl-online	dl-online	1721	1766	3	/home/mjbommar/route-attribution/logs/QF_RDL.17.log
