division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_unexpand.get_quoting_style.il.dwp.smt2	3011	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2922	2925	4	/home/mjbommar/route-attribution/logs/QF_ABV.22.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_who.set_quoting_style.il.dwp.smt2	1410	sat	array-fast-path	array-fast-path	array-fast-path	1357	1361	5	/home/mjbommar/route-attribution/logs/QF_ABV.23.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_kill.close_stdout_set_file_name.il.fse-bfs.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	1	2	4	/home/mjbommar/route-attribution/logs/QF_ABV.24.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_shuf.close_stdout_set_file_name.il.fse-bfs.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	1	2	4	/home/mjbommar/route-attribution/logs/QF_ABV.25.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.hash_get_n_entries.il.fse-bfs.smt2	109	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	0	1	4	/home/mjbommar/route-attribution/logs/QF_ABV.26.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_csplit.set_char_quoting.il.dwp.smt2	8615	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	8498	8501	4	/home/mjbommar/route-attribution/logs/QF_ABV.27.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_join.bkm_scale.il.dwp.smt2	108	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	6	8	4	/home/mjbommar/route-attribution/logs/QF_ABV.28.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_pathchk.set_char_quoting.il.dwp.smt2	8015	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	7886	7888	4	/home/mjbommar/route-attribution/logs/QF_ABV.29.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_quoting_style.il.dwp.smt2	309	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	250	252	4	/home/mjbommar/route-attribution/logs/QF_ABV.30.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_uptime.get_quoting_style.il.dwp.smt2	309	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	227	229	4	/home/mjbommar/route-attribution/logs/QF_ABV.31.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_cut.close_stdout_set_file_name.il.disjunctions_0.smt2	2912	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	2874	2875	4	/home/mjbommar/route-attribution/logs/QF_ABV.32.log
QF_ABV	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_mknod.close_stdout_set_file_name.il.disjunctions_0.smt2	4513	sat	abv-online-cdclt	abv-online-cdclt	abv-online-cdclt	4472	4473	4	/home/mjbommar/route-attribution/logs/QF_ABV.33.log
