division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	3911	sat	nia-linearize	nia-linearize	nia-linearize	3794	3797	8	/home/mjbommar/route-attribution/logs/QF_NIA.1.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	25131	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_NIA.2.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c__p21457_edge_closing_0.smt2	25128	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	12633	16942	19	/home/mjbommar/route-attribution/logs/QF_NIA.3.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	24628	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	13805	24504	18	/home/mjbommar/route-attribution/logs/QF_NIA.4.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	25229	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/QF_NIA.5.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD.c__p23185_terminationG_0.smt2	24129	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	13159	24010	18	/home/mjbommar/route-attribution/logs/QF_NIA.6.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	24628	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	13740	24464	20	/home/mjbommar/route-attribution/logs/QF_NIA.7.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	23335	unsolved	none	nia-linearize	fd:bounded-completeness-unsat	10038	12130	20	/home/mjbommar/route-attribution/logs/QF_NIA.8.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MirrorIntervSim.c__p24484_terminationG_0.smt2	24329	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	4690	8950	18	/home/mjbommar/route-attribution/logs/QF_NIA.9.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	22426	unsolved	none	nia-linearize	fd:bounded-completeness-unsat	10965	20103	19	/home/mjbommar/route-attribution/logs/QF_NIA.10.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	23333	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	9023	10707	19	/home/mjbommar/route-attribution/logs/QF_NIA.11.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	24729	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	13929	24646	18	/home/mjbommar/route-attribution/logs/QF_NIA.12.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	23428	unsolved	none	int-blast-ladder	fd:bounded-completeness-unsat	11820	22516	18	/home/mjbommar/route-attribution/logs/QF_NIA.13.log
QF_NIA	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Hanoi_3vars_false-termination.c__terminationQ_13_0.smt2	5213	unsat	nia-linearize	nia-linearize	nia-linearize	5121	5130	8	/home/mjbommar/route-attribution/logs/QF_NIA.14.log
