division	file	wall_ms	verdict	decided_by	bound_by	last	bound_ms	trace_total_ms	attempts	log_path
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	25431	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/UF.1.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	9220	unsat	euf-online	ufbv-declared-sort-lazy	euf-online	463	1830	828	/home/mjbommar/route-attribution/logs/UF.2.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_01_14_404_1150262.smt_in.smt2	5313	unsat	euf-online	fd:parse	euf-online	20	89	793	/home/mjbommar/route-attribution/logs/UF.3.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_11_421_1041162.smt_in.smt2	3711	unsat	euf-online	fd:parse	euf-online	18	123	874	/home/mjbommar/route-attribution/logs/UF.4.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	17624	unsolved	ufbv-declared-sort-lazy	euf-online	fd:bounded-completeness-unsat	5189	13109	956	/home/mjbommar/route-attribution/logs/UF.5.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_06_177_1165813.smt_in.smt2	9516	unsolved	ufbv-declared-sort-lazy	fd:string-gate	fd:bounded-completeness-unsat	2364	5329	1024	/home/mjbommar/route-attribution/logs/UF.6.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_38_347_1246149.smt_in.smt2	5212	unsat	euf-online	dl-online	euf-online	173	625	922	/home/mjbommar/route-attribution/logs/UF.7.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_54_53_962_1372467.smt_in.smt2	16121	unsolved	euf-online	fd:string-gate	fd:bounded-completeness-unsat	2275	10644	1020	/home/mjbommar/route-attribution/logs/UF.8.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	1210	unsat	euf-online	fd:parse	euf-online	19	242	805	/home/mjbommar/route-attribution/logs/UF.9.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_49_581_1468798.smt_in.smt2	910	unsat	euf-online	ufbv-declared-sort-lazy	euf-online	31	268	791	/home/mjbommar/route-attribution/logs/UF.10.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_57_47_544_1522663.smt_in.smt2	25330	unsolved	NA	NA	NA	NA	NA	NA	/home/mjbommar/route-attribution/logs/UF.11.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_58_55_174_1583194.smt_in.smt2	8615	unsolved	ufbv-declared-sort-lazy	euf-online	fd:bounded-completeness-unsat	4269	6045	782	/home/mjbommar/route-attribution/logs/UF.12.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_59_50_619_1635445.smt_in.smt2	12419	unsat	euf-online	fd:parse	euf-online	7	49	595	/home/mjbommar/route-attribution/logs/UF.13.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2	12120	unsolved	ufbv-declared-sort-lazy	euf-online	fd:bounded-completeness-unsat	2703	8454	1008	/home/mjbommar/route-attribution/logs/UF.14.log
UF	/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_01_24_430_1743988.smt_in.smt2	6416	unsat	euf-online	fd:parse	euf-online	19	131	861	/home/mjbommar/route-attribution/logs/UF.15.log
