CLOCK-OK qfnra.0 sleep200=205ms armA=single-cell armB=algebraic-witness
[qfnra.0 49] A=sat B=sat QF_NRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0160.smt2
[qfnra.0 50] A=unsat B=unsat QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0485.smt2
[qfnra.0 51] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2
[qfnra.0 52] A=unknown B=unknown QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0051a.smt2
[qfnra.0 53] A=unknown B=unknown QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2
[qfnra.0 54] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2
[qfnra.0 55] A=unknown B=unknown QF_NRA/LassoRanker/Ultimate/FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate.smt2
[qfnra.0 56] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.03.seq_lazy_linear_enc_lemmas_global_11.smt2
[qfnra.0 57] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_global_11.smt2
[qfnra.0 58] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.02.seq_lazy_linear_enc_lemmas_global_11.smt2
[qfnra.0 59] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_11.smt2
[qfnra.0 60] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.10.seq_lazy_linear_enc_lemmas_global_11.smt2
[qfnra.0 61] A=unsat B=unsat QF_NRA/hycomp/etcs_braking_2.01.seq_lazy_linear_enc_lemmas_global_11.smt2
[qfnra.0 62] A=unsat B=unsat QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0065.smt2
[qfnra.0 63] A=sat B=sat QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0036.smt2
[qfnra.0 64] A=sat B=sat QF_NRA/meti-tarski/Lyapunov/Lyapunov1a-chunk-0004.smt2
[qfnra.0 65] A=unsat B=unsat QF_NRA/meti-tarski/atan/problem/2/sqrt/weak/atan-problem-2-sqrt-weak-chunk-0024.smt2
[qfnra.0 66] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0121.smt2
[qfnra.0 67] A=unsat B=unsat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0605.smt2
[qfnra.0 68] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0588.smt2
[qfnra.0 69] A=sat B=sat QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0205.smt2
[qfnra.0 70] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0142.smt2
[qfnra.0 71] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0490.smt2
[qfnra.0 72] A=unknown B=unknown QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0353.smt2
[qfnra.0 73] A=unsat B=unsat QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0278.smt2
[qfnra.0 74] A=unsat B=unsat QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0014.smt2
[qfnra.0 75] A=sat B=sat QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0562.smt2
[qfnra.0 76] A=unknown B=unknown QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2
[qfnra.0 77] A=unknown B=unknown QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2
[qfnra.0 78] A=unknown B=unknown QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2
[qfnra.0 79] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate.smt2
[qfnra.0 80] A=unknown B=unknown QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2
[qfnra.0 81] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.04.seq_lazy_global_9.smt2
[qfnra.0 82] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.03.seq_lazy_linear_enc_lemmas_global_9.smt2
[qfnra.0 83] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.03.seq_lazy_global_9.smt2
