CLOCK-OK qfnra.1 sleep200=203ms armA=single-cell armB=algebraic-witness
[qfnra.1 1] A=unknown B=unknown QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2
[qfnra.1 2] A=unknown B=unknown QF_NRA/20200911-Pine/1599122164633784000.smt2
[qfnra.1 3] A=unknown B=unknown QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2
[qfnra.1 4] A=unknown B=unknown QF_NRA/LassoRanker/SV-COMP/min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2
[qfnra.1 5] A=unsat B=unsat QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_lemmas_global_5.smt2
[qfnra.1 6] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill.01.seq_lazy_linear_enc_global_5.smt2
[qfnra.1 7] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_5.smt2
[qfnra.1 8] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_hill_simple.10.seq_lazy_lemmas_global_5.smt2
[qfnra.1 9] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_plain.05.seq_lazy_lemmas_global_5.smt2
[qfnra.1 10] A=unsat B=unsat QF_NRA/hycomp/ball_count_2d_slope.10.seq_lazy_lemmas_global_5.smt2
[qfnra.1 11] A=unknown B=unknown QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0295.smt2
[qfnra.1 12] A=sat B=sat QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0037.smt2
[qfnra.1 13] A=unsat B=unsat QF_NRA/meti-tarski/Chua/2/VC2/L/Chua-2-VC2-L-chunk-0039.smt2
[qfnra.1 14] A=unknown B=sat QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2
[qfnra.1 15] A=sat B=sat QF_NRA/meti-tarski/atan/problem/2/weakT/atan-problem-2-weakT-chunk-0032.smt2
[qfnra.1 16] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0485.smt2
[qfnra.1 17] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0459.smt2
[qfnra.1 18] A=unsat B=unsat QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0081.smt2
[qfnra.1 19] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0016.smt2
