CLOCK-OK heldout.1 sleep200=203ms armA=single-cell armB=algebraic-witness
[heldout.1 45] A=unsat B=unsat QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0249.smt2
[heldout.1 46] A=sat B=sat QF_NRA/meti-tarski/CONVOI2/CONVOI2-chunk-0051.smt2
[heldout.1 47] A=unsat B=unsat QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0077.smt2
[heldout.1 48] A=unknown B=unknown QF_NRA/meti-tarski/Chua/1/VC1/U/Chua-1-VC1-U-chunk-0079.smt2
[heldout.1 49] A=unsat B=unsat QF_NRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0064.smt2
[heldout.1 50] A=unsat B=unsat QF_NRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0127.smt2
[heldout.1 51] A=sat B=sat QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0073.smt2
[heldout.1 52] A=sat B=sat QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0072.smt2
[heldout.1 53] A=sat B=sat QF_NRA/meti-tarski/Chua/2/VC1/U/Chua-2-VC1-U-chunk-0051.smt2
[heldout.1 54] A=unknown B=unknown QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0175.smt2
[heldout.1 55] A=sat B=sat QF_NRA/meti-tarski/asin/8/vars4/asin-8-vars4-chunk-0012.smt2
[heldout.1 56] A=unsat B=unsat QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0074.smt2
[heldout.1 57] A=unsat B=unsat QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0045.smt2
[heldout.1 58] A=sat B=sat QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0229.smt2
[heldout.1 59] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0008.smt2
[heldout.1 60] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0371.smt2
[heldout.1 61] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0445.smt2
[heldout.1 62] A=unsat B=unsat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0519.smt2
[heldout.1 63] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0591.smt2
[heldout.1 64] A=unknown B=unknown QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0233.smt2
[heldout.1 65] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0370.smt2
[heldout.1 66] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0433.smt2
[heldout.1 67] A=sat B=sat QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0543.smt2
[heldout.1 68] A=sat B=sat QF_NRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0023.smt2
[heldout.1 69] A=unknown B=unknown QF_NRA/meti-tarski/cos/3410/cos-3410-b-chunk-0027.smt2
[heldout.1 70] A=sat B=sat QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0125.smt2
[heldout.1 71] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0240.smt2
[heldout.1 72] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0303.smt2
[heldout.1 73] A=sat B=sat QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0065.smt2
[heldout.1 74] A=unsat B=unsat QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0127.smt2
[heldout.1 75] A=unknown B=unknown QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0097.smt2
[heldout.1 76] A=unsat B=unsat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0094.smt2
[heldout.1 77] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0321.smt2
[heldout.1 78] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0344.smt2
[heldout.1 79] A=sat B=sat QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0467.smt2
[heldout.1 80] A=sat B=sat QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0031.smt2
[heldout.1 81] A=unknown B=unknown QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0121.smt2
[heldout.1 82] A=unknown B=unknown QF_NRA/meti-tarski/sin/344/3/sin-344-3-weak-chunk-0025.smt2
[heldout.1 83] A=unsat B=unsat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0028.smt2
[heldout.1 84] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0084.smt2
[heldout.1 85] A=unsat B=unsat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0237.smt2
[heldout.1 86] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0264.smt2
[heldout.1 87] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0290.smt2
[heldout.1 88] A=sat B=sat QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0401.smt2
