file	rc	ms	verdict	decided_by	bound_by	total_ms	attempts	online_probe	lra_entries	lra_rounds	atoms	cube_decisions	cube_flips	cube_identical	cube_collect_ms	cube_fm_ms	cube_simplex_ms	cube_simplex_calls	cube_matrices	cold_builds	cold_build_ms	cold_ms	cold_pivots	capture
QF_LRA/sc/sc-37.base.cvc.smt2	0	24128	unknown	none	nra	24014	15	admission-screen	1	952	2564	951	1702	0	1126	0	5508	951	0	951	225	5241	402383	./captures-01/QF_LRA_sc_sc-37.base.cvc.smt2.out
QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	0	106	sat	dl-online	dl-online	15	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_DTP-Scheduling_constraints-tempo-width-9.smt2.out
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0142.smt2	0	106	sat	dl-online	dl-online	0	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_Chua_1_IL_L_Chua-1-IL-L-chunk-0142.smt2.out
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0009.smt2	0	106	sat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_sin_problem_8_weak_sin-problem-8-weak-chunk-0009.smt2.out
QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	0	24329	unknown	none	nra	24185	15	admission-screen	1	58	28245	57	1401	0	3722	0	1034	57	0	57	267	495	1251	./captures-01/QF_LRA_LassoRanker_SV-COMP_Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2.out
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	0	106	sat	dl-online	dl-online	5	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_DTP-Scheduling_constraints-cooking22.smt2.out
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0023.smt2	0	106	unsat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_sin_problem_8_weak_sin-problem-8-weak-chunk-0023.smt2.out
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0028.smt2	0	106	sat	qf-bv	dl-online	0	4	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_Chua_1_VC1_L_Chua-1-VC1-L-chunk-0028.smt2.out
QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	0	24727	unknown	none	nra	24593	15	admission-screen	1	24	38300	23	32	0	4416	0	683	23	0	23	189	336	213	./captures-01/QF_LRA_LassoRanker_CooperatingT2_ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2.out
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0050.smt2	0	106	sat	nra	dl-online	0	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_polypaver_bench-exp-3d_polypaver-bench-exp-3d-chunk-0050.smt2.out
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0065.smt2	0	105	sat	nra	nra	5	6	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_sin_problem_7_weak_sin-problem-7-weak-chunk-0065.smt2.out
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	0	24127	unknown	none	dl-online	24095	15	admission-screen	1	34	4314	33	33	0	67	0	176	33	0	33	11	158	6135	./captures-01/QF_LRA_2019-ezsmt_travellingSalesperson_rand_80_340_1159656267_0.lp.smt2.out
QF_LRA/clock_synchro/clocksynchro_2clocks.main_invar.base.smt2	0	2609	unsat	nra	nra	2577	5	model-did-not-replay	1	128	209	127	250	0	23	1750	45	127	127	127	5	40	3140	./captures-01/QF_LRA_clock_synchro_clocksynchro_2clocks.main_invar.base.smt2.out
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	0	25122	unknown																					./captures-01/QF_LRA_LassoRanker_CooperatingT2_sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	0	24127	unknown	none	nra	24079	15	admission-screen	1	133	12594	132	133	0	8793	0	1315	132	0	132	296	716	4896	./captures-01/QF_LRA_LassoRanker_CooperatingT2_collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2.out
QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	0	24128	unknown	none	nra	24038	15	admission-screen	1	145	12120	144	144	0	8493	0	1671	144	0	144	328	1057	3204	./captures-01/QF_LRA_LassoRanker_Ultimate_Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2.out
QF_LRA/sc/sc-17.base.cvc.smt2	0	24127	unknown	none	nra	24045	15	model-did-not-replay	1	1122	1184	1121	3031	0	596	0	4311	1121	0	1121	139	4134	344372	./captures-01/QF_LRA_sc_sc-17.base.cvc.smt2.out
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	0	25130	unknown																					./captures-01/QF_LRA_LassoRanker_Ultimate_simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2.out
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0069.smt2	0	106	sat	nra	nra	4	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_sqrt_1mcosq_7_sqrt-1mcosq-7-chunk-0069.smt2.out
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0059.smt2	0	105	sat	nra	nra	3	6	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-01/QF_LRA_meti-tarski_sqrt_1mcosq_7_sqrt-1mcosq-7-chunk-0059.smt2.out
