file	A1	A2	A3	B1	B2	B3	verdict
QF_LRA/latendresse/ecoliMILPglycerolYices3-50000.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
QF_LRA/sc/sc-14.induction.cvc.smt2	unknown/0	unknown/0	unknown/0	sat/0	sat/0	sat/0	STABLE-GAIN
QF_LRA/uart/uart-8.induction.cvc.smt2	sat/0	sat/0	sat/0	unknown/0	unknown/0	unknown/0	STABLE-LOSS
