file	rc	ms	verdict	decided_by	bound_by	total_ms	attempts	online_probe	lra_entries	lra_rounds	atoms	cube_decisions	cube_flips	cube_identical	cube_collect_ms	cube_fm_ms	cube_simplex_ms	cube_simplex_calls	cube_matrices	cold_builds	cold_build_ms	cold_ms	cold_pivots	capture
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0048.smt2	0	106	unsat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_cbrt_3_cbrt-problem-3-chunk-0048.smt2.out
QF_LRA/keymaera/intersection-example-simple.proof-node634.smt2	0	107	unsat	dl-online	dl-online	0	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_keymaera_intersection-example-simple.proof-node634.smt2.out
QF_LRA/sc/sc-25.base.cvc.smt2	0	24028	unknown	none	nra	24012	15	model-did-not-replay	1	1050	1736	1049	2709	0	813	0	2629	1049	0	1049	171	2441	273922	./captures-00/QF_LRA_sc_sc-25.base.cvc.smt2.out
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0008.smt2	0	106	sat	dl-online	dl-online	0	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_Chua_1_VC2_L_Chua-1-VC2-L-chunk-0008.smt2.out
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0037.smt2	0	106	sat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_sin_problem_7_sin-problem-7-chunk-0037.smt2.out
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0019.smt2	0	106	unsat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_polypaver_bench-exp-3d_polypaver-bench-exp-3d-chunk-0019.smt2.out
QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	0	25129	unknown																					./captures-00/QF_LRA_LassoRanker_CooperatingT2_toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2.out
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0014.smt2	0	106	sat	nra	nra	1	5	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_atan_problem_2_weak2_atan-problem-2-weak2-chunk-0014.smt2.out
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	0	25130	unknown																					./captures-00/QF_LRA_2019-ezsmt_Labyrinth_SCC_Strong_0132-labyrinth-12-0.smt2.out
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0037.smt2	0	106	sat	nra	nra	4	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_sin_problem_7_weak2_sin-problem-7-weak2-chunk-0037.smt2.out
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	0	24628	unknown	none	nra	24485	15	admission-screen	1	52	25080	51	51	0	6058	0	913	51	0	51	297	450	950	./captures-00/QF_LRA_LassoRanker_Ultimate_yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2.out
QF_LRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0011.smt2	0	106	sat	nra	nra	3	5	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_sin_problem_8_sin-problem-8-chunk-0011.smt2.out
QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	0	25128	unknown																					./captures-00/QF_LRA_LassoRanker_SV-COMP_CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2.out
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	0	24027	unknown	none	nra	24012	15	model-did-not-replay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_2017-Heizmann-UltimateInvariantSynthesis__half_2.i_3_6_2.bpl_7.smt2.out
QF_LRA/sal/tgc/tgc_io-safe-13.smt2	0	5111	unknown	nra	nra	5045	18	took	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_sal_tgc_tgc_io-safe-13.smt2.out
QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	0	24230	unknown	none	nra	24134	15	admission-screen	1	136	11398	135	135	0	8808	0	1574	135	0	135	340	896	4484	./captures-00/QF_LRA_LassoRanker_CooperatingT2_matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2.out
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0013.smt2	0	107	sat	dl-online	dl-online	0	3	not-probed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	./captures-00/QF_LRA_meti-tarski_Chua_1_IL_L_Chua-1-IL-L-chunk-0013.smt2.out
