mode	case	expected	verdict	class	detail
parse-only	tutorial/092_projProp4	reject	accept	ok	-
parse-only	tutorial/093_projProp5	reject	accept	ok	-
parse-only	tutorial/094_projProp6	reject	accept	ok	-
parse-only	tutorial/095_projDataIndexRec	accept	accept	ok	-
parse-only	tutorial/096_projIndexData	reject	accept	ok	-
parse-only	tutorial/097_projIndexData2	reject	accept	ok	-
parse-only	tutorial/098_projRed	accept	accept	ok	-
parse-only	tutorial/099_ruleK	accept	accept	ok	-
parse-only	tutorial/100_ruleKbad	reject	accept	ok	-
parse-only	tutorial/101_ruleKAcc	reject	accept	ok	-
parse-only	tutorial/102_aNatLit	accept	accept	ok	-
parse-only	tutorial/103_natLitEq	accept	accept	ok	-
parse-only	tutorial/104_proofIrrelevance	accept	accept	ok	-
parse-only	tutorial/105_proofIrrelevanceBad	reject	accept	ok	-
parse-only	tutorial/106_proofIrrelevanceWhnf	accept	accept	ok	-
parse-only	tutorial/107_unitEta1	accept	accept	ok	-
parse-only	tutorial/108_unitEta2	accept	accept	ok	-
parse-only	tutorial/109_unitEta3	accept	accept	ok	-
parse-only	tutorial/110_indexedUnitEta	reject	accept	ok	-
parse-only	tutorial/111_structEta	accept	accept	ok	-
parse-only	tutorial/112_indexedStructEta	reject	accept	ok	-
parse-only	tutorial/113_funEta	accept	accept	ok	-
parse-only	tutorial/114_funEtaDep	accept	accept	ok	-
parse-only	tutorial/115_funEtaBad	reject	accept	ok	-
parse-only	tutorial/116_etaRuleK	reject	accept	ok	-
parse-only	tutorial/117_etaCtor	reject	accept	ok	-
parse-only	tutorial/118_reflOccLeft	reject	accept	ok	-
parse-only	tutorial/119_reflOccInIndex	reject	accept	ok	-
parse-only	tutorial/120_reduceCtorParamRefl.mk	accept	accept	ok	-
parse-only	tutorial/121_reduceCtorParamRefl2.mk	accept	accept	ok	-
parse-only	tutorial/122_rTreeRec	accept	accept	ok	-
parse-only	tutorial/123_rtreeRecReduction	accept	accept	ok	-
parse-only	tutorial/124_accRecType	accept	accept	ok	-
parse-only	tutorial/125_accRecReduction	accept	accept	ok	-
parse-only	tutorial/126_accRecNoEta	reject	accept	ok	-
parse-only	tutorial/127_quotMkType	accept	accept	ok	-
parse-only	tutorial/128_quotIndType	accept	accept	ok	-
parse-only	tutorial/129_quotLiftType	accept	accept	ok	-
parse-only	tutorial/130_quotSoundType	accept	accept	ok	-
parse-only	tutorial/131_quotLiftReduction	accept	accept	ok	-
parse-only	tutorial/132_quotIndReduction	accept	accept	ok	-
parse-only	tutorial/133_dup_defs	reject	accept	ok	-
parse-only	tutorial/134_dup_ind_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
parse-only	tutorial/135_dup_ctor_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
parse-only	tutorial/136_dup_rec_def	reject	reject	malformed	line_10:_in:_expected_dense_name_index_4,_got_8
parse-only	tutorial/137_misnamed_rec_user	reject	reject	malformed	line_9:_in:_expected_dense_name_index_5,_got_9
parse-only	tutorial/138_dup_rec_def2	reject	reject	malformed	line_11:_in:_expected_dense_name_index_5,_got_9
parse-only	tutorial/139_dup_ctor_rec	reject	reject	malformed	line_7:_in:_expected_dense_name_index_3,_got_6
parse-only	tutorial/140_DupConCon	reject	reject	malformed	line_8:_in:_expected_dense_name_index_4,_got_7
parse-only	tutorial/141_falseFromUnsafe	reject	decline	unsupported:declaration-unsafe-or-partial	line_20:_unsupported_lean4export_construct:_declaration-unsafe-or-partial
parse-only	tutorial/142_falseFromPartial	reject	decline	unsupported:declaration-unsafe-or-partial	line_20:_unsupported_lean4export_construct:_declaration-unsafe-or-partial
