mode	case	expected	verdict	class	detail
full	core/sparse-name-index	accept	reject	malformed	line_1:_meta.exporter.name_is_not_lean4export
full	perf/app-lam	accept	timeout	timeout	no_verdict_in_30s
full	perf/args-before-unfold	accept	accept	ok	-
full	perf/beta-ladder	accept	accept	ok	-
full	perf/church-numerals	accept	accept	ok	-
full	perf/discarded-argument	accept	accept	ok	-
full	perf/discarded-argument-match	accept	accept	ok	-
full	perf/folded-constant-first	accept	accept	ok	-
full	perf/folded-constant-last	accept	accept	ok	-
full	perf/grind-ring-5	accept	accept	ok	-
full	perf/identical-nesting	accept	accept	ok	-
full	perf/irrelevance-before-evaluation	accept	accept	ok	-
full	perf/let-ladder	accept	accept	ok	-
full	perf/refute-cheap-first	reject	reject	kernel:DeclarationValueMismatch	line_439:_kernel_rejected_kernel_refute_cheap_first:_DeclarationValueMismatch_{_declared:_ExprId(882),_inferred:_ExprId(901)_}
full	perf/refute-cheap-last	reject	reject	kernel:DeclarationValueMismatch	line_439:_kernel_rejected_kernel_refute_cheap_last:_DeclarationValueMismatch_{_declared:_ExprId(882),_inferred:_ExprId(901)_}
full	perf/repeated-subproblem	accept	accept	ok	-
full	perf/shared-subterm	accept	accept	ok	-
full	perf/shift-cascade	accept	accept	ok	-
full	perf/unroll-versus-evaluate	accept	accept	ok	-
full	tutorial/001_basicDef	accept	accept	ok	-
full	tutorial/002_badDef	reject	reject	kernel:DeclarationValueMismatch	line_6:_kernel_rejected_badDef:_DeclarationValueMismatch_{_declared:_ExprId(0),_inferred:_ExprId(2)_}
full	tutorial/003_arrowType	accept	accept	ok	-
full	tutorial/004_dependentType	accept	accept	ok	-
full	tutorial/005_constType	accept	accept	ok	-
full	tutorial/006_betaReduction	accept	accept	ok	-
full	tutorial/007_betaReduction2	accept	accept	ok	-
full	tutorial/008_forallSortWhnf	accept	accept	ok	-
full	tutorial/009_forallSortBad	reject	reject	kernel:NotASort	line_26:_kernel_rejected_forallSortBad:_NotASort_{_got:_ExprId(8)_}
full	tutorial/010_nonTypeType	reject	reject	kernel:DeclarationTypeNotASort	line_21:_kernel_rejected_nonTypeType:_DeclarationTypeNotASort_{_got:_ExprId(2)_}
full	tutorial/011_nonTypeAxiom	reject	reject	kernel:DeclarationTypeNotASort	line_20:_kernel_rejected_nonTypeAxiom:_DeclarationTypeNotASort_{_got:_ExprId(2)_}
full	tutorial/012_nonPropThm	reject	accept	ok	-
full	tutorial/013_thmProof	accept	accept	ok	-
full	tutorial/014_selfProof	reject	reject	kernel:UnknownConst	line_8:_kernel_rejected_selfProof:_UnknownConst_{_name:_NameId(1)_}
full	tutorial/015_levelComp1	accept	accept	ok	-
full	tutorial/016_levelComp2	accept	accept	ok	-
full	tutorial/017_levelComp3	accept	accept	ok	-
full	tutorial/018_levelParams	accept	accept	ok	-
full	tutorial/019_tut06_bad01	reject	accept	ok	-
full	tutorial/020_levelComp4	accept	accept	ok	-
full	tutorial/021_levelComp5	accept	accept	ok	-
full	tutorial/022_imax1	accept	accept	ok	-
full	tutorial/023_imax2	accept	accept	ok	-
full	tutorial/024_levelMaxComm	accept	accept	ok	-
full	tutorial/025_levelMaxAssoc	accept	accept	ok	-
full	tutorial/026_levelMaxIdem	accept	accept	ok	-
full	tutorial/027_levelMaxAbsorb	accept	accept	ok	-
full	tutorial/028_inferVar	accept	accept	ok	-
full	tutorial/029_defEqLambda	accept	accept	ok	-
full	tutorial/030_peano1	accept	accept	ok	-
full	tutorial/031_peano2	accept	accept	ok	-
full	tutorial/032_peano3	accept	accept	ok	-
full	tutorial/033_letType	accept	accept	ok	-
full	tutorial/034_letTypeDep	accept	accept	ok	-
full	tutorial/035_letRed	accept	accept	ok	-
full	tutorial/036_empty	accept	accept	ok	-
full	tutorial/037_boolType	accept	accept	ok	-
full	tutorial/038_twoBool	accept	accept	ok	-
full	tutorial/039_andType	accept	accept	ok	-
full	tutorial/040_prodType	accept	accept	ok	-
full	tutorial/041_pprodType	accept	accept	ok	-
full	tutorial/042_pUnitType	accept	accept	ok	-
full	tutorial/043_eqType	accept	accept	ok	-
full	tutorial/044_natDef	accept	accept	ok	-
full	tutorial/045_rbTreeDef	accept	accept	ok	-
full	tutorial/046_inductBadNonSort	reject	reject	kernel:InductiveTypeNotASort	line_20:_kernel_rejected_inductBadNonSort:_InductiveTypeNotASort_{_got:_ExprId(2)_}
full	tutorial/047_inductBadNonSort2	reject	reject	kernel:InductiveTypeNotASort	line_8:_kernel_rejected_inductBadNonSort2:_InductiveTypeNotASort_{_got:_ExprId(2)_}
full	tutorial/048_inductLevelParam	reject	reject	malformed	line_7:_single-family_inductive_must_export_one_recursor
full	tutorial/049_inductTooFewParams	reject	reject	kernel:InductiveTypeNotASort	line_6:_kernel_rejected_inductTooFewParams:_InductiveTypeNotASort_{_got:_ExprId(0)_}
full	tutorial/050_inductWrongCtorParams	reject	reject	kernel:MalformedConstructorType	line_16:_kernel_rejected_inductWrongCtorParams:_MalformedConstructorType_{_ctor:_NameId(4)_}
full	tutorial/051_inductWrongCtorResParams	reject	reject	kernel:ConstructorResultMismatch	line_19:_kernel_rejected_inductWrongCtorResParams:_ConstructorResultMismatch_{_expected:_NameId(1),_ctor:_NameId(4)_}
full	tutorial/052_inductWrongCtorResLevel	reject	reject	kernel:ConstructorResultMismatch	line_23:_kernel_rejected_inductWrongCtorResLevel:_ConstructorResultMismatch_{_expected:_NameId(1),_ctor:_NameId(6)_}
full	tutorial/053_inductInIndex	reject	reject	malformed	line_14:_exported_recursor_K-like_flag_differs_from_the_kernel-derived_one
full	tutorial/054_indNeg	reject	reject	kernel:NonPositiveInductiveOccurrence	line_12:_kernel_rejected_indNeg:_NonPositiveInductiveOccurrence_{_inductive:_NameId(1),_ctor:_NameId(2),_field_index:_0_}
full	tutorial/055_reduceCtorParam.mk	accept	accept	ok	-
full	tutorial/056_reduceCtorType.mk	reject	reject	malformed	line_26:_generated/exported_recursor_universe-parameter_arity_differs
