file	rep	arm	verdict	rc	wall_ms	giveup	lever_refused
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	1	bothmid	unknown	0	25032	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	1	base	unsat	0	410	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	2	n65536	sat	0	4312	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	2	bothmid	unknown	0	24129	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy-extensionality scalar backend declined (round=38, sites=1446, array_eq_atoms=10, row_lemmas=283, cong_lemmas=31, diff_skolems=3, working_assertions=400, last_candidate_replay=false(assertion_ordinal=0, term=2128, failed_conjunct_ordinal=0, failed_conjunct_term=2128, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0), failed_eq_lhs_term=3, failed_eq_rhs_term=2127, failed_eq_lhs_value=#x1, failed_eq_rhs_value=#x0): native CDCL core timeout	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	2	base	sat	0	7215	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	2	a4096	unknown	0	24132	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] array shape left undecided by the lazy ROW/extensionality path and refused by bounded array elimination: unsupported by backend: array equality over a 32-bit index (bounded extensionality supports indices up to 8 bits)	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	2	n65536	sat	0	9017	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	2	bothmid	unknown	0	24131	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy-extensionality scalar backend declined (round=33, sites=2912, array_eq_atoms=12, row_lemmas=227, cong_lemmas=6, diff_skolems=0, working_assertions=308, last_candidate_replay=false(assertion_ordinal=0, term=2253, failed_conjunct_ordinal=0, failed_conjunct_term=2253, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0), failed_eq_lhs_term=13, failed_eq_rhs_term=2252, failed_eq_lhs_value=#x1, failed_eq_rhs_value=#x0): native CDCL core timeout	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	2	base	sat	0	8618	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	2	a4096	unknown	0	24132	give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] lazy-extensionality scalar backend declined (round=35, sites=2912, array_eq_atoms=12, row_lemmas=228, cong_lemmas=6, diff_skolems=0, working_assertions=310, last_candidate_replay=false(assertion_ordinal=0, term=2253, failed_conjunct_ordinal=0, failed_conjunct_term=2253, select_repair_candidates=0, select_repair_array_changes=0, select_repair_symbol_changes=0, branch_repair_candidates=0, branch_repair_symbol_changes=0, scalar_repair_candidates=0, scalar_support_candidates=0, scalar_stabilized_trials=0, scalar_rejected_worse_trials=0, scalar_equal_support_repairs=0, scalar_repair_symbol_changes=0, projection_repair_changes=0), failed_eq_lhs_term=13, failed_eq_rhs_term=2252, failed_eq_lhs_value=#x1, failed_eq_rhs_value=#x0): native CDCL core timeout	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	2	n65536	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	2	bothmid	unknown	0	25030	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	2	base	sat	0	810	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	2	a4096	sat	0	910	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	2	n65536	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	2	bothmid	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	2	base	unsat	0	508	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	2	a4096	unsat	0	509	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	3	bothmid	sat	0	22528	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	3	base	sat	0	4512	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	3	a4096	sat	0	22528	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	3	n65536	sat	0	4513	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	3	bothmid	sat	0	23328	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	3	base	sat	0	5313	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	3	a4096	sat	0	23328	none	no
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_ptx.re_string_construct_common.il.dwp.smt2	3	n65536	sat	0	5313	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	3	bothmid	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	3	base	sat	0	609	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	3	a4096	sat	0	609	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.435.smt2	3	n65536	unknown	0	25028	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	3	bothmid	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	3	base	unsat	0	511	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	3	a4096	unsat	0	409	none	no
QF_ABVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.708.smt2	3	n65536	unknown	0	25029	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	4	base	sat	0	4512	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	4	a4096	sat	0	22528	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	4	n65536	sat	0	4612	none	no
