file	base	base_ms	base_rc	both	both_ms	both_rc	first	status
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	sat	105	0	sat	104	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	sat	204	0	sat	204	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	sat	405	0	sat	404	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	sat	805	0	sat	805	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	sat	1306	0	sat	1306	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	sat	2006	0	sat	2005	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	unknown	25027	0	unknown	24925	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-matrix2x2.pddl.smt2	unknown	25127	0	unknown	25122	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-4.smt2	sat	6511	0	sat	6510	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-04.smt2	sat	104	0	sat	105	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-08.smt2	sat	304	0	sat	305	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-30.smt2	sat	3107	0	sat	3106	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-80.smt2	sat	2206	0	sat	2307	0	base	sat
QF_RDL/sal/fischer3-mutex-1.smt2	unsat	105	0	unsat	105	0	both	unsat
QF_RDL/sal/fischer3-mutex-13.smt2	unsat	905	0	unsat	905	0	base	unsat
QF_RDL/sal/fischer3-mutex-17.smt2	unsat	2307	0	unsat	2306	0	both	unsat
QF_RDL/sal/fischer3-mutex-20.smt2	unsat	2807	0	unsat	2807	0	base	unsat
QF_RDL/sal/fischer3-mutex-6.smt2	unsat	104	0	unsat	105	0	both	unsat
QF_RDL/sal/fischer6-mutex-1.smt2	unsat	104	0	unsat	105	0	base	unsat
QF_RDL/sal/fischer6-mutex-13.smt2	unsat	8212	0	unsat	8212	0	both	unsat
QF_RDL/sal/fischer6-mutex-17.smt2	unsat	19221	0	unsat	18021	0	base	unsat
QF_RDL/sal/fischer6-mutex-20.smt2	unknown	24127	0	unknown	24126	0	both	unsat
QF_RDL/sal/fischer6-mutex-6.smt2	unsat	204	0	unsat	205	0	base	unsat
QF_RDL/sal/fischer9-mutex-1.smt2	unsat	104	0	unsat	104	0	both	unsat
QF_RDL/sal/fischer9-mutex-13.smt2	unknown	24126	0	unknown	24126	0	base	unsat
QF_RDL/sal/fischer9-mutex-17.smt2	unknown	24225	0	unknown	24227	0	both	unsat
QF_RDL/sal/fischer9-mutex-20.smt2	unknown	24222	0	unknown	24226	0	base	unsat
QF_RDL/sal/fischer9-mutex-6.smt2	unsat	505	0	unsat	504	0	both	unsat
QF_RDL/scheduling/abz5_1000.smt2	unsat	104	0	unsat	104	0	base	unsat
QF_RDL/scheduling/abz5_1400.smt2	sat	104	0	sat	104	0	both	sat
QF_RDL/scheduling/abz6_900.smt2	unsat	304	0	unsat	304	0	base	unsat
QF_RDL/scheduling/abz7_667.smt2	unknown	24126	0	unknown	24126	0	both	unknown
QF_RDL/scheduling/abz7_800.smt2	sat	2105	0	sat	2106	0	base	sat
QF_RDL/scheduling/orb01_1200.smt2	sat	504	0	sat	505	0	both	sat
QF_RDL/scheduling/orb02_800.smt2	unsat	204	0	unsat	204	0	base	unsat
QF_RDL/scheduling/orb03_1100.smt2	sat	10512	0	sat	10413	0	both	sat
QF_RDL/scheduling/orb04_1005.smt2	unknown	24023	0	unknown	24024	0	base	sat
QF_RDL/scheduling/orb04_950.smt2	unsat	5309	0	unsat	5209	0	both	unsat
QF_RDL/scheduling/orb05_887.smt2	sat	13115	0	sat	13116	0	base	sat
QF_RDL/scheduling/orb06_1100.smt2	sat	1405	0	sat	1405	0	both	sat
QF_RDL/scheduling/orb07_330.smt2	unsat	104	0	unsat	105	0	base	unsat
QF_RDL/scheduling/orb08_1000.smt2	sat	304	0	sat	304	0	both	sat
QF_RDL/scheduling/orb08_930.smt2	sat	6310	0	sat	6310	0	base	sat
QF_RDL/scheduling/orb09_900.smt2	unsat	1706	0	unsat	1706	0	both	unsat
QF_RDL/scheduling/orb10_800.smt2	unsat	105	0	unsat	104	0	base	unsat
QF_RDL/scheduling/swv11_2983.smt2	unknown	24225	0	unknown	24126	0	both	unknown
QF_RDL/scheduling/swv12_2900.smt2	unknown	24226	0	unknown	24226	0	base	unknown
QF_RDL/scheduling/swv12_3050.smt2	unknown	24226	0	unknown	24327	0	both	unknown
QF_RDL/scheduling/swv13_3200.smt2	unknown	24125	0	unknown	24127	0	base	unknown
QF_RDL/scheduling/swv14_2905.smt2	unknown	24227	0	unknown	24126	0	both	unknown
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	sat	105	0	sat	106	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	sat	204	0	sat	205	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	sat	505	0	sat	506	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	sat	907	0	sat	906	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking19.smt2	sat	1406	0	sat	1406	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-2.smt2	sat	106	0	sat	106	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	unknown	25025	0	unknown	25027	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-1.smt2	sat	105	0	sat	105	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-width-5.smt2	unknown	25126	0	unknown	25126	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-05.smt2	sat	104	0	sat	105	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-09.smt2	sat	306	0	sat	306	0	base	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-40.smt2	sat	606	0	sat	606	0	both	sat
QF_RDL/SMT-Temporal-Planning-Benchmarks/tms-2-3-light-90.smt2	sat	2406	0	sat	2407	0	base	sat
QF_RDL/sal/fischer3-mutex-10.smt2	unsat	305	0	unsat	305	0	both	unsat
QF_RDL/sal/fischer3-mutex-14.smt2	unsat	906	0	unsat	905	0	base	unsat
QF_RDL/sal/fischer3-mutex-18.smt2	unsat	1306	0	unsat	1306	0	both	unsat
QF_RDL/sal/fischer3-mutex-3.smt2	unsat	105	0	unsat	106	0	base	unsat
QF_RDL/sal/fischer3-mutex-7.smt2	unsat	106	0	unsat	105	0	both	unsat
QF_RDL/sal/fischer6-mutex-10.smt2	unsat	2207	0	unsat	2208	0	base	unsat
QF_RDL/sal/fischer6-mutex-14.smt2	unsat	9714	0	unsat	9713	0	both	unsat
QF_RDL/sal/fischer6-mutex-18.smt2	unsat	13517	0	unsat	13517	0	base	unsat
QF_RDL/sal/fischer6-mutex-3.smt2	unsat	106	0	unsat	105	0	both	unsat
