file	base	base_ms	base_rc	nz	nz_ms	nz_rc	sp	sp_ms	sp_rc	both	both_ms	both_rc	first	status
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_count_by_k.i_3_3_2.bpl_7.smt2	unknown	24023	0	unknown	24025	0	unknown	24026	0	unknown	24026	0	base	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	unknown	24124	0	unknown	24026	0	unknown	24126	0	unknown	24127	0	nz	unsat
QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	unknown	25129	0	unknown	25128	0	unknown	25127	0	unknown	25127	0	sp	unknown
QF_LRA/2019-ezsmt/blending/5.smt2	unsat	5009	0	unsat	5107	0	unsat	5009	0	unsat	5109	0	both	unknown
QF_LRA/2019-ezsmt/travellingSalesperson/rand_70_300_1155482584_12.lp.smt2	sat	2306	0	sat	2307	0	sat	2408	0	sat	2306	0	base	unknown
QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	sat	105	0	sat	104	0	sat	105	0	sat	104	0	nz	sat
QF_LRA/DTP-Scheduling/constraints-tempo-depth-9.smt2	sat	105	0	sat	104	0	sat	104	0	sat	104	0	sp	sat
QF_LRA/DTP-Scheduling/constraints-temporal-machine-shop-2-3-A10.smt2	sat	104	0	sat	105	0	sat	104	0	sat	105	0	both	sat
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	unknown	25127	0	unknown	25128	0	unknown	25128	0	unknown	25128	0	base	sat
QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	unknown	24322	0	unknown	24327	0	unknown	24227	0	unknown	24322	0	nz	sat
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	unknown	24327	0	unknown	24428	0	unknown	24327	0	unknown	24326	0	sp	sat
QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	unknown	24226	0	unknown	24227	0	unknown	24226	0	unknown	24228	0	both	sat
QF_LRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	unknown	24427	0	unknown	24528	0	unknown	24427	0	unknown	24528	0	base	unsat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	unknown	24527	0	unknown	24427	0	unknown	24427	0	unknown	24427	0	nz	sat
QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	unknown	24227	0	unknown	24226	0	unknown	24227	0	unknown	24327	0	sp	unsat
QF_LRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	unknown	25128	0	unknown	25127	0	unknown	25126	0	unknown	25128	0	both	unsat
QF_LRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Loop_5-phaseTemplate.smt2	unknown	24123	0	unknown	24126	0	unknown	24127	0	unknown	24126	0	base	unsat
QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex4.2.bpl_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	24026	0	unknown	24027	0	unknown	24027	0	unknown	24027	0	nz	unsat
QF_LRA/LassoRanker/Ultimate/Gcd.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24127	0	sp	sat
QF_LRA/LassoRanker/Ultimate/SyntaxSupportBooleans5.bpl_Iteration1_Loop_4-pieceTemplate.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24127	0	both	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	unknown	24728	0	unknown	24729	0	unknown	24728	0	unknown	24728	0	base	sat
QF_LRA/TM/p-driverlogNumeric_s7.smt2	sat	104	0	sat	105	0	sat	104	0	sat	105	0	nz	sat
QF_LRA/clock_synchro/clocksynchro_4clocks.main_invar.base.smt2	unsat	805	0	unsat	805	0	unsat	105	0	unsat	104	0	sp	unsat
QF_LRA/keymaera/intersection-example-simple.proof-node634.smt2	unsat	104	0	unsat	104	0	unsat	104	0	unsat	105	0	both	unsat
QF_LRA/meti-tarski/Arthan/1A/Arthan1A-chunk-0016.smt2	sat	104	0	sat	104	0	sat	105	0	sat	104	0	base	sat
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0005.smt2	sat	104	0	sat	104	0	sat	105	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0056.smt2	sat	104	0	sat	105	0	sat	105	0	sat	104	0	sp	sat
QF_LRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0031.smt2	sat	105	0	sat	104	0	sat	104	0	sat	105	0	both	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0106.smt2	unsat	104	0	unsat	104	0	unsat	104	0	unsat	105	0	base	unsat
QF_LRA/meti-tarski/bottom-plate-mixer/bottom-plate-mixer-chunk-0051.smt2	sat	105	0	sat	105	0	sat	104	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0049.smt2	unsat	104	0	unsat	104	0	unsat	104	0	unsat	104	0	sp	unsat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0033.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	105	0	both	unsat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0097.smt2	unsat	104	0	unsat	105	0	unsat	104	0	unsat	104	0	base	unsat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0014.smt2	sat	104	0	sat	104	0	sat	104	0	sat	105	0	nz	sat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0016.smt2	sat	104	0	sat	105	0	sat	104	0	sat	104	0	sp	sat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0055.smt2	sat	105	0	sat	105	0	sat	105	0	sat	104	0	both	sat
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0014.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	105	0	base	unsat
QF_LRA/meti-tarski/sin/problem/8/sin-problem-8-chunk-0011.smt2	sat	105	0	sat	104	0	sat	105	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0059.smt2	sat	104	0	sat	104	0	sat	105	0	sat	104	0	sp	sat
QF_LRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0417.smt2	sat	104	0	sat	104	0	sat	104	0	sat	105	0	both	sat
QF_LRA/miplib/pp08a-1000.smt2	unknown	24125	0	unknown	24126	0	unknown	24125	0	unknown	24125	0	base	unsat
QF_LRA/sal/gasburner/gasburner-prop3-12.smt2	unsat	6610	0	unsat	6409	0	unsat	6409	0	unsat	6408	0	nz	unsat
QF_LRA/sal/pursuit/pursuit-safety-5.smt2	unsat	205	0	unsat	204	0	unsat	204	0	unsat	205	0	sp	unsat
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-1.smt2	unsat	104	0	unsat	104	0	unsat	104	0	unsat	104	0	both	unsat
QF_LRA/sc/sc-11.base.cvc.smt2	unknown	24024	0	unknown	24125	0	unsat	2407	0	unsat	2306	0	base	unsat
QF_LRA/sc/sc-19.base.cvc.smt2	unknown	24126	0	unknown	24125	0	unknown	24126	0	unknown	24026	0	nz	unsat
QF_LRA/sc/sc-27.base.cvc.smt2	unknown	24126	0	unknown	24126	0	unknown	24126	0	unknown	24126	0	sp	unsat
QF_LRA/sc/sc-35.base.cvc.smt2	unknown	24025	0	unknown	24127	0	unknown	24027	0	unknown	24026	0	both	unsat
QF_LRA/sc/sc-7.base.cvc.smt2	unknown	24024	0	unknown	24120	0	unsat	504	0	unsat	504	0	base	unsat
QF_LRA/spider_benchmarks/no_op_accs.base.smt2	unsat	1205	0	unsat	1205	0	unsat	1305	0	unsat	1305	0	nz	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_half_2.i_3_6_2.bpl_7.smt2	unknown	24023	0	unknown	24023	0	unknown	24023	0	unknown	24023	0	sp	unsat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	24126	0	unknown	24126	0	unknown	24128	0	unknown	24126	0	both	unsat
QF_LRA/2019-ezsmt/blending/1.smt2	unsat	5209	0	unsat	5110	0	unsat	5008	0	unsat	4909	0	base	unknown
QF_LRA/2019-ezsmt/robotics/1_4.smt2	unsat	104	0	unsat	105	0	unsat	104	0	unsat	104	0	nz	unknown
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	unknown	24225	0	unknown	24126	0	unknown	24127	0	unknown	24127	0	sp	unknown
QF_LRA/DTP-Scheduling/constraints-cooking14.smt2	sat	104	0	sat	105	0	sat	105	0	sat	104	0	both	sat
QF_LRA/DTP-Scheduling/constraints-tempo-matrix8x8.pddl.smt2	sat	1205	0	sat	1206	0	sat	1205	0	sat	1206	0	base	sat
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	104	0	sat	104	0	sat	104	0	sat	105	0	nz	sat
QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	unknown	25128	0	unknown	25128	0	unknown	25128	0	unknown	25128	0	sp	sat
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	24227	0	unknown	24227	0	unknown	24226	0	unknown	24227	0	both	sat
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	unknown	24727	0	unknown	24628	0	unknown	24628	0	unknown	24928	0	base	sat
QF_LRA/LassoRanker/CooperatingT2/ludcmp.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	unknown	25028	0	unknown	24828	0	unknown	24827	0	unknown	24827	0	nz	sat
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	unknown	24428	0	unknown	24527	0	unknown	24427	0	unknown	24428	0	sp	sat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	unknown	25127	0	unknown	25127	0	unknown	25128	0	unknown	25126	0	both	unsat
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005CAV-Fig1_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24226	0	unknown	24326	0	unknown	24326	0	unknown	24227	0	base	sat
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	unknown	24126	0	unknown	24127	0	unknown	24123	0	unknown	24222	0	nz	unsat
QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	unknown	25126	0	unknown	25129	0	unknown	25127	0	unknown	25128	0	sp	sat
QF_LRA/LassoRanker/Ultimate/Braverman-2006CAV-Ex1-int.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	24026	0	unknown	24027	0	unknown	24026	0	unknown	24027	0	both	unsat
QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	24126	0	unknown	24126	0	unknown	24127	0	unknown	24127	0	base	sat
QF_LRA/LassoRanker/Ultimate/TelAviv-AmirMinimum.bpl_Iteration1_Loop_4-pieceTemplate.smt2	unknown	24327	0	unknown	24328	0	unknown	24328	0	unknown	24322	0	nz	sat
QF_LRA/LassoRanker/Ultimate/simple-scaled250.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	25127	0	unknown	25127	0	unknown	25128	0	unknown	25122	0	sp	sat
QF_LRA/TM/p5-driverlogNumeric_s9.smt2	unsat	204	0	unsat	204	0	unsat	204	0	unsat	205	0	both	unsat
QF_LRA/clock_synchro/clocksynchro_6clocks.main_invar.base.smt2	unsat	2106	0	unsat	2106	0	unsat	304	0	unsat	305	0	base	unsat
QF_LRA/keymaera/water_tank-node23593.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	104	0	nz	unsat
QF_LRA/meti-tarski/CMOS/CMOS-opamp-chunk-0016.smt2	sat	104	0	sat	105	0	sat	104	0	sat	105	0	sp	sat
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0028.smt2	sat	104	0	sat	104	0	sat	104	0	sat	104	0	both	sat
QF_LRA/meti-tarski/Chua/1/VC2/U/Chua-1-VC2-U-chunk-0128.smt2	sat	103	0	sat	104	0	sat	104	0	sat	104	0	base	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0014.smt2	sat	104	0	sat	104	0	sat	105	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0127.smt2	sat	104	0	sat	105	0	sat	105	0	sat	104	0	sp	sat
QF_LRA/meti-tarski/cbrt/3/cbrt-problem-3-chunk-0040.smt2	unsat	104	0	unsat	105	0	unsat	104	0	unsat	104	0	both	unsat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0065.smt2	sat	104	0	sat	105	0	sat	104	0	sat	104	0	base	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0041.smt2	sat	105	0	sat	104	0	sat	105	0	sat	105	0	nz	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0144.smt2	sat	104	0	sat	105	0	sat	104	0	sat	104	0	sp	sat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0037.smt2	sat	104	0	sat	105	0	sat	104	0	sat	104	0	both	sat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0026.smt2	sat	105	0	sat	105	0	sat	104	0	sat	105	0	base	sat
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0065.smt2	sat	105	0	sat	103	0	sat	105	0	sat	104	0	nz	sat
QF_LRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0028.smt2	sat	104	0	sat	104	0	sat	104	0	sat	105	0	sp	sat
QF_LRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0009.smt2	sat	104	0	sat	104	0	sat	105	0	sat	105	0	both	sat
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0069.smt2	sat	105	0	sat	105	0	sat	104	0	sat	104	0	base	sat
QF_LRA/miplib/danoint-266.smt2	unknown	24126	0	unknown	24125	0	unknown	24026	0	unknown	24126	0	nz	sat
QF_LRA/miplib/pp08a-7349.smt2	unknown	24127	0	unknown	24127	0	unknown	24125	0	unknown	24126	0	sp	unsat
QF_LRA/sal/gasburner/gasburner-prop3-2.smt2	unsat	104	0	unsat	105	0	unsat	105	0	unsat	105	0	both	unsat
QF_LRA/sal/tgc/tgc_io-nosafe-4.smt2	unsat	105	0	unsat	104	0	unsat	104	0	unsat	104	0	base	unsat
QF_LRA/sal/windowreal/windowreal-no_t_deadlock-17.smt2	unsat	105	0	unsat	105	0	unsat	104	0	unsat	104	0	nz	unsat
QF_LRA/sc/sc-13.base.cvc.smt2	unknown	24026	0	unknown	24025	0	unsat	7211	0	unsat	7111	0	sp	unsat
QF_LRA/sc/sc-21.base.cvc.smt2	unknown	24025	0	unknown	24126	0	unknown	24122	0	unknown	24025	0	both	unsat
QF_LRA/sc/sc-29.base.cvc.smt2	unknown	24025	0	unknown	24026	0	unknown	24121	0	unknown	24026	0	base	unsat
QF_LRA/sc/sc-37.base.cvc.smt2	unknown	24026	0	unknown	24126	0	unknown	24127	0	unknown	24025	0	nz	unsat
QF_LRA/sc/sc-9.base.cvc.smt2	unknown	24126	0	unknown	24126	0	unsat	1405	0	unsat	1405	0	sp	unsat
QF_LRA/spider_benchmarks/pd_init_op_accs.base.smt2	unsat	1205	0	unsat	1205	0	unsat	1306	0	unsat	1305	0	both	unsat
